"word"	" definition"	" concepts"			
"fine"	"minutely precise especially in differences in meaning"	"distinction"			
"fine"	"thin in thickness or diameter"	"hair print film oil"			
"fine"	"characterized by elegance or refinement or accomplishment"	"gentleman crystal hand china suit fine Easter violinist wine master"			
"fine"	"of textures that are smooth to the touch or substances consisting of relatively small particles"	"snow dust wood grain batiste film fabric weave powdery rain cotton"			
"fine"	"free from impurities; having a high or specified degree of purity"	"carat gold"			
"round"	"having a circular shape"				
"round"	"(of sounds) full and rich"	"orotund tone rotund vowel phrase"			
"round"	"(mathematics) expressed to the nearest integer"	" ten"	" hundred"	" or thousand"	"number round"
"strict"	"rigidly accurate; allowing no deviation from a standard"	"vegetarian application law"			
"strict"	"(of rules) stringently enforced"	"rule hard-and-fast"			
"strict"	"characterized by strictness"	" severity"	" or restraint"		
"strict"	"incapable of compromise or flexibility"				
"strict"	"severe and unremitting in making demands"	"exacting disciplinarian standard instructor"			
"safe"	"free from danger or the risk of harm"	"place bet trip"			
"safe"	"(of an undertaking) secure from risk"				
"safe"	"having reached a base without being put out"	"baseman runner ball"			
"safe"	"financially sound"	"secure investment"			
"running"	"(of fluids) moving or issuing in a stream"	"hovel water stream mountain"			
"running"	"continually repeated over a period of time"	"joke"			
"running"	"of advancing the ball by running"	"team play pas running"			
"running"	"executed or initiated by running"	"start jump pas play"			
"running"	"measured lengthwise"	"cost foot"			
"running"	"(of e.g. a machine) performing or capable of performing"	"brake set order"			
"rich"	"possessing material wealth"	"uncle hope father fond"			
"rich"	"having an abundant supply of desirable qualities or substances (especially natural resources)"	"idea interest land mineral"			
"rich"	"of great worth or quality"	"antique collection"			
"rich"	"marked by great fruitfulness"	"soil land fertile vineyard farmland"			
"rich"	"strong; intense"	"purple"			
"rich"	"very productive"	"seam coal"			
"rich"	"high in mineral content; having a high proportion of fuel to air"	"copper vein gas mixture"			
"rich"	"suggestive of or characterized by great expense"	"display"			
"rich"	"containing plenty of fat"	" or eggs"	" or sugar"	"dessert food"	
"rich"	"marked by richness and fullness of flavor"	"port claret flavor coffee wine ruby"			
"rich"	"pleasantly full and mellow"	"tenor voice"			
"rich"	"affording an abundant supply"	"grape harvest supply provision party food"			
"present"	"temporal sense; intermediate between past and future; now existing or happening or in consideration"	"observation leader system article topic use"			
"present"	"being or existing in a specified place"	"wedding murderer room creation present"			
"flat"	"having a surface without slope"	" tilt in which no part is higher or lower than another"	"level sewn seam surface desk plane acre skirt farmland"		
"flat"	"having a relatively broad surface in relation to depth or thickness"	"monitor computer"			
"flat"	"not modified or restricted by reservations"	"refusal denial"			
"flat"	"stretched out and lying at full length along the ground"	"floor"			
"flat"	"lacking contrast or shading between tones"				
"flat"	"(of a musical note) lowered in pitch by one chromatic semitone"	"B"			
"flat"	"flattened laterally along the whole length (e.g."	" certain leafstalks or flatfishes)"			
"flat"	"lacking taste or flavor or tang"	"flavorless bland beer tea tomato diet supermarket vapid food hospital"			
"flat"	"lacking stimulating characteristics; uninteresting"	"drama joke bland"			
"flat"	"having lost effervescence"	"cola beer"			
"flat"	"sounded or spoken in a tone unvarying in pitch"	"hooting faint owl"			
"flat"	"horizontally level"	"roof"			
"flat"	"lacking the expected range or depth; not designed to give an illusion or depth"	"painting film character"			
"flat"	"not reflecting light; not glossy"	"photograph paint wall matte finish"			
"flat"	"commercially inactive"	"month market sale price"			
"able"	"(usually followed by `to') having the necessary means or skill or know-how or authority to do something"	"computer project grant program car"			
"able"	"have the skills and qualifications to do things well"	"child administrator teacher"			
"able"	"having inherent physical or mental ability or capacity"	"building being foot Superman"			
"able"	"having a strong healthy body"	"man army seaman"			
"incoming"	"arriving at a place or position"	"mail class"			
"incoming"	"entering upon a position of office vacated by another"	"president incoming"			
"competitive"	"involving competition or competitiveness"	"game position"			
"competitive"	"subscribing to capitalistic competition"				
"competitive"	"showing a fighting disposition"	"wage worker sale energy militant"			
"powerful"	"having great power or force or potency or effect"	"arm Europe government kick bomb argument horse drug"			
"powerful"	"strong enough to knock down or overwhelm"	"blow"			
"powerful"	"having great influence"				
"powerful"	"(of a person) possessing physical strength and weight; rugged and powerful"	"boxer athlete arm"			
"powerful"	"displaying superhuman strength or power"	"exertion"			
"proper"	"marked by suitability or rightness or appropriateness"	"manner treatment"			
"proper"	"having all the qualities typical of the thing specified; not just a snack"""	"job dinner"			
"proper"	"limited to the thing specified"	"proper deed claim city"			
"proper"	"appropriate for a condition or purpose or occasion or a person's character"	" needs"	"job place man everything position"		
"inside"	"relating to or being on the side closer to the center or within a defined space"	"batter home pocket pitch jacket inside plate"			
"inside"	"being or applying to the inside of a building"	"wall inside"			
"inside"	"confined to an exclusive group"	"knowledge privy information"			
"inside"	"away from the outer edge"	"lane lahne inside"			
"leading"	"indicating the most important performer or role"	"skater figure donna role starring man prima star ballerina performance"			
"leading"	"greatest in importance or degree or significance or achievement"	"poet country statesman archeologist"			
"leading"	"going or proceeding or going in advance; showing the way"	"edge car technology"			
"leading"	"having the leading position or higher score in a contest"	"pawn pennant team race"			
"strong"	"having strength or power greater than average or expected"	"signal radio medicine man"			
"strong"	"not faint or feeble"	"odor rubber"			
"strong"	"having or wielding force or authority"	"soldier weapon ground"			
"strong"	"having a strong physiological or chemical effect"	"cup liquor tea drink toxin potent"			
"strong"	"immune to attack; incapable of being tampered with"	"secure fortress telephone connection frontier fortification"			
"strong"	"of good quality and condition; solidly built"	"timber building foundation"			
"strong"	"of verbs not having standard (or regular) inflection"	"verb"			
"strong"	"being distilled rather than fermented; having a high alcoholic content"	"liquor"			
"strong"	"freshly made or left"	"scent trail"			
"strong"	"strong and sure"	"firm grasp pull rope"			
"away"	"not present; having left"	"house mother stranger"			
"away"	"used of an opponent's ground"	"game"			
"away"	"(of a baseball pitch) on the far side of home plate from the batter"	"pitch"			
"radical"	"(used of opinions and actions) far beyond the norm"	"education opinion view"			
"radical"	"markedly new or introducing radical change"	"discovery view"			
"radical"	"arising from or going to the root or source"	"flaw plan"			
"radical"	"of or relating to or constituting a linguistic root"	"form verb"			
"radical"	"especially of leaves; located at the base of a plant or stem; especially arising directly from the root or rootstock or a root-like stem"	"leaf basal placentation"			
"whole"	"including all components without exception; being one unit or constituting the full amount or extent or duration; complete"	"home loaf trip week baby hog attention wardrobe tropic bread"			
"whole"	"(of siblings) having the same parents"	"sister brother"			
"whole"	"not injured"				
"whole"	"exhibiting or restored to vigorous good health"	"whole hearty hale body person mind"			
"whole"	"acting together as a single undiversified whole"	"bloc voting"			
"inferior"	"of or characteristic of low rank or importance"				
"inferior"	"of low or inferior quality"				
"inferior"	"written or printed below and to one side of another character"				
"inferior"	"having an orbit between the sun and the Earth's orbit"	"Mercury Venus planet"			
"inferior"	"lower than a given reference point"	"artery"			
"inferior"	"falling short of some prescribed norm"	"housing"			
"short"	"primarily temporal sense; indicating or being or seeming to be limited in duration"	"holiday month life flight story"			
"short"	"(primarily spatial sense) having little length or lacking in length"	"hair foot toss board skirt"			
"short"	"low in stature; not tall"	"man smokestack stature"			
"short"	"not sufficient to meet a need"	"salary money supply income ration experience food"			
"short"	"(of memory) deficient in retentiveness or range"	"memory"			
"short"	"not holding securities or commodities that one sells in expectation of a fall in prices"	"sale cotton"			
"short"	"of speech sounds or syllables of relatively short duration"	"`pat `pet sound vowel `pit English putt `pot"			
"short"	"less than the correct or legal or full amount often deliberately so"	"sugar weight cup pound"			
"short"	"lacking foresight or scope"	"critic view policy thinking myopic plan problem"			
"short"	"tending to crumble or break into flakes due to a large amount of shortening"	"shortbread crumbly pie crust cookie flaky"			
"short"	"marked by rude or peremptory shortness"	"curt manner salesgirl try reply"			
"close"	"at or within a short distance in space or time or having elements near each other"	"town ship formation noon"			
"close"	"close in relevance or relationship"	"family resemblance sympathy kin"			
"close"	"not far distant in time or space or degree or circumstances"	"tear future approach neighbor success thing bomb call equal hit"			
"close"	"rigorously attentive; strict and thorough"	"watch expenditure study attention supervision close"			
"close"	"marked by fidelity to an original"	"translation rendering fact copy portrait"			
"close"	"(of a contest or contestants) evenly matched"	"game contest election"			
"close"	"crowded"	"quarter"			
"close"	"lacking fresh air"	"smoke atmosphere air airless"			
"close"	"of textiles"	"weave close percale"			
"close"	"strictly confined or guarded"	"custody"			
"close"	"confined to specific persons"	"secret close"			
"close"	"fitting closely but comfortably"	"fit"			
"close"	"used of hair or haircuts"	"haircut"			
"close"	"giving or spending with reluctance"	"man administration money"			
"close"	"inclined to secrecy or reticence about divulging information"	"friend"			
"complete"	"having every necessary or normal part or component or step"	"defeat Britannica accounting meal china wardrobe set"			
"complete"	"perfect and complete in every respect; having all necessary qualities"	"gentleman performance consummate happiness"			
"complete"	"highly skilled"	"musician pianist"			
"complete"	"without qualification; used informally as (often pejorative) intensifiers"	"fool sodding consummate idiot pure thoroughgoing nonsense mess villain coward stark truth negligence mad"			
"complete"	"having come or been brought to a conclusion"	"harvesting affair interview"			
"decent"	"socially or conventionally correct; refined or virtuous"	"family girl"			
"decent"	"according with custom or propriety"	"gentleman money burial behavior modesty faut il"			
"decent"	"conforming to conventions of sexual behavior"	"speech George circle Santayana"			
"decent"	"sufficient for the purpose"	"wage income enough food"			
"decent"	"decently clothed"				
"decent"	"observing conventional sexual mores in speech or behavior or dress"	"dress neckline strap shoulder standard"			
"comfortable"	"providing or experiencing physical well-being or relief (`comfy' is informal)"	"house suburban clothes armchair antihistamine comfy feel"			
"comfortable"	"free from stress or conducive to mental ease; having or affording peace of mind"	"job fiance belief person parent thought nothing"			
"comfortable"	"more than adequate"	"team home lead"			
"comfortable"	"sufficient to provide comfort"	"salary"			
"comfortable"	"in fortunate circumstances financially; moderately rich"	"member community living family standard"			
"black"	"being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light"	"soil leather jacket coal"			
"black"	"of or belonging to a racial group having dark skin especially of sub-Saharan African origin"	"vein people Luther Martin dignity Jr civilization meaning King"			
"black"	"marked by anger or resentment or hostility"	"word look"			
"black"	"offering little or no hope"	"future Aran view Islands thing prospect Life J.M.Synge"			
"black"	"stemming from evil characteristics or forces; wicked or dishonorable"	"lie undercurrent Vader heart scheme deed intelligence Hardy bent hostility -Thomas sinister purpose Darth dark side"			
"black"	"(of events) having extremely unfortunate or dire consequences; bringing ruin"	"defeat war error Friday doctrine battle Douglas MacArthur campaign Charles Darwin stock Black end theory market"			
"black"	"(of the face) made black especially as with suffused blood"	"face fury"			
"black"	"extremely dark"	"pitch-dark night wood moonless cellar pitch-black"			
"black"	"harshly ironic or sinister"	"laughter joke humor wit fun slapstick"			
"black"	"(of intelligence operations) deliberately misleading"	"propaganda"			
"black"	"distributed or sold illicitly"	"tax economy"			
"black"	"(used of conduct or character) deserving or bringing disgrace or shame"	"defeat monument display island destroyer Carson Rachel cowardice retreat Man record greed blackest"			
"black"	"(of coffee) without cream or sugar"				
"black"	"soiled with dirt or soot"	"hour outdoors shirt foot"			
"ripe"	"fully developed or matured and ready to be eaten or used"	"mature peach ripe wine"			
"ripe"	"fully prepared or eager"	"revolution colonist"			
"ripe"	"most suitable or right for a particular purpose"	"tomato plant time change"			
"ripe"	"at the highest point of development especially in judgment or knowledge"	"mind ripe"			
"ripe"	"far along in time"	"man year age"			
"fast"	"acting or moving or capable of acting or moving quickly"	"track school film pace car"			
"fast"	"(used of timepieces) indicating a time ahead of or later than the correct time"	"watch"			
"fast"	"at a rapid tempo"	"fox band trot"			
"fast"	"(of surfaces) conducive to rapid speeds"	"grass road clay court"			
"fast"	"resistant to destruction or fading"	"color fast"			
"fast"	"unrestrained by convention or morality"	"Congreve society woman living"			
"fast"	"hurried and brief"	"inspection book visit glance"			
"fast"	"securely fixed in place"	"post car"			
"fast"	"unwavering in devotion to friend or vow or cause"	"soldier song Henry Harrison friend supporter firm Tippecanoe Campaign William"			
"fast"	"(of a photographic lens or emulsion) causing a shortening of exposure time"	"lens"			
"automatic"	"operating with minimal human intervention; independent of external control"	"deficit spending transmission budget cut"			
"automatic"	"resembling the unthinking functioning of a machine"	"`thank machinelike efficiency"			
"automatic"	"without volition or conscious control"	"shrinking sneezing pupil light eye knee jerk"			
"dark"	"devoid of or deficient in light or brightness; shadowed or black"	"corner cat dark inside shadow day"			
"dark"	"(used of color) having a dark hue"	"glass blue green dark color wine"			
"dark"	"brunet (used of hair or skin or eyes)"	"eye"			
"dark"	"stemming from evil characteristics or forces; wicked or dishonorable"	"lie undercurrent Vader heart scheme deed intelligence Hardy bent hostility -Thomas sinister purpose Darth dark side"			
"dark"	"secret"				
"dark"	"showing a brooding ill humor"	"morose Bliven crowd shrug manner silence saturnine scowl New glum misanthropic temper genius dark moody sullen Bruce Puritan England"			
"dark"	"lacking enlightenment or knowledge or culture"	"barbarism history age dark country superstition education"			
"dark"	"marked by difficulty of style or expression"	"style work Kafka"			
"dark"	"causing dejection"	"winter landscape week disconsolate weather rainy day war November"			
"dark"	"having skin rich in melanin pigments"	"people Colored National Association Advancement People"			
"dark"	"not giving performances; closed"	"theater Mondays"			
"sound"	"financially secure and safe"	"economy sound investment"			
"sound"	"exercising or showing good judgment"	"labor explanation advice management approach fear scepticism relation sound rattlesnake decision problem law attitude solution"			
"sound"	"in good condition; free from defect or damage or decay"	"timber sound wall foundation"			
"sound"	"in excellent physical condition"	"body leg teeth sound mind"			
"sound"	"logically valid"	"argument sound"			
"sound"	"having legal efficacy or force"	"property title sound"			
"sound"	"free from moral defect"	"man character"			
"sound"	"(of sleep) deep and complete"	"sleeper sleep wakeless sound"			
"sound"	"thorough"	"thrashing sound"			
"sure"	"having or feeling no doubt or uncertainty; confident and assured"	"sure success belief friend"			
"sure"	"exercising or taking care great enough to bring assurance"	"door iron"			
"sure"	"certain to occur; destined or inevitable"	"death regret Benjamin fate life tax Franklin nothing"			
"sure"	"physically secure or dependable"	"footing ground"			
"sure"	"reliable in operation or effect"	"dust wood termite remedy sign way"			
"sure"	"(of persons) worthy of trust or confidence"	"friend"			
"sure"	"infallible or unfailing"	"sign commitment"			
"sure"	"certain not to fail"	"hand throttle"			
"sure"	"impossible to doubt or dispute"	"proof"			
"heavy"	"of comparatively great physical weight or density"	"furniture load lead mahogany metal"			
"heavy"	"unusually great in degree or quantity or number"	"traffic tax loss casualty fine rain"			
"heavy"	"of the military or industry; using (or being) the heaviest and most powerful armaments or weapons or equipment"	"gun product cruiser industry infantry production artillery steel"			
"heavy"	"marked by great psychological weight; weighted down especially with sadness or troubles or weariness"	"silence heart news eyelid schedule"			
"heavy"	"usually describes a large person who is fat but has a large frame to carry it"				
"heavy"	"(used of soil) compact and fine-grained"	"soil clayey"			
"heavy"	"darkened by clouds"	"sky"			
"heavy"	"of great intensity or power or force"	"blow sea fighting"			
"heavy"	"(physics"	" chemistry) being or containing an isotope with greater than average atomic mass or weight"	"hydrogen water"		
"heavy"	"(of an actor or role) being or playing the villain"	"role `Othello Iago"			
"heavy"	"permitting little if any light to pass through because of denseness of matter"	"fog gloom smoke dense"			
"heavy"	"of relatively large extent and density"	"line"			
"heavy"	"made of fabric having considerable thickness"	"coat"			
"heavy"	"prodigious"	"investor eater spender"			
"heavy"	"full and loud and deep"	"voice chosen sound herald"			
"heavy"	"given to excessive indulgence of bodily appetites especially for intoxicating liquors"	"drinker"			
"heavy"	"of great gravity or crucial import; requiring serious thought"	"crisis fault matter time peace state decision grave responsibility conference weighty"			
"heavy"	"slow and laborious because of weight"	"troop beast trot tread yawn"			
"heavy"	"large and powerful; especially designed for heavy loads or rough work"	"truck machinery"			
"heavy"	"dense or inadequately leavened and hence likely to cause distress in the alimentary canal"	"pudding"			
"heavy"	"sharply inclined"	"grade"			
"heavy"	"full of; bearing great weight"	"tree grape fruit vine"			
"heavy"	"requiring or showing effort"	"reading subject breathing"			
"heavy"	"characterized by effort to the point of exhaustion; especially physical effort"	"labor grueling campaign project pace work hour valley mining way"			
"heavy"	"lacking lightness or liveliness"	"humor conversation"			
"heavy"	"(of sleep) deep and complete"	"sleeper sleep wakeless sound"			
"heavy"	"in an advanced stage of pregnancy"	"child"			
"determined"	"characterized by great determination"	"enemy struggle"			
"determined"	"having been learned or found or determined especially by investigation"				
"determined"	"devoting full strength and concentrated attention to"	"enemy headquarters effort"			
"determined"	"determined or decided upon as by an authority"	"date launching place time surrender term"			
"determined"	"strongly motivated to succeed"				
"half"	"consisting of one of two equivalent parts in value or quantity"	"half chicken hour"			
"half"	"partial"	"half job smile"			
"half"	"(of siblings) related through one parent only"	"half sister brother"			
"wholesome"	"conducive to or characteristic of physical or moral well-being"	"attitude wholesome appearance food"			
"wholesome"	"sound or exhibiting soundness in body or mind"	"face grin appetite exercise"			
"odd"	"not divisible by two"				
"odd"	"not easily explained"	"name"			
"odd"	"an indefinite quantity more than that specified"	"guest"			
"odd"	"beyond or deviating from the usual or expected"	"war town twang something odor rum behavior fellow name clove speech accent idea"			
"odd"	"of the remaining member of a pair"	" of socks e.g."			
"odd"	"not used up"	"dollar leftover money movie supper provision meatloaf sandwich"			
"middle"	"being neither at the beginning nor at the end in a series"	"point age line position mediate adolescence"			
"middle"	"equally distant from the extremes"				
"middle"	"of a stage in the development of a language or literature between earlier and later stages"	"English Middle Gaelic language"			
"middle"	"between an earlier and a later period of time"	"year thirty"			
"moral"	"concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles"	"sense life quandary lesson scrutiny conviction"			
"moral"	"psychological rather than physical or tangible in effect"	"support victory"			
"wicked"	"morally bad in principle or practice"				
"wicked"	"having committed unrighteous acts"	"person"			
"wicked"	"intensely or extremely bad or unpleasant in degree or quality"	"cough gun pain enemy flu fire case"			
"wicked"	"naughtily or annoyingly playful"	"laughter prank teasing"			
"wicked"	"highly offensive; arousing aversion or disgust"	"meat stench language smell disease disgusting idea food"			
"past"	"earlier than the present time; no longer current"	"year youth time Thursday past"			
"past"	"of a person who has held and relinquished a position or office"	"board member"			
"perennial"	"lasting three seasons or more"	"plant perennial buttercup"			
"perennial"	"lasting an indefinitely long time; suggesting self-renewal"	"happiness"			
"perennial"	"recurring again and again"	"effort requirement"			
"harsh"	"unpleasantly stern"	"country life cactus sand"			
"harsh"	"disagreeable to the senses"	"cognac jay light smoke eye harsh cry hallway"			
"harsh"	"of textures that are rough to the touch or substances consisting of relatively large particles"	"weave coarse sand meal"			
"harsh"	"unkind or cruel or uncivil"	"harsh tyrant answer word"			
"harsh"	"severe"	"harsh penalty"			
"harsh"	"sharply disagreeable; rigorous"	"court delay fact character"			
"sweet"	"having or denoting the characteristic taste of sugar"				
"sweet"	"having a sweet nature befitting an angel or cherub"	"face disposition smile"			
"sweet"	"pleasing to the ear"	"dulcet tone cello"			
"sweet"	"pleasing to the senses"	"face song child sweet lark"			
"sweet"	"pleasing to the mind or feeling"	"revenge"			
"sweet"	"having a natural fragrance"	"June spice orchard flower air"			
"sweet"	"(used of wines) having a high residual sugar content"	"dessert wine"			
"sweet"	"not containing or composed of salt water"	"water"			
"sweet"	"not soured or preserved"	"milk"			
"sweet"	"with sweetening added"				
"off"	"not in operation or operational"	"light oven"			
"off"	"below a satisfactory level"	"year tennis performance"			
"off"	"(of events) no longer planned or scheduled"	"wedding"			
"off"	"in an unpalatable state"	"milk"			
"off"	"not performing or scheduled for duties"	"Tuesday"			
"empty"	"holding or containing nothing"	"hour glass room seat"			
"empty"	"devoid of significance or point"	"comment victory promise"			
"empty"	"needing nourishment"	"child men suppertime lunch"			
"empty"	"emptied of emotion"	"argument"			
"curious"	"beyond or deviating from the usual or expected"	"war town twang something odor rum behavior fellow name clove speech accent idea"			
"curious"	"eager to investigate and learn or learn more (sometimes about others' concerns)"	"door doings child traffic neighbor investigator rubbernecker delight trap teacher"			
"curious"	"having curiosity aroused; eagerly interested in learning more"	"door trap"			
"light"	"of comparatively little physical weight or density"	"magnesium load gravity metal degree C"			
"light"	"(used of color) having a relatively small amount of coloring agent"	"pastel color blue powder"			
"light"	"of the military or industry; using (or being) relatively small or light arms or equipment"	"weapon industry light cavalry infantry"			
"light"	"not great in degree or quantity or number"	"snow misty light casualty smoke chimney accent rain sentence"			
"light"	"psychologically light; especially free from sadness or troubles"	"heart"			
"light"	"characterized by or emitting light"	"room house shutter inside"			
"light"	"(used of vowels or syllables) pronounced with little or no stress"	"vowel stress"			
"light"	"easily assimilated in the alimentary canal; not rich or heavily seasoned"	"diet"			
"light"	"(used of soil) loose and large-grained in consistency"	"soil"			
"light"	"(of sound or color) free from anything that dulls or dims"	"red recording blue laughter bell voice effort waterfall bass silver"			
"light"	"moving easily and quickly; nimble"	"dancer step"			
"light"	"demanding little effort; not burdensome"	"light exercise housework"			
"light"	"of little intensity or power or force"	"breeze touch finger"			
"light"	"(physics"	" chemistry) not having atomic weight greater than average"	"water"		
"light"	"weak and likely to lose consciousness"	"pain faint felt head hunger light swooning lack sleep wine fit"			
"light"	"very thin and insubstantial"	"summer paper dress"			
"light"	"marked by temperance in indulgence"	"eater adverb supper smoker use"			
"light"	"less than the correct or legal or full amount often deliberately so"	"sugar weight cup pound"			
"light"	"having little importance"	"job matter"			
"light"	"intended primarily as entertainment; not serious or profound"	"verse comedy"			
"light"	"silly or trivial"	"chatter pleasure banter"			
"light"	"designed for ease of movement or to carry little weight"	"light truck aircraft"			
"light"	"having relatively few calories"	"lite beer cola light diet mayonnaise"			
"light"	"(of sleep) easily disturbed"	"sleeper night doze"			
"light"	"casual and unrestrained in sexual behavior"	"woman behavior light wanton virtue"			
"happy"	"enjoying or showing or marked by joy or pleasure"	"marriage day beach smile"			
"happy"	"marked by good fortune"	"life outcome"			
"happy"	"eagerly disposed to act or to be of service"	"glad"			
"happy"	"well expressed and to the point"	"phrase turn word"			
"persistent"	"never-ceasing"	"beat drum"			
"persistent"	"continually recurring to the mind"	"Claudia voice haunting beauty Cassidy memory organ"			
"persistent"	"retained; not shed"	"gill fish maturity leaf"			
"persistent"	"stubbornly unyielding"	"T.S.Eliot critic opinion dour persistence men mind truth determination"			
"separate"	"independent; not united or joint"	"issue church problem way"			
"separate"	"standing apart; not attached to or supported by anything"	"garage house bell freestanding tower"			
"separate"	"separated according to race"	" sex"	" class"	" or religion"	"class girl boy"
"separate"	"have the connection undone; having become separate"				
"little"	"limited or below average in number or quantity or magnitude or extent"	"house room group dining car"			
"little"	"(quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with `a') at least some"	"money time May chance hope rain"			
"little"	"(of children and animals) young"	" immature"	"child boy"		
"little"	"(informal) small and of little importance"	"worry money niggling matter officer dispute law meal enterprise gesture country detail effort police sum war infraction"			
"little"	"(of a voice) faint"	"voice"			
"little"	"low in stature; not tall"	"man smokestack stature"			
"little"	"lowercase"	"letter minuscule poetry e.e.cummings"			
"little"	"small in a way that arouses feelings (of tenderness or its opposite depending on the context)"	"job mother heart scheme deal trick situation"			
"alive"	"possessing life"	"nerve canary doctor person"			
"alive"	"(often followed by `with') full of life and spirit"	"face age mischief"			
"alive"	"having life or vigor or spirit"	"face news conversation"			
"alive"	"(followed by `to' or `of') aware of"	"others mood"			
"alive"	"in operation"	"tradition hope"			
"alive"	"mentally perceptive and responsive"	"awake danger alert situation predicament mind problem reality"			
"alive"	"capable of erupting"	"alive volcano"			
"dull"	"lacking in liveliness or animation"	"mood campaign world man party impassive nothing day"			
"dull"	"emitting or reflecting very little light"	"silver need glow sky"			
"dull"	"being or made softer or less loud or clear"	"noise street drum dull wave trumpet boom breaking"			
"dull"	"so lacking in interest as to cause mental weariness"	"letter cricket effect task people competent Burke Twain dream speaker chirping play evening Mark attention Edmund writing train day performance"			
"dull"	"(of color) very low in saturation; highly diluted"	"dull blue green"			
"dull"	"not keenly felt"	"dull pain throbbing"			
"dull"	"slow to learn or understand; lacking intellectual acuity"	"mathematics anything Thackeray decision dull student dense official learning anyone"			
"dull"	"(of business) not active or brisk"	"business market"			
"dull"	"not having a sharp edge or point"	"use knife"			
"dull"	"blunted in responsiveness or sensibility"	"dull Willa Cather gaze"			
"dull"	"not clear and resonant; sounding as if striking with or against something relatively soft"	"thud bullet"			
"dull"	"darkened with overcast"	"sky day"			
"concerned"	"feeling or showing worry or solicitude"	"task hand future child offender parent"			
"concerned"	"involved in or affected by or having a claim to or share in"	"fall memorandum rise epidemic enterprise men party business factor"			
"concerned"	"culpably involved"	"circumstance person bribery crime case plot official"			
"female"	"being the sex (of plant or animal) that produces fertilizable gametes (ova) from which offspring develop"	"tree berry heir"			
"female"	"characteristic of or peculiar to a woman"	"suffrage sensitiveness"			
"female"	"for or pertaining to or composed of women or girls"	"lead chorus play"			
"untouched"	"still full"	"cocktail hand"			
"untouched"	"not influenced or affected"	"world V.L.Parrington consideration brisk provincialism"			
"untouched"	"not having come in contact"				
"untouched"	"emotionally unmoved"				
"open"	"affording unobstructed entrance and exit; not shut or closed"	"door"			
"open"	"affording free passage or access"	"road traffic rank drain"			
"open"	"with no protection or shield"	"northeast wound frontier weather"			
"open"	"open to or in view of all"	"letter editor protest"			
"open"	"used of mouth or eyes"	"mouth eye"			
"open"	"not having been filled"	"job"			
"open"	"accessible to all"	"economy season"			
"open"	"not defended or capable of being defended"	"city"			
"open"	"(of textures) full of small openings or gaps"	"weave texture"			
"open"	"having no protecting cover or enclosure"	"sport fire car boat"			
"open"	"(set theory) of an interval that contains neither of its endpoints"				
"open"	"not brought to a conclusion; subject to further thought"	"question lawsuit bill position"			
"open"	"not sealed or having been unsealed"	"letter package table"			
"open"	"without undue constriction as from e.g. tenseness or inhibition"	"tone clarity resonance response"			
"open"	"ready or willing to receive favorably"	"proposal receptive"			
"open"	"open and observable; not secret or hidden"	"lie gathering intelligence hostility ballot"			
"open"	"not requiring union membership"	"shop worker"			
"open"	"possibly accepting or permitting"	"misinterpretation passage time player issue director variation"			
"open"	"affording free passage or view"	"view path countryside water victory"			
"open"	"openly straightforward and direct without reserve or secretiveness"	"nature talk eye"			
"open"	"ready for business"	"store"			
"remote"	"located far away spatially"	"remote star land"			
"remote"	"very unlikely"	"possibility chance contingency"			
"remote"	"separate or apart in time"	"past event future"			
"remote"	"inaccessible and sparsely populated; "				
"remote"	"far apart in relevance or relationship or kinship"	"cousin consideration relative politics likeness"			
"capable"	"(usually followed by `of') having capacity or ability"	"work foot capable"			
"capable"	"possibly accepting or permitting"	"misinterpretation passage time player issue director variation"			
"capable"	"(followed by `of') having the temperament or inclination for"	"one murder"			
"capable"	"having the requisite qualities for"	"work task standard"			
"capable"	"have the skills and qualifications to do things well"	"child administrator teacher"			
"tight"	"closely constrained or constricted or constricting"	"chest feeling fist collar skirt finger"			
"tight"	"pulled or drawn tight"	"taut sail drumhead rope"			
"tight"	"set so close together as to be invulnerable to penetration"	"blockade formation"			
"tight"	"pressed tightly together"	"lip"			
"tight"	"(used of persons or behavior) characterized by or indicative of lack of generosity"	"tip person"			
"tight"	"affected by scarcity and expensive to borrow"	"market money"			
"tight"	"of such close construction as to be impermeable"	"roof house warm"			
"tight"	"of textiles"	"weave close percale"			
"tight"	"securely or solidly fixed in place; rigid"	"bolt"			
"tight"	"(of a contest or contestants) evenly matched"	"game contest election"			
"tight"	"very drunk"				
"tight"	"exasperatingly difficult to handle or circumvent"	"man side problem situation"			
"tight"	"demanding strict attention to rules and procedures"	"measure security safety discipline"			
"tight"	"packed closely together"	"hair pub group curl"			
"prime"	"first in rank or degree"	"minister architect rank"			
"prime"	"used of the first or originating agent"	"mover"			
"prime"	"of superior grade"	"quality choice prize paper peach carnation beef select wine"			
"prime"	"of or relating to or being an integer that cannot be factored into other integers"	"number"			
"prime"	"being at the best stage of development"	"Browning Robert manhood vigor"			
"flexible"	"capable of being changed"	"schedule"			
"flexible"	"able to flex; able to bend easily"	"birch slim"			
"flexible"	"able to adjust readily to different conditions"	"contract clause personality person"			
"flexible"	"bending and snapping back readily without breaking"				
"flexible"	"making or willing to make concessions"	"compromising loneliness Louis Tillet whenever du"			
