word	definition	concepts
turn	the act of changing or reversing the direction of the course	turn right
turn	(game) the activity of doing something in an agreed succession	turn play
turn	an unforeseen development	turn event
turn	a movement in a new direction	wind turning
turn	the act of turning away or in the opposite direction	turn
turn	turning or twisting around (in place)	room twist head
turn	a time for working (after which you will be relieved by someone else)	spell go work
turn	(sports) a division during which one team is on the offensive	
turn	a short theatrical performance that is part of a longer program	time act routine number evening
turn	a favor for someone	turn
turn	taking a short walk out and back	turn park
back	the posterior part of a human (or animal) body from the neck to the end of the spine	back
back	the side that goes last or is not normally seen	photograph date back
back	the part of something that is furthest from the normal viewer	store stage rear back
back	(football) a person who plays in the backfield	
back	the series of vertebrae forming the axis of the skeleton and protecting the spinal cord	fall back
back	the protective covering on the front, back, and spine of a book	leather book binding
back	the part of a garment that covers the back of your body	sign back
back	a support that you can lean against while sitting	back chair
back	(American football) the position of a player on a football team who is stationed behind the line of scrimmage	
state	the territory occupied by one of the constituent administrative districts of a nation	south state
state	the way something is with respect to its main attributes	knowledge health state
state	the group of people comprising the government of a sovereign state	tax income state
state	a politically organized body of people under a single government	nation president capitol land student manufacturer country state
state	(chemistry) the three traditional states of matter are solids (fixed shape and volume) and liquids (fixed volume and shaped by the container) and gases (filling the container)	ice water state
state	a state of depression or agitation	reason state
state	the territory occupied by a nation	land country birth
state	the federal department in the United States that sets and maintains foreign policies	Department State
boundary	the line or plane indicating the limit or extent of something	
boundary	a line determining the limits of an area	
boundary	the greatest possible degree of something	behavior ability limit bound
use	the act of using	drug utilization computer use
use	what something is used for	hole use ballet auger function
use	a particular service	knowledge us use patron
use	(economics) the utilization of economic goods to satisfy needs or in manufacturing	energy consumption
use	(psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition	hair habit end use owl
use	exerting shrewd or devious influence especially for one's own advantage	friend manipulation
use	(law) the exercise of the legal right to enjoy the benefits of owning property	use boat
search	the activity of looking thoroughly in order to find something or someone	
search	an investigation seeking answers	outcome search ledger nothing
search	an operation that determines whether one or more of a set of items has a specified property	program table lookup
search	the examination of alternative hypotheses	search move checkmate
search	boarding and inspecting a ship on the high seas	search right
potential	the inherent capacity for coming into being	
potential	the difference in electrical charge between two points in a circuit expressed in volts	
clear	the state of being free of suspicion	investigation
clear	a clear or unobstructed space or expanse of land or water	
extension	a mutually agreed delay in the date set for the completion of a job or payment of a debt	loan extension
extension	act of expanding in scope; making more widely available	program need extension
extension	the spreading of something (a belief or practice) into new regions	
extension	an educational opportunity provided by colleges and universities to people who are not enrolled as regular students	
extension	act of stretching or straightening out a flexed limb	
extension	a string of characters beginning with a period and followed by one or more letters; the optional second part of a PC computer filename	extension file .BAS filename application BASIC
extension	the most direct or specific meaning of a word or expression; the class of objects that an expression refers to	`satellite Demos extension set Phobos Mars
extension	the ability to raise the working leg high in the air	dancer combination extension training ability
extension	amount or degree or range to which something extends	extension foot wire
extension	an additional telephone set that is connected to the same telephone line	
extension	an addition to the length of something	
extension	an addition that extends a main building	
stop	the event of something ending	hill stop bottom
stop	the act of stopping something	stoppage flow stop baseman flood
stop	a brief stay in the course of a journey	friend stopover
stop	the state of inactivity following an interruption	negotiation seat halt stay arrest stop blow lunch check
stop	a spot where something halts or pauses	Atlanta stop
stop	a consonant produced by stopping the flow of air at some point and suddenly releasing it	consonant stop
stop	a punctuation mark (.) placed at the end of a declarative sentence to indicate a full stop or after abbreviations	period England stop
stop	(music) a knob on an organ that is pulled to change the sound quality from the organ pipes	organist stop
stop	a mechanical device in a camera that controls size of aperture of the lens	camera diaphragm
stop	a restraint that checks the motion of something	book door stop
stop	an obstruction in a pipe or tube	drainpipe plumber blockage
skin	a natural protective body covering and site of the sense of touch	organ skin body
skin	an outer surface (usually thin)	skin airplane
skin	body covering of a living animal	
skin	a person's skin regarded as their life	skin
skin	the rind of a fruit or vegetable	
skin	a bag serving as a container for liquids; it is made from the hide of an animal	
anxiety	(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic	
anxiety	a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune	
strip	a relatively long narrow piece of something	muscle strip
strip	artifact consisting of a narrow flat piece of material	
strip	an airfield without normal airport facilities	
strip	a sequence of drawings telling a story in a newspaper or comic book	
strip	thin piece of wood or metal	
strip	a form of erotic entertainment in which a dancer gradually undresses to music	strip right front everyone
cross	a wooden structure consisting of an upright post with a transverse piece	
cross	a marking that consists of lines that cross each other	
cross	a representation of the structure on which Jesus was crucified; used as an emblem of Christianity or in heraldry	
cross	any affliction that causes great suffering	crown cross thorn affliction
cross	(genetics) an organism that is the offspring of genetically dissimilar parents or stock; especially offspring produced by breeding plants or animals of different varieties or breeds or species	horse donkey cross mule
cross	(genetics) the act of mixing different species or varieties of animals or plants and thus to produce hybrids	
bear	massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws	
bear	an investor with a pessimistic market outlook; an investor who expects prices to fall and so sells now in order to buy later at a lower price	
member	one of the persons who compose a social group (especially individuals who have joined and participate in a group organization)	faculty member family
member	anything that belongs to a set or class	Reptilia snake sex class member
member	an external body part that projects from the body	extremity
member	an organization that is a member of another organization (especially a state that belongs to a group of nations)	United Nations library Canada member loan association
member	the male organ of copulation (`member' is a euphemism)	
passage	the act of passing from one state or place to the next	
passage	a section of text; particularly a section of medium length	
passage	a way through or along which someone or something may pass	
passage	the passing of a law by a legislative body	
passage	a journey usually by ship	day passage
passage	a short section of a musical composition	
passage	a path or channel or duct through or along which something may pass	nasal passage
passage	a bodily reaction of changing from one place or stage to another	passage lung passing flatus air
passage	the motion of one object relative to another	orbit passing comet
passage	the act of passing something to another person	
miss	a young woman	lady
miss	a failure to hit (or meet or find etc)	
miss	a form of address for an unmarried woman	
wait	time during which some action is awaited	action delay replay hold
wait	the act of waiting (remaining inactive in one place while expecting something)	ordeal wait
pull	the act of pulling; applying force to move something toward or with you	pulling back pull hill harder
pull	the force used in pulling	pull moon
pull	special advantage or influence	pull lot chairman nephew
pull	a device used for pulling something	pull drawer
pull	a sharp strain on muscles or ligaments	pull hamstring wrench knee
pull	a slow inhalation (as of tobacco smoke)	smoke pipe drag cigarette puff
pull	a sustained effort	pull
time	an instance or single occasion for some event	clip time
time	a period of time considered as a resource under your control and sufficient to accomplish something	rose time
time	an indefinite period (usually marked by specific attributes or activities)	actor year time
time	a suitable moment	time
time	the continuum of experience in which events pass from the future through the present to the past	
time	a person's experience on a particular occasion	time tear
time	a reading of a point in time as given by a clock	o'clock time
time	the fourth coordinate that is required (along with three spatial dimensions) to specify a physical event	
time	rhythm as given by division into parts of equal duration	
time	the period of time a prisoner is imprisoned	county jail term sentence time year month
let	a brutal terrorist group active in Kashmir; fights against India with the goal of restoring Islamic rule of India	Lashkar-e-Toiba Hindus murder mass
let	a serve that strikes the net before falling into the receiver's court; the ball must be served again	
regime	the organization that is the governing authority of a political unit	tax government authority matter
regime	(medicine) a systematic plan for therapy (often including diet)	
escape	the act of escaping physically	flight cage indication hospital escape guilt
escape	an inclination to retreat from unpleasant realities through diversion or fantasy	stress alcohol escape problem escapism novel form life
escape	nonperformance of something distasteful (as by deceit or trickery) that you are supposed to do	evasion duty escape consequence
escape	an avoidance of danger or difficulty	escape
escape	a means or way of escaping	worry work route hatch escape
escape	a plant originally cultivated but now growing wild	
escape	the discharge of a fluid from some container	pipe leak gas escape
escape	a valve in a container in which pressure can build up (as a steam boiler); it opens automatically when the pressure reaches a dangerous level	
opposite	a word that expresses a meaning opposed to the meaning of another word, in which case the two words are antonyms of each other	`gay antonym
opposite	a relation of direct opposition	reverse Bill Sue
opposite	a contestant that you are matched against	
opposite	something inverted in sequence or character or effect	approach inverse
direction	a line leading to a place or point	home direction way
direction	the spatial relation between something and the course along which it points or moves	direction velocity wind
direction	a general course along which something has a tendency to develop	career direction thought firm ideal
direction	something that provides direction or advice as to a decision or course of action	
direction	the act of managing something	management program government direction economy function
direction	a message describing how something is to be done	direction
direction	the act of setting and holding a course	direction council king
direction	a formal statement of a command or injunction to do something	jury charge judge
direction	the concentration of attention or energy on something	focus biology direction activity life
leave	the period of time during which you are absent from work or duty	day mother leave
leave	permission to do something	
leave	the act of departing politely	farewell sorrow leave
berlin	capital of Germany located in eastern Germany	
berlin	United States songwriter (born in Russia) who wrote more than 1500 songs and several musical comedies (1888-1989)	
berlin	a limousine with a glass partition between the front and back seats	
still	a static photograph (especially one taken from a movie and used for advertising purposes)	still magazine ad
still	(poetic) tranquil silence	night
still	an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed	
still	a plant and works where alcoholic drinks are made by distillation	
decision	the act of making up your mind about something	burden decision conclusion
decision	a position or opinion or judgment reached after consideration	panel conclusion account opposition evidence decision determination
decision	(boxing) a victory won on points when no knockout has occurred	trouble opponent decision
decision	the outcome of a game or contest	team row decision
decision	the trait of resoluteness as evidenced by firmness of character or purpose	decisiveness man
mother	a woman who has given birth to a child (also used as a term of address to your mother)	child mother
mother	a stringy slimy substance consisting of yeast cells and bacteria; forms during fermentation and is added to cider or wine to produce vinegar	
mother	a term of address for an elderly woman	
mother	a term of address for a mother superior	
mother	a condition that is the inspiration for an activity or situation	mother invention necessity
child	a young person of either sex	term `tiddler kid child book youngster
child	a human offspring (son or daughter) of any age	child college kid
child	an immature childish person	child matter baby
child	a member of a clan or tribe	child Israel
touch	the event of something coming in contact with the body	air touch hand night
touch	the faculty by which external objects or forces are perceived through contact with the body (especially the hands)	sight space object
touch	a suggestion of some quality	face touch sarcasm ghost smile tone
touch	a distinguishing style	touch room woman
touch	the act of putting two things together with no space between them	light touch room
touch	a slight but appreciable amount	touch dish garlic
touch	a communicative interaction	pilot touch base contact colleague
touch	a slight attack of illness	touch rheumatism
touch	the act of soliciting money (as a gift or loan)	touch beggar
touch	the sensation produced by pressure receptors in the skin	feeling touch silk surface skin
touch	deftness in handling matters	touch master
touch	the feel of mechanical action	touch piano
current	a flow of electricity through a conductor	ampere
current	a steady flow of a fluid (usually from natural causes)	raft air downstream water stream hose
current	dominant course (suggestive of running water) of successive events or ideas	flow thought consciousness stream history development
return	document giving the tax collector information about the taxpayer's tax liability	tax income return
return	a coming to or returning home	Australia party return
return	the occurrence of a change in direction back in the opposite direction	
return	getting something back again	owner tongue child restitution book lashing
return	the act of going back to a prior location	camp return base
return	the income or profit arising from such transactions as the sale of land or other property	% return
return	happening again (especially at regular intervals)	spring return
return	a quick reply to a question or remark (especially a witty or critical one)	teacher rejoinder
return	the key on electric typewriters or computer keyboards that causes a carriage return and a line feed	
return	a reciprocal group action	return
return	a tennis stroke that sends the ball back to the other player	point return
return	(American football) the act of running back the ball after a kickoff or punt or interception or fumble	
return	the act of someone appearing again	reappearance Hamlet
arrangement	the thing arranged or agreed to	Chicago arrangement
arrangement	an orderly grouping (of things or persons) considered as a unit; the result of arranging	flower arrangement
arrangement	an organized structure for arranging or classifying	arrangement organization fact classification topic system
arrangement	the spatial property of the way in which something is placed	furniture placement arrangement chair
arrangement	a piece of music that has been adapted for performance by a particular set of voices or instruments	
arrangement	the act of arranging and adapting a piece of music	
design	the act of working out the form of something (as by making a sketch or outline or plan)	design instrument
design	an arrangement scheme	guest design operation living keyboard plan
design	something intended as a guide for making something else	house pattern skirt blueprint
design	a decorative or artistic work	design door coach
design	an anticipated outcome that is intended or that guides your planned actions	intent need design translation secret aim intention
design	a preliminary sketch indicating the plan for something	building design
design	the creation of something in the mind	
home	where you live at a particular time	home place package mine
home	housing that someone is living in	home money dwelling homeless pond
home	the country or state or city where you live	home United New States tariff price Jersey company
home	(baseball) base consisting of a rubber slab where the batter stands; it must be touched by a base runner in order to score	runner home
home	the place where you are stationed and from which missions start and end	
home	place where something began and flourished	home United States basketball
home	an environment offering affection and security	home place Christian heart
home	a social unit living together	family teacher household home Christian house people Virginia
home	an institution where people are cared for	home
bar	a room or establishment where alcoholic drinks are served over a counter	whiskey bar sorrow
bar	a counter where you can obtain food or drink	coke bar dog
bar	a rigid piece of metal or wood; usually used as a fastening or obstruction or weapon	window bar escape
bar	musical notation for a repeating pattern of musical beats	bar twelve song orchestra
bar	an obstruction (usually metal) placed at the top of a goal	kick bar ball
bar	the act of preventing	prevention bar cause money influenza
bar	(meteorology) a unit of pressure equal to a million dynes per square centimeter	bar writer centimeter square dyne
bar	a submerged (or partly submerged) ridge in a river or along a shore	bar boat river
bar	the body of individuals qualified to practice law in a particular jurisdiction	Jersey bar New
bar	a narrow marking of a different color or texture from the background	toad bar Stripes stripe Stars
bar	a block of solid substance (such as soap or wax)	chocolate bar
bar	a portable .30 caliber automatic rifle operated by gas pressure and fed by cartridges from a magazine; used by United States troops in World War I and in World War II and in the Korean War	
bar	a horizontal rod that serves as a support for gymnasts as they perform exercises	
bar	a heating element in an electric fire	bar fire
bar	(law) a railing that encloses the part of the courtroom where the judges and lawyers sit and the case is tried	spectator bar
form	the phonological or orthographic sound or appearance of a word that can be used to describe or identify something	word list stem form inflection
form	a category of things distinguished by some common characteristic or quality	dessert sculpture art form
form	a perceptual structure	composition student pattern space problem form
form	any spatial attributes (especially as defined by outline)	shape
form	alternative names for the body of a human being	body flesh Leonardo physique spirit
form	the spatial arrangement of something as distinct from its substance	shape science geometry
form	the visual appearance of something or someone	feature cast
form	a printed document with spaces in which to write	tax form
form	(biology) a group of organisms within a species that differ in trivial ways from similar groups	strain microorganism
form	an arrangement of the elements in a composition or discourse	plot essay dialogue form
form	a particular mode in which something is manifested	hostility resentment form
form	(physical chemistry) a distinct state of matter in a system; matter that is identical in chemical composition and physical state and separated from other material by the phase boundary	reaction system phase
form	a body of students who are taught together	class morning
form	an ability to perform well	night top team form
form	a life-size dummy used to display clothes	
form	a mold for setting concrete	foundation form
mountain	a land mass that projects well above its surroundings; higher than a hill	
mountain	(often followed by `of') a large number or amount or extent	batch trouble letter journalist deal winner mint photo stock cost money market plenty slew wad rest lot passel
capital	assets available for use in the production of further assets	
capital	wealth in the form of money or property owned by a person or business and human resources of economic value	
capital	a seat of government	
capital	one of the large alphabetic characters used as the first letter in writing or printing proper names and sometimes for emphasis; capitals were kept in the upper half of the type case and so became known as upper-case letters"	letter case capital printer type
capital	a center that is associated more than any other with some activity or product	drug Columbia Italy crime capital
capital	the federal government of the United States	
capital	a book written by Karl Marx (1867) describing his economic theories	
capital	the upper part of a column that supports the entablature	
leadership	the activity of leading	leadership team
leadership	the body of people who lead a group	leadership plan
leadership	the status of a leader	union leadership
leadership	the ability to lead	leadership
ride	a journey in a vehicle (usually an automobile)	family drive car
ride	a mechanical device that you ride for amusement or excitement	
wave	one of a series of ridges that moves across the surface of a liquid (especially across a large body of water)	
wave	a movement like that of a sudden occurrence or increase in a specified phenomenon	troop settler wave
wave	(physics) a movement up and down or back and forth	
wave	something that rises rapidly	conservatism market emotion right country wave
wave	the act of signaling by a movement of the hand	
wave	a hairdo that creates undulations in the hair	
wave	an undulating curve	
wave	a persistent and widespread unusual weather condition (especially of unusual temperatures)	heat wave
wave	a member of the women's reserve of the United States Navy; originally organized during World War II but now no longer a separate branch	
sweep	a wide scope	sweep plain
sweep	someone who cleans soot from chimneys	
sweep	winning all or all but one of the tricks in bridge	
sweep	a long oar used in an open boat	
sweep	(American football) an attempt to advance the ball by running around the end of the line	
sweep	a movement in an arc	sweep arm
battle	a hostile meeting of opposing military forces in the course of a war	Grant engagement victory battle Chickamauga idea war
battle	an energetic attempt to achieve something	battle crowd struggle recognition
battle	an open clash between two opposing groups (or individuals)	triumph Thomas battle conflict Paine mob anti-abortion police
call	a telephone connection	call phone London
call	a special disposition (as if from a divine source) to pursue a particular course	Call
call	a loud utterance; often in protest or opposition	speaker rear audience cry
call	a demand especially in the phrase "the call of duty"	
call	the characteristic sound produced by a bird	bird age song
call	a brief social visit	residence James newcomer afternoon Henry novel call parlor character professor
call	a demand by a broker that a customer deposit enough to bring his margin up to the minimum requirement	
call	a demand for a show of hands in a card game	raise call
call	a request	buggywhips call Christmas story
call	an instruction that interrupts the program being executed	name routine call performs
call	a visit in an official or professional capacity	parishioner customer salesman call pastor
call	(sports) the decision made by an umpire or referee	call
call	the option to buy a given stock (or stock index or commodity future) at a given price before a given date	
man	an adult person who is male (as opposed to a woman)	men bus woman
man	someone who serves in the armed forces; a member of a military force	duty men sentry
man	the generic use of the word to refer to any human being	man
man	any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage	
man	a male subordinate	word man building chief men Havana
man	an adult male person who has a manly character (virile and courageous competent)	army man
man	a manservant who acts as a personal attendant to his employer	man Wooster Bertie Jeeves
man	a male person who plays a significant role (husband or lover or boyfriend) in the life of a particular woman	care man
man	one of the British Isles in the Irish Sea	
man	game equipment consisting of an object used in playing certain board games	piece chess board men advantage
man	all of the living human inhabitants of the earth	`mankind `humankind lover woman world
die	a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers	
die	a device used for shaping metal	
die	a cutting tool that is fitted into a diestock and used for cutting male (external) screw threads on screws or bolts or pipes or rods	
body	the entire structure of an organism (an animal, plant, or human being)	body fire
body	a group of persons associated by some common tie or occupation and regarded as an entity	student auditorium body
body	a natural object consisting of a dead animal or person	lake body
body	an individual 3-dimensional object that has mass and that is distinguishable from other objects	body
body	the body excluding the head and neck and limbs	leg body arm
body	a collection of particulars considered as a system	precedent doctrine body law
body	the property of holding together and retaining its shape	body dough consistency rayon wool
body	the central message of a communication	body message
body	the main mass of a thing	
body	a resonating chamber in a musical instrument (as the body of a violin)	
body	the external structure of a vehicle	body car
transfer	the act of moving something from one location to another	
transfer	someone who transfers or is transferred from one position to another	student LSU transfer
transfer	the act of transfering something from one form to another	transfer background noise record music
transfer	a ticket that allows a passenger to change conveyances	
transfer	application of a skill learned in one situation to a different but similar situation	
transfer	transferring ownership	
square	(geometry) a plane rectangle with four equal sides and four right angles; a four-sided regular polygon	square length side area
square	the product of two equal terms	square distance gravity power
square	an open area at the meeting of two or more streets	
square	something approximating the shape of a square	
square	someone who doesn't understand what is going on	
square	a formal and conservative person with old-fashioned views	
square	any artifact having a shape similar to a plane geometric figure with four equal sides and four right angles	square checkerboard
square	a hand tool consisting of two straight arms at right angles; used to construct or test right angles	square room carpenter
portrait	a word picture of a person's appearance and character	
portrait	any likeness of a person, in any medium	photographer portrait
today	the present time or age	world computer today
today	the day that includes the present moment (as opposed to yesterday or tomorrow)	newspaper today Today
guide	someone employed to conduct others	
guide	someone who shows the way by leading or advising	
guide	something that offers basic information or instruction	
guide	a model or standard for making comparisons	
guide	someone who can find paths through unexplored territory	
guide	a structure or marking that serves to direct the motion or positioning of something	
grey	United States writer of western adventure novels (1875-1939)	
grey	Queen of England for nine days in 1553; she was quickly replaced by Mary Tudor and beheaded for treason (1537-1554)	
grey	Englishman who as Prime Minister implemented social reforms including the abolition of slavery throughout the British Empire (1764-1845)	
grey	any organization or party whose uniforms or badges are grey	army grey Confederate
grey	a neutral achromatic color midway between white and black	
grey	clothing that is a grey color	grey
grey	horse of a light gray or whitish color	
suit	a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color	suit
suit	a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy	family suit landlord
suit	(slang) a businessman dressed in a business suit	line suit care
suit	a man's courting of a woman; seeking the affections of a woman (usually with the hope of marriage)	courtship
suit	a petition or appeal made to a person of superior status or rank	
suit	playing card in any of four sets of 13 cards in a pack; each set has its own symbol and color	card bridge suit flush
gathering	a group of persons together in one place	
gathering	the social act of assembling	assembly right
gathering	the act of gathering something	
gathering	sewing consisting of small folds or puckers made by pulling tight a thread in a line of stitching	
drop	a shape that is spherical and small	forehead low-viscosity bead drop shape sweat
drop	a small indefinite quantity (especially of a liquid)	pity sample man driblet drop year blood-money
drop	a sudden sharp decrease in some quantity	fall index artery Jones stock point price dip drop pressure Dow
drop	a steep high face of rock	town drop cliff
drop	a predetermined hiding place for the deposit and distribution of illicit goods (such as drugs or stolen property)	
drop	a free and rapid descent by the force of gravity	drop height miracle
drop	a curtain that can be lowered and raised onto a stage from the flies; often used as background scenery	
drop	a central depository where things can be left or picked up	
drop	the act of dropping something	drop
post	the position where someone (as a guard or sentry) stands or is assigned to stand	sentry entrance soldier station post
post	military installation at which a body of troops is stationed	source club town officer post income
post	a job in an organization	post treasury
post	an upright consisting of a piece of timber or metal fixed firmly in an upright position	row ground strung post barbwire
post	United States aviator who in 1933 made the first solo flight around the world (1899-1935)	
post	United States female author who wrote a book and a syndicated newspaper column on etiquette (1872-1960)	
post	United States manufacturer of breakfast cereals and Postum (1854-1914)	
post	any particular collection of letters or packages that is delivered	post table mail
post	a pole or stake set up to mark something (as the start or end of a race track)	goal pair stake corner post lot
post	the system whereby messages are transmitted via the post office	mail item service United States billion day England post `the
post	the delivery and collection of letters and packages	post
rehabilitation	the restoration of someone to a useful place in society	
rehabilitation	the conversion of wasteland into land suitable for use of habitation or cultivation	
rehabilitation	vindication of a person's character and the re-establishment of that person's reputation	
rehabilitation	the treatment of physical disabilities by massage and electrotherapy and exercises	
fight	a hostile meeting of opposing military forces in the course of a war	Grant engagement victory battle Chickamauga idea war
fight	the act of fighting; any contest or struggle	hockey game fight couple street scrap
fight	an aggressive willingness to compete	team fight
fight	an intense verbal dispute	Senate bill fight
fight	a boxing or wrestling match	television fight night
small	the slender part of the back	
small	a garment size for a small person	
visit	the act of going to see some person or place or thing for a short time	visit
visit	a meeting arranged by the visitor to see someone (such as a doctor or lawyer) for treatment or advice	dentist visit
visit	the act of visiting in an official capacity (as for an inspection)	
visit	the act of going to see some person in a professional capacity	dentist visit
visit	a temporary stay (e.g., as a guest)	
crew	the men and women who man a vehicle (ship, aircraft, etc.)	
crew	an organized group of workmen	
crew	an informal body of friends	crowd
crew	the team of men manning a racing shell	
war	the waging of armed conflict against an enemy	thousand people war
war	a legal state created by a declaration of war and ended by official declaration during which the international rules of war apply	spring fighting war November
war	an active struggle between competing entities	wit price war warfare
war	a concerted campaign to end something that is injurious	poverty crime war
front	the side that is forward or prominent	
front	the line along which opposing armies face each other	
front	the outward appearance of a person	front
front	the side that is seen or that goes first	
front	a person used as a cover for some questionable activity	
front	a sphere of activity involving effort	front Japanese week
front	(meteorology) the atmospheric phenomenon created at the boundary between two different air masses	
front	the immediate proximity of someone or something	front presence danger company
front	the part of something that is nearest to the normal viewer	stage front
front	a group of people with a common ideology who try together to achieve certain general goals	politician front liberation movement member mass
reign	a period during which something or somebody is dominant or powerful	reign egotism
reign	the period during which a monarch is sovereign	reign Henry VIII
reign	royal authority; the dominion of a monarch	
world	everything that exists anywhere	universe evolution tree existence
world	people in general; especially a distinctive group of people with some shared interest	world
world	all of your experiences that determine how things appear to you	tree demon part reality world
world	the 3rd planet from the sun; the planet we live on	sun world Earth
world	people in general considered as a whole	public hero eye
world	a part of the earth that can be considered separately	insect world
world	the concerns of this life as distinguished from heaven and the afterlife	church world
world	all of the living human inhabitants of the earth	`mankind `humankind lover woman world
view	a way of regarding situations or topics etc.	view positivist
view	the visual percept of a region	park view feature
view	the act of looking or seeing or observing	view battlefield survey
view	the range of the eye	view
view	a personal belief or judgment that is not founded on proof or certainty	Haiti persuasion thought yours differs opinion
view	a message expressing a belief about something; the expression of a belief that is held with confidence but not substantiated by positive knowledge or proof	page opinion editorial
view	purpose; the phrase `with a view to' means `with the intention of' or `for the purpose of'	view computer
view	graphic art consisting of the graphic or photographic representation of a visual percept	show equipment scene view figure life
view	the range of interest or activity that can be anticipated	knowledge horizon
view	outward appearance	view
success	an event that accomplishes its intended purpose	let failure success Whigs election
success	an attainment that is successful	success play marathon
success	a state of prosperity or fame	wealth success
success	a person with a record of successes	winner son father success achiever
house	a dwelling that serves as living quarters for one or more families	house Cod Cape
house	the members of a business organization that owns or operates one or more establishments	brokerage house
house	the members of a religious community living together	
house	the audience gathered together in a theatre or cinema	house
house	an official assembly having legislative powers	house legislature
house	aristocratic family line	House York
house	play in which children take the roles of father or mother or children and pretend to interact like adults	child house
house	(astrology) one of 12 equal areas into which the zodiac is divided	
house	the management of a gambling house or casino	house bet percentage
house	a social unit living together	family teacher household home Christian house people Virginia
house	a building where theatrical performances or motion-picture shows can be presented	house
house	a building in which something is sheltered or located	house carriage
south	the region of the United States lying to the south of the Mason-Dixon line	
south	the southern states that seceded from the United States in 1861	
south	the cardinal compass point that is at 180 degrees	
south	a location in the southern part of a country, region, or city	
south	the direction corresponding to the southward cardinal compass point	
gain	a quantity that is added	tax addition property week cattle gain period weight year
gain	the advantageous quality of being beneficial	
gain	the amount of increase in signal power or voltage or current expressed as the ratio of output to input	
gain	the amount by which the revenue of a business exceeds its cost of operating	
palace	a large and stately mansion	
palace	the governing group of a kingdom	order subject palace
palace	a large ornate exhibition hall	
palace	official residence of an exalted person (as a sovereign)	
mixture	(chemistry) a substance consisting of two or more substances mixed together (not in fixed proportions and not with chemical bonding)	
mixture	any foodstuff made by combining different ingredients	beer lemonade concoction mixture
mixture	a collection containing a variety of sorts of things	smorgasbord assortment car display variety religion disorder
mixture	an event that combines things in a mixture	culture mixture
mixture	the act of mixing together	mixing water recording mix sound channel studio paste flour
influence	a power to affect persons or events especially power based on prestige etc	job influence parent
influence	causing something without any direct or apparent effort	
influence	a cognitive factor that tends to have an effect on what you do	influence thinking wish
influence	the effect of one thing (or person) on another	influence action
influence	one having power to influence another	child influence life
study	a detailed critical inspection	
study	applying the mind to learning and understanding a subject (especially by reading)	school work design study graduate language lot
study	a written document describing the findings of some individual or group	study Dale Hill accord
study	a state of deep mental absorption	study
study	a room used for reading and writing and studying	study door
study	a branch of knowledge	teacher doctorate being study anthropology discipline subject
study	preliminary drawing for later elaboration	study
study	attentive consideration and meditation	cogitation offer
study	someone who memorizes quickly and easily (as the lines for a part in a play)	study
study	a composition intended to develop one aspect of the performer's technique	study bowing spiccato
access	the right to enter	
access	the right to obtain or make use of or take advantage of something (as services or membership)	
access	a way of entering or leaving	turn access bridge
access	a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)	
access	(computer science) the operation of reading or writing stored information	
access	the act of approaching or entering	building access
music	an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner	
music	any agreeable (pleasing and harmonious) sounds	wind music chime
music	musical activity (singing or whistling etc.)	interest music
music	(music) the sounds produced by singers or musical instruments (or reproductions of such sounds)	
music	punishment for one's actions	medicine music
lay	a narrative song with a recurrent refrain	
lay	a narrative poem of popular origin	
foundation	the basis on which something is grounded	foundation objection
foundation	an institution supported by an endowment	
foundation	lowest support of a structure	foot tower rock base
foundation	education or instruction in the fundamentals of a field of knowledge	study foundation mathematics grounding
foundation	the fundamental assumptions from which something is begun or developed or calculated or explained	basis conjecture argument
foundation	a woman's undergarment worn to give shape to the contours of the body	
foundation	the act of starting something for the first time; introducing something new	foundation adult initiation society
blend	an occurrence of thorough mixing	
blend	a new word formed by joining two others and combining their meanings	`motor portmanteau `hotel word `brunch blend `smog `smoke `fog `motel
blend	the act of blending components together thoroughly	
hallmark	a distinctive characteristic or attribute	
hallmark	a mark on an article of trade to indicate its origin and authenticity	
set	a group of things of the same kind that belong together and are so used	teeth golf club set book
set	(mathematics) an abstract collection of numbers or symbols	number set
set	several exercises intended to be done in series	press bench set incline
set	representation consisting of the scenery and other properties used to identify the location of a dramatic production	set
set	an unofficial association of people or groups	lot set
set	a relatively permanent inclination to react in a particular way	mind set
set	the act of putting something in position	hat set
set	a unit of play in tennis or squash	dinner tennis set
set	the process of becoming hard or solid by cooling or drying or crystallization	concrete glue hardening set
set	evil Egyptian god with the head of a beast that has high square ears and a long snout; brother and murderer of Osiris	
set	the descent of a heavenly body below the horizon	sun set
set	(psychology) being temporarily ready to respond in a particular way	instruction solution set simpler way problem subject
