"word"	"definition"	"concepts"
"escape"	"flee; take to one's heels; cut and run"	"police man burglar"
"escape"	"issue or leak, as from a small opening"	"bedroom Gas"
"leave"	"go away from a place"	"time ship midnight train"
"leave"	"go and leave behind, either intentionally or by neglect or forgetfulness"	"mess husband year marriage luck"
"leave"	"act or be so as to become in a specified state"	"penniless remark president inflation"
"leave"	"leave unchanged or undisturbed or refrain from taking"	"flower park fawn"
"leave"	"move out of or depart from"	"fugitive country room"
"leave"	"make a possibility or provide opportunity for; permit to be attainable or cause to remain"	"leeway trip allow time improvement mistake procedure evidence lot room conclusion"
"leave"	"have as a result or residue"	"mark silk napkin water dress stain blood"
"leave"	"remove oneself from an association with or participation in"	"year stake term Senate Cross Red home company position teenager"
"leave"	"put into the care or protection of someone"	"child deputy care decision nurse"
"leave"	"leave or give by will after one's death"	"jewelry aunt estate grandfather"
"leave"	"have left or have as a remainder"	"leaf"
"leave"	"be survived by after one's death"	"death child cat husband"
"leave"	"transmit (knowledge or skills)"	"Russians student name address skill"
"leave"	"leave behind unintentionally"	"door restaurant umbrella key car"
"destine"	"decree or designate beforehand"	"pianist"
"destine"	"design or destine"	"director"
"still"	"make calm or still"	"dragon worry fear"
"still"	"cause to be quiet or not talk"	"silence child church"
"still"	"lessen the intensity of or calm"	"news conscience fear"
"still"	"make motionless"	
"suffer"	"undergo or be subjected to"	"penalty saint martyrdom"
"suffer"	"undergo (as of injuries and illnesses)"	"shock accident bar arm candy leg scuffle bruise broken fracture insulin"
"suffer"	"experience (emotional) pain"	"suffers time husband"
"suffer"	"put up with something or somebody unpleasant"	"secretary year marriage lot remark criticism heat"
"suffer"	"get worse"	"grade"
"suffer"	"feel pain or be in pain"	
"suffer"	"feel physical pain"	"accident Were"
"suffer"	"feel unwell or uncomfortable"	"weather"
"suffer"	"be given to"	"tendency"
"suffer"	"undergo or suffer"	"death fate"
"suffer"	"be set at a disadvantage"	"translation author"
"live"	"inhabit or live in; be an inhabitant of"	"million year kind ocean island Africa dwells people bottom deer People wood"
"live"	"lead a certain kind of life; live in a certain style"	"war"
"live"	"continue to live through hardship or adversity"	"accident person driver car water day race backwater food superstition America"
"live"	"support oneself"	"New day wage York people month City world"
"live"	"have life, be alive"	"end war leader grandfather"
"live"	"have firsthand knowledge of states, situations, emotions, or sensations"	"hunger hell holocaust divorce feeling kind drug survivor nightmare addict"
"live"	"pursue a positive and satisfying existence"	"others"
"announce"	"make known; make an announcement"	"feeling"
"announce"	"announce publicly or officially"	"President war"
"announce"	"give the names of"	"winner spelling bee"
"announce"	"foreshadow or presage"	
"fail"	"fail to do something; leave something undone"	"secretary account child customer company crib"
"fail"	"be unsuccessful"	"school hostage attempt fail today"
"fail"	"disappoint, prove undependable to; abandon, forsake"	"smell child time crisis strength sense"
"fail"	"stop operating or functioning"	"engine accident road town way eyesight bus coffee maker car"
"fail"	"be unable"	"motif"
"fail"	"judge unacceptable"	"student teacher"
"fail"	"fail to get a passing grade"	"Did test"
"fail"	"fall short in what is expected"	"victim daughter-in-law Holocaust obligation"
"fail"	"become bankrupt or insolvent; fail financially and close"	"bank competition year labor company Mexican number toy"
"fail"	"prove insufficient"	"water supply town drought"
"fail"	"get worse"	"health"
"mother"	"care for like a mother"	"husband"
"mother"	"make children"	"Abraham Isaac Men child"
"touch"	"make physical contact with, come in contact with"	"stone luck husband"
"touch"	"perceive via the tactile sense"	"Keller object Helen people world"
"touch"	"affect emotionally"	"letter kind movie sympathy"
"touch"	"be relevant to"	"comment talk question remark lot"
"touch"	"be in direct physical contact with; make contact"	"contact hand wire point metal building cover surface"
"touch"	"have an effect upon"	"rule"
"touch"	"deal with; usually used with a form of negation"	"pole Mafia"
"touch"	"cause to be in brief contact with"	"toe flank horse"
"touch"	"to extend as far as"	"sunlight wall chair"
"touch"	"be equal to in quality or ability"	"colleague persistence performance durability parent ambition cotton Nothing"
"touch"	"tamper with"	"CDs"
"touch"	"make a more or less disguised reference to"	"problem"
"touch"	"comprehend"	"poem meaning"
"touch"	"consume"	"food night"
"touch"	"color lightly"	"hair leaf blond November"
"reassure"	"cause to feel sure; give reassurance to"	"customer plane airline"
"reassure"	"give or restore confidence in; cause to feel sure or certain"	
"enter"	"to come or go into"	"marsh area boat"
"enter"	"become a participant; be involved in"	"negotiation drug program enter race agreement treatment"
"enter"	"register formally as a participant or member"	"member party"
"enter"	"be or play a part of or in"	"election program pattern politics government Elections figure"
"enter"	"make a record of; set down in permanent form"	
"enter"	"come on stage"	
"enter"	"take on duties or office"	"throne accede"
"enter"	"put or introduce into something"	"picture text"
"enter"	"set out on (an enterprise or subject of study)"	"career"
"collect"	"get or gather together"	"data fortune evidence man thesis wife lot"
"collect"	"call for and obtain payment of"	"debt dollar rent"
"collect"	"assemble or get together"	"stone thought"
"collect"	"get or bring together"	"evidence accumulate"
"collect"	"gather or collect"	"center day child result week care Monday trash"
"return"	"go or come back to place, condition, or activity where one has been before"	"return Dean professor land position"
"return"	"give back"	"money render"
"return"	"go back to a previous state"	"rule"
"return"	"go back to something earlier"	"remark"
"return"	"bring back to the point of departure"	
"return"	"return in kind"	"compliment"
"return"	"make a return"	"kickback"
"return"	"answer back"	
"return"	"be restored"	"vigor"
"return"	"pay back"	"money Please"
"return"	"pass down"	"verdict judgment"
"return"	"elect again"	
"return"	"be inherited by"	"sister heir land estate everybody family"
"return"	"return to a previous position; in mathematics"	"interior point figure"
"return"	"give or supply"	"liter cow family year corn milk revenue estate bushel crop"
"return"	"submit (a report, etc.) to someone in authority"	"bill body"
"design"	"make or work out a plan for; devise"	"bos attack design sale plan strategy"
"design"	"plan something for a specific role or purpose or effect"	"room work"
"design"	"create the design for; create or execute in an artistic or highly skilled manner"	"Chanel suit"
"design"	"make a design of; plan out in systematic, often graphic form"	"design plan wing museum mousetrap"
"design"	"create designs"	"design Chanel house Dupont"
"design"	"conceive or fashion in the mind; invent"	"excuse class day"
"design"	"intend or have as a purpose"	"business world"
"meet"	"come together"	"meeting"
"meet"	"get together socially or for a specific purpose"	
"meet"	"be adjacent or come together"	"line point converge"
"meet"	"fill or meet a want or need"	
"meet"	"satisfy a condition or restriction"	"degree requirement paper"
"meet"	"satisfy or fulfill"	"need job dream"
"meet"	"collect in one place"	"dining gather basement church room"
"meet"	"get to know; get acquainted with"	"Singapore night guy bar"
"meet"	"meet by design; be present at the arrival of"	"station train"
"meet"	"contend against an opponent in a sport, game, or battle"	"Charlie Princeton Yale Mary weekend"
"meet"	"experience as a reaction"	"opposition proposal"
"meet"	"undergo or suffer"	"death fate"
"meet"	"be in direct physical contact with; make contact"	"contact hand wire point metal building cover surface"
"home"	"provide with, or send to, a home"	
"home"	"return home accurately from a long distance"	"pigeon"
"bar"	"prevent from entering; keep out"	"club membership"
"bar"	"render unsuitable for passage"	"way street road"
"bar"	"expel, as if by official decree"	"country"
"bar"	"secure with, or as if with, bars"	"door"
"form"	"create (as an entity)"	"company group"
"form"	"to compose or represent:""This wall forms the background of the stage setting"""	"introduction roof branch"
"form"	"develop into a distinctive entity"	"shape plan"
"form"	"give shape or form to"	"character shape child dough"
"form"	"make something, usually for a specific function"	"dough cylinder metal rice ball Form sword shape figure"
"form"	"establish or impress firmly in the mind"	"child idea"
"form"	"assume a form or shape"	"bead water"
"slow"	"lose velocity; move more slowly"	"car"
"slow"	"become slow or slower"	"Production"
"slow"	"cause to proceed more slowly"	"illness"
"describe"	"give a description of"	"attack plan"
"describe"	"to give an account or representation of in words"	"police Discreet manner"
"describe"	"make a mark or lines on a surface"	"line outline sand trace figure"
"describe"	"identify as in botany or biology, for example"	
"ride"	"sit and travel on the back of animal, usually while controlling its motions"	"Did horse mare girl camel"
"ride"	"be carried or travel on or in a vehicle"	"subway bus day"
"ride"	"continue undisturbed and without interference"	
"ride"	"move like a floating object"	"rode moon night sky"
"ride"	"harass with persistent criticism or carping"	"child worker failure tie jacket teacher"
"ride"	"be sustained or supported or borne"	"rode wave mother child popularity victory name nose brother glass father hip"
"ride"	"have certain properties when driven"	"truck drive car"
"ride"	"be contingent on"	"outcome grade election result homework"
"ride"	"lie moored or anchored"	"anchor Ship"
"ride"	"sit on and control a vehicle"	"day town bicycle motorcycle"
"ride"	"climb up on the body"	"Shorts keep leg"
"ride"	"ride over, along, or through"	"California freeway"
"ride"	"keep partially engaged by slightly depressing a pedal with the foot"	"clutch"
"ride"	"copulate with"	"bull cow"
"wave"	"signal with the hands or nod"	"hand friend"
"wave"	"move or swing back and forth"	"gun"
"wave"	"move in a wavy pattern or with a rising and falling motion"	"towards beach wave curtain"
"wave"	"twist or roll into coils or ringlets"	"hair curl please"
"wave"	"set waves in"	"hair hairdresser"
"sweep"	"sweep across or over"	"audience skirt gasp floor"
"sweep"	"move with sweeping, effortless, gliding motions"	"diva sky Shreds air paper room searchlight"
"sweep"	"sweep with a broom or as if with a broom"	"Sweep crumb table bed"
"sweep"	"force into some kind of situation, condition, or course of action"	"event business"
"sweep"	"to cover or extend over an area or time period"	"Rivers floor valley novel span parking century lot acre"
"sweep"	"clean by sweeping"	"floor"
"sweep"	"win an overwhelming victory in or on"	"show dog championship"
"sweep"	"cover the entire range of"	
"sweep"	"make a big sweeping gesture or movement"	
"call"	"assign a specified (usually proper) proper name to"	"Civil son school David Rights leader"
"call"	"ascribe a quality to or give a name of a common noun that reflects a quality"	"child bastard"
"call"	"get or try to get into communication (with someone) by telephone"	"night aspirin morning"
"call"	"utter a sudden loud cry"	"pain doctor needle window"
"call"	"order, request, or command to come"	"police office director"
"call"	"pay a brief visit"	"mayor citizen"
"call"	"call a meeting; invite or command to meet"	"Wannsee Conference dean Solution meeting week"
"call"	"read aloud to check for omissions or absentees"	"roll"
"call"	"send a message or attempt to reach someone by radio, phone, etc.; make a signal to in order to transmit a message"	"transmitter Samoa Hawaii"
"call"	"utter a characteristic note or cry"	"bluejays"
"call"	"stop or postpone because of adverse conditions, such as bad weather"	"game football"
"call"	"greet, as with a prescribed form, title, or name"	"`Sir name"
"call"	"make a stop in a harbour"	"tomorrow Honolulu ship"
"call"	"demand payment of (a loan)"	"loan"
"call"	"make a demand, as for a card or a suit or a show of hands"	"trump"
"call"	"give the calls (to the dancers) for a square dance"	
"call"	"indicate a decision in regard to"	"call ball strike plate"
"call"	"make a prediction about; tell in advance"	"election outcome"
"call"	"require the presentation of for redemption before maturation"	"bond"
"call"	"challenge (somebody) to make good on a statement; charge with or censure for an offense"	
"call"	"declare in the capacity of an umpire or referee"	"runner"
"call"	"lure by imitating the characteristic call of an animal"	"duck Call"
"call"	"order or request or give a command for"	"union Sunday strike"
"call"	"order, summon, or request for a specific duty or activity, work, role"	"time duty jury"
"call"	"utter in a loud voice or announce"	"name auctioneer bid"
"call"	"challenge the sincerity or truthfulness of"	"fact speaker question"
"call"	"consider or regard as being"	"beautiful"
"call"	"rouse somebody from sleep with a call"	"A.M. morning"
"man"	"take charge of a certain job; occupy a certain work place"	"Mr. desk Smith reception morning"
"man"	"provide with workers"	"Students man booth desk"
"die"	"pass from physical life and lose all bodily attributes and functions necessary to sustain life"	"guy child cancer patient fire bucket age"
"die"	"suffer or face the pain of death"	"Martyrs day faith"
"die"	"be brought to or as if to the point of death by an intense emotion such as embarrassment, amusement, or shame"	"show lie embarrassment"
"die"	"stop operating or functioning"	"engine accident road town way eyesight bus coffee maker car"
"die"	"feel indifferent towards"	"monastery thing"
"die"	"languish as with love or desire"	"cigarette"
"die"	"cut or shape with a die"	"Die leather belt"
"die"	"to be on base at the end of an inning, of a player"	
"die"	"lose sparkle or bouquet"	"beer wine"
"die"	"disappear or come to an end"	"secret anger"
"die"	"suffer spiritual death; be damned (in the religious sense)"	"Whosoever..believes"
"transfer"	"transfer somebody to a different position or location of work"	
"transfer"	"move from one place to another"	"data transmit patient hospital news"
"transfer"	"lift and reset in another soil or situation"	"plant rice"
"transfer"	"move around"	"packet trouser jacket pocket"
"transfer"	"cause to change ownership"	"child holding stock"
"transfer"	"change from one vehicle or transportation line to another"	"Chicago way East coast"
"transfer"	"send from one person or place to another"	"message transmit"
"transfer"	"shift the position or location of, as for business, legal, educational, or military purposes"	"troop countryside child court city forest case"
"transfer"	"transfer from one place or period to another"	"Greek America story Modern"
"read"	"interpret something that is written or printed"	"Rushdie advertisement Salman"
"read"	"have or contain a certain wording or form"	"passage law"
"read"	"look at, interpret, and say out loud something that is written or printed"	"noon proclamation King"
"read"	"obtain data from magnetic tapes"	"computer"
"read"	"interpret the significance of, as of palms, tea leaves, intestines, the sky; also of human behavior"	"behavior fate teller crystal rain ball sky"
"read"	"interpret something in a certain way; convey a particular meaning or impression"	"message credit satire address"
"read"	"be a student of a certain subject"	"exam bar"
"read"	"indicate a certain reading; of gauges and instruments"	"`empty zero degree gauge thermometer"
"read"	"audition for a stage role by reading parts of a role"	"Caesar Stratford year `Julius"
"read"	"to hear and understand"	
"read"	"make sense of a language"	
"square"	"make square"	"file Square circle wood"
"square"	"raise to the second power"	
"square"	"cause to match, as of ideas or acts"	
"square"	"position so as to be square"	"shoulder"
"square"	"be compatible with"	"idea"
"square"	"pay someone and settle a debt"	
"square"	"turn the paddle; in canoeing"	
"square"	"turn the oar, while rowing"	
"guide"	"direct the course; determine the direction of travelling"	
"guide"	"take somebody somewhere"	"palace chief entrance"
"guide"	"be a guiding or motivating force or drive"	"student teacher course"
"guide"	"use as a guide"	"light"
"guide"	"pass over, across, or through"	"figurine hair body eye finger"
"grey"	"make grey"	"painter sky"
"grey"	"turn grey"	"hair"
"suit"	"be agreeable or acceptable to"	"need suit"
"suit"	"be agreeable or acceptable"	"time suit"
"suit"	"accord or comport with"	"behavior kind woman"
"suit"	"enhance the appearance of"	"behavior Electra becomes"
"gathering"	"assemble or get together"	"stone thought"
"gathering"	"collect in one place"	"dining gather basement church room"
"gathering"	"collect or gather"	"office Journals work"
"gathering"	"conclude from evidence"	"homework"
"gathering"	"draw together into folds or puckers"	
"gathering"	"get people together"	"colleague family member project"
"gathering"	"draw and bring closer"	"shawl shoulder"
"gathering"	"look for (food) in nature"	"nut ancestor Fall"
"gathering"	"increase or develop"	"movement momentum gather peace car"
"organise"	"bring order and organization to"	"file"
"organise"	"create (as an entity)"	"company group"
"organise"	"form or join a union"	"worker auto"
"organise"	"cause to be structured or ordered or operating according to some principle or idea"	
"organise"	"arrange by systematic planning and united effort"	"plot director plan strike office"
"organise"	"plan and direct (a complex undertaking)"	"robbery"
"drop"	"let fall to the ground"	"dish"
"drop"	"to fall vertically"	"enemy bomb target"
"drop"	"go down in value"	"price Stock"
"drop"	"fall or descend to a lower place or level"	"knee"
"drop"	"terminate an association with"	"Republican ticket drop"
"drop"	"utter with seeming casualness; drop names"""	"drop hint"
"drop"	"stop pursuing or acting"	"drop lawsuit"
"drop"	"leave or unload"	"passenger drop hotel cargo"
"drop"	"cause to fall by or as if by delivering a blow"	"hiker tree strike"
"drop"	"lose (a game)"	"Giants"
"drop"	"pay out"	"money"
"drop"	"lower the pitch of (musical notes)"	
"drop"	"hang freely"	"light ceiling ornament tree"
"drop"	"stop associating with"	"child wedlock"
"drop"	"let or cause to fall in drops"	"oil mixture"
"drop"	"get rid of"	"bos clothes pushy image"
"drop"	"take (a drug, especially LSD), by mouth"	"teenager acid"
"drop"	"omit (a letter or syllable) in speaking or writing"	"Englanders New r"
"drop"	"leave undone or leave out"	"worker ten typo conveyor"
"drop"	"change from one level to another"	"army jargon"
"drop"	"fall or sink into a state of exhaustion or death"	"til shop"
"drop"	"grow worse"	"discussion Conditions condition slum match"
"drop"	"give birth; used for animals"	"cow calf morning"
"post"	"affix in a public place or for public notice"	"warning post"
"post"	"publicize with, or as if with, a poster"	"news board bulletin"
"post"	"assign to a post; put into a post"	"newspaper Timbuktu"
"post"	"assign to a station"	
"post"	"display, as of records in sports games"	
"post"	"enter on a public list"	
"post"	"transfer (entries) from one account book to another"	
"post"	"ride Western style and bob up and down in the saddle in rhythm with a horse's trotting gait"	
"post"	"mark with a stake"	"stake path"
"post"	"place so as to be noticed"	"sign post dump warning"
"post"	"cause to be directed or transmitted to another place"	"result paper"
"post"	"mark or expose as infamous"	"woman"
"invite"	"increase the likelihood of"	"trouble ask criticism"
"invite"	"invite someone to one's house"	"dinner Sunday night"
"invite"	"give rise to a desire by being attractive or inviting"	"display shopper window"
"invite"	"ask someone in a friendly way to do something"	
"invite"	"have as a guest"	"restaurant"
"invite"	"ask to enter"	"cup neighbor coffee"
"invite"	"request the participation or presence of"	"conference organizer submission paper"
"invite"	"express willingness to have in one's home or environs"	"community refugee"
"fight"	"be engaged in a fight; carry on a fight"	"country control group Siblings tribesman"
"fight"	"fight against or resist strongly"	"bill senator"
"fight"	"make a strenuous or labored effort"	"year welfare breath"
"fight"	"exert oneself continuously, vigorously, or obtrusively to gain an end or engage in a crusade for a certain cause or person; be an advocate for"	"woman party candidate Dean right reform"
"visit"	"go to see a place, as for entertainment"	"Eiffel Tower morning"
"visit"	"go to certain places as for sightseeing"	"Did Paris"
"visit"	"pay a brief visit"	"mayor citizen"
"visit"	"come to see in an official or professional capacity"	"governor prison administrator grant laboratory"
"visit"	"impose something unpleasant"	"rage student principal"
"visit"	"talk socially without exchanging too much information"	"cafe breeze men"
"visit"	"stay with as a guest"	"relative country summer month"
"visit"	"assail"	"illness"
"front"	"be oriented in a certain direction, often with respect to another reference point; be opposite to"	"look pond backyard building park house"
"front"	"confront bodily"	"storm"
"reign"	"have sovereign power"	"time VIII Henry"
"reign"	"be larger in number, quantity, power, status or importance"	"neighborhood Money Hispanics supreme"
"view"	"deem to be"	"situation"
"view"	"look at carefully; study mentally"	"problem view"
"view"	"see or watch"	"Broadway show program exhibition television movie view world"
"house"	"contain or cover"	"gear box house"
"house"	"provide housing for"	"immigrant development town"
"gain"	"obtain"	"pleasure garden"
"gain"	"win something through one's efforts"	"passing understanding finance knowledge"
"gain"	"derive a benefit from"	"experience"
"gain"	"reach a destination, either real or abstract"	"line MAC doorstep water Detroit noon weekend machine"
"gain"	"obtain advantages, such as points, etc."	"Blazers Lakers Knicks Conference team battle home berth ground playoff"
"gain"	"rise in rate or price"	"market point stock today"
"gain"	"increase or develop"	"movement momentum gather peace car"
"gain"	"earn on some commercial or business transaction; earn as salary or wages"	"lot merger money month job"
"gain"	"increase (one's body weight)"	"pound"
"introduce"	"cause to come to know personally"	"community neighbor permit son"
"introduce"	"bring something new to an environment"	"word processor"
"introduce"	"introduce"	"ticket Insert"
"introduce"	"bring in a new person or object into a familiar environment"	"secretary judge rumor"
"introduce"	"bring in or establish in a new place or environment"	"introduce fruit rule"
"introduce"	"put or introduce into something"	"picture text"
"introduce"	"bring before the public for the first time, as of an actor, song, etc."	
"introduce"	"put before (a body)"	"introduce legislation"
"introduce"	"furnish with a preface or introduction"	"lecture remark joke institution"
"introduce"	"be a precursor of"	"Wall Berlin fall War period"
"full"	"beat for the purpose of cleaning and thickening"	"cloth"
"full"	"make (a garment) fuller by pleating or gathering"	
"full"	"increase in phase"	"moon"
"influence"	"have and exert influence or effect"	"candidate friend artist painter work"
"influence"	"shape or influence; give direction to"	"experience opinion ability"
"influence"	"induce into action by using one's charm"	"money"
"study"	"consider in detail and subject to an analysis in order to discover essential features or meaning"	"Shakespeare evidence trial motif sonnet"
"study"	"be a student; follow a course of study; be enrolled at an institute of learning"	
"study"	"give careful consideration to"	"possibility"
"study"	"be a student of a certain subject"	"exam bar"
"study"	"learn by reading books; I must hit the books now"""	"week room geology exam"
"study"	"think intently and at length, as for spiritual purposes"	"study"
"access"	"obtain or retrieve from a storage device; as of information on a computer"	
"access"	"reach or gain access to"	"T.V access house roof antenna"
"lay"	"put into a certain place or abstract location"	"Set point tray child Place dog emphasis scent thing"
"lay"	"put in a horizontal position"	"patient table book bed"
"lay"	"prepare or position for action or operation"	"plan health fire care foundation"
"lay"	"lay eggs"	"hen"
"lay"	"impose as a duty, burden, or punishment"	"responsibility someone"
"lay"	"be located or situated somewhere; occupy a certain position"	
"lay"	"be lying, be prostrate; be in a horizontal position"	"book day shelf man lay bed"
"lay"	"originate (in)"	"problem country injustice"
"lay"	"be and remain in a particular state or condition"	"lie dormant"
"lay"	"tell an untruth; pretend with intent to deceive"	"parent"
"lay"	"have a place in relation to something else"	"hand Bosnia fate West Allies responsibility"
"lay"	"assume a reclining position"	"bed"
"blend"	"combine into one"	"nut crowd"
"blend"	"blend or harmonize"	"sofa chair flavor dish"
"blend"	"mix together different elements"	"color"
"sophisticated"	"make less natural or innocent"	"girl manner"
"sophisticated"	"practice sophistry; change the meaning of or be vague about in order to mislead or deceive"	"word"
"sophisticated"	"alter and make impure, as with the intention to deceive"	"Sophisticate water geraniol"
"sophisticated"	"make more complex or refined"	"design"
"set"	"put into a certain place or abstract location"	"Set point tray child Place dog emphasis scent thing"
"set"	"fix conclusively or authoritatively"	"rule"
"set"	"decide upon or fix definitely"	"parameter variable"
"set"	"establish as the highest level or best performance"	"record"
"set"	"put into a certain state; cause to be in a certain state"	"afire house"
"set"	"fix in a border"	"goldsmith diamond"
"set"	"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc"	"school town child war hotel bill prepare"
"set"	"set to a certain position or cause to operate correctly"	"clock instrument set"
"set"	"locate"	"Africa film"
"set"	"disappear beyond the horizon"	"day sun"
"set"	"adapt for performance in a different way"	"poem music"
"set"	"put or set (seeds, seedlings, or plants) into the ground"	"plant garden flower"
"set"	"apply or start"	"building fire set"
"set"	"become gelatinous"	"liquid enzyme"
"set"	"set in type"	"italic word book"
"set"	"put into a position that will restore a normal state"	"bone"
"set"	"insert (a nail or screw below the surface, as into a countersink)"	
"set"	"give a fine, sharp edge to a knife or razor"	
"set"	"urge to attack someone"	"shaman sorcerer spirit dog owner intruder"
"set"	"estimate"	"P.M arrival time"
"set"	"equip with sails or masts"	"ship rig"
"set"	"get ready for a particular purpose or event"	"experiment lay surgery table tool"
"set"	"alter or regulate so as to achieve accuracy or conform to a standard"	"clock alignment front wheel"
"set"	"bear fruit"	"apple tree"
"set"	"arrange attractively"	"hair wedding dress"
"produce"	"bring forth or yield"	"fruit tree"
"produce"	"create or manufacture a man-made product"	"century toy car company"
"produce"	"cause to happen, occur or exist"	"vapor law care system procedure effect chemical change health complaint rise President"
"produce"	"bring out for display"	"letter court picture father baby"
"produce"	"cultivate by growing, often involving improvements by means of agricultural techniques"	"wheat ham Parma region hog Bordeaux wine"
"produce"	"bring onto the market or release"	"play movie book"
"produce"	"come to have or undergo a change of (physical features and attributes)"	"pain beard body patient spot breast"
"demonstrate"	"give an exhibition of to an interested audience"	"software Washington dog"
"demonstrate"	"establish the validity of something, as by an example, explanation or experiment"	"compound experiment conjecture validity instability mathematician"
"demonstrate"	"provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes"	"illness fairness level sense building fever sophistication decision Rome"
"demonstrate"	"march in protest; take part in a demonstration"	"Seattle globalization Thousands meeting nation"
"reach"	"reach a destination, either real or abstract"	"line MAC doorstep water Detroit noon weekend machine"
"reach"	"reach a point in time, or a certain state or level"	"hour speed degree mile thermometer car"
"reach"	"move forward or upward in order to touch; also in a metaphorical sense"	"people Government"
"reach"	"be in or establish communication with"	"Australia child advertisement million"
"reach"	"to gain with effort"	"goal setback"
"reach"	"to extend as far as"	"sunlight wall chair"
"reach"	"reach a goal, e.g., ""make the first team"""	"grade"
"reach"	"place into the hands or custody of"	"hand spoon lawyer file prisoner"
"reach"	"to exert much effort or energy"	"ear"
"stage"	"perform (a play), especially on a stage"	"`Othello"
"stage"	"plan, organize, and carry out (an event)"	"tribe invasion"
"free"	"grant freedom to; free from confinement"	
"free"	"relieve from"	"pest house"
"free"	"remove or force out from a position"	"piece earthquake rubble leg gum food victim dentist"
"free"	"grant relief or an exemption from a rule or requirement to"	"exam"
"free"	"make (information) available for publication"	"name prisoner list"
"free"	"free from obligations or duties"	
"free"	"free or remove obstruction from"	"floor path"
"free"	"let off the hook"	"responsibility"
"free"	"part with a possession or right"	"throne claim guest house bedroom"
"free"	"release (gas or energy) as a result of a chemical reaction or physical decomposition"	
"free"	"make (assets) available"	"dictator bank account holding"
"stick"	"put, fix, force, or implant"	"bullet thumb crack lodge table"
"stick"	"stay put (in a certain place); we are not moving to Cincinnati"""	"Stick Detroit corner something Stay"
"stick"	"stick to firmly"	"wallpaper wall"
"stick"	"be or become fixed"	"stick door"
"stick"	"endure"	"rest life label stuck"
"stick"	"be a devoted follower or supporter"	"Catholicism village principle resident"
"stick"	"be loyal to"	"trouble husband time friend war"
"stick"	"cover and decorate with objects that pierce the surface"	"turkey feather"
"stick"	"fasten with an adhesive material like glue"	"poster wall"
"stick"	"fasten with or as with pins or nails"	"photo corkboard"
"stick"	"fasten into place by fixing an end or point into something"	"corner mattress sheet"
"stick"	"pierce with a thrust using a pointed instrument"	"cloth needle"
"stick"	"pierce or penetrate or puncture with something pointed"	"finger needle"
"stick"	"come or be in close contact with; stick or hold together and resist separation"	"box label rice dress body grain sushi cling stuck"
"stick"	"saddle with something disagreeable or disadvantageous"	"bill dinner tax"
"stick"	"be a mystery or bewildering to"	"answer vexing question problem Got"
"down"	"drink down entirely"	"dinner bottle beer brandy night martini work"
"down"	"eat immoderately"	"meat meal people pound course"
"down"	"bring down or defeat (an opponent)"	
"down"	"shoot at and force to come down"	"aircraft enemy"
"down"	"cause to come or go down"	"lady suspect hand policeman wallet mugger"
"down"	"improve or perfect by pruning or polishing"	"style"
"piece"	"to join or unite the pieces of"	"skirt"
"piece"	"create by putting components or members together"	"verse quilt committee"
"piece"	"join during spinning"	"thread piece sliver roving"
"piece"	"eat intermittently; take small bites of"	"sandwich meal nibble morning"
"piece"	"repair by adding pieces"	"cup china"
"drench"	"drench or submerge or be drenched or submerged"	"boat harbor tsunami"
"drench"	"force to drink"	
"drench"	"permeate or impregnate"	"country war blood"
"drench"	"cover with liquid; pour liquid onto"	"water face souse"
"chant"	"recite with musical intonation; recite as a chant or a psalm"	"prayer rabbi"
"chant"	"utter monotonously and repetitively and rhythmically"	"student slogan"
"run"	"move fast by using one's feet, with one foot off the ground at any given time"	"child breath store"
"run"	"flee; take to one's heels; cut and run"	"police man burglar"
"run"	"stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point"	"consideration memory year fact way asset life knowledge Service"
"run"	"direct or control; projects, businesses, etc."	"operation relief Sudan"
"run"	"have a particular form"	"run saying story argument"
"run"	"move along, of liquids"	"Missouri Water Mississippi cave"
"run"	"perform as expected when applied"	"machine radio washing car"
"run"	"change or be different within limits"	"earthquake Estimates Interest rate loss tuba instrument student cymbal range percent"
"run"	"run, stand, or compete for an office or a position"	"year treasurer"
"run"	"cause to emit recorded audio or video"	"record tape video"
"run"	"move about freely and without restraint, or act as if running around in an uncontrolled way"	"trouble dog building people everyone"
"run"	"have a tendency or disposition to do or be something; be inclined"	"lecture dress"
"run"	"be operating, running or functioning"	"car"
"run"	"change from one state to another"	"amok riot rogue"
"run"	"cause to perform"	"subject process"
"run"	"be affected by; be subjected to"	"temperature risk"
"run"	"continue to exist"	"endures Elvis story legend"
"run"	"occur persistently"	"run talent family"
"run"	"carry out a process or program, as on a computer or a machine"	"instruction program Mac computer dishwasher"
"run"	"include as the content; broadcast or publicize"	"restaurant press time network paper review conference ad"
"run"	"carry out"	"errand"
"run"	"pass over, across, or through"	"figurine hair body eye finger"
"run"	"cause something to pass or lead somewhere"	"cabinet wire"
"run"	"make without a miss"	
"run"	"deal in illegally, such as arms or liquor"	
"run"	"cause an animal to move fast"	"dog"
"run"	"be diffused"	"dye color"
"run"	"sail before the wind"	
"run"	"cover by running; run a certain distance"	"mile day"
"run"	"extend or continue for a certain period of time"	"film hour"
"run"	"set animals loose to graze"	
"run"	"keep company"	"bull heifer"
"run"	"run with the ball; in such sports as football"	
