word,n_entries,n_senses_total,polysemy_type,n_synsets,min_wup_sim,n_navigli_clusters,n_onto_senses_n_v,wn-abs-conc,mipvu,metonymy_entities,av_cos_mon_synonyms_to_word,av_wup_sim,n_syns_wup_distance
perihelion,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000007,1.0,0.0
endanger,1,1,mon,2,0.2857142857142857,1,1,-,False,False,0.3428710480993424,0.2857142857142857,1.4285714285714286
interlink,1,1,mon,2,0.3333333333333333,1,0,-,ooc,False,OOV/OOW,0.3333333333333333,1.3333333333333335
puissant,1,1,mon,1,1.0,0,0,-,ooc,False,1.000000000000001,1.0,0.0
troubled,0,0,oov,7,0.16666666666666666,1,0,-,True,False,0.27296360823157034,0.27604617604617604,5.067676767676767
cast down,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
Epicurean,1,1,mon,4,None,1,0,conc,ooc,False,OOV/OOW,,
cholera,1,1,mon,1,1.0,0,0,abs,ooc,False,1.000000000000001,1.0,0.0
tycoon,1,1,mon,1,1.0,0,0,conc,ooc,False,0.78986141030261,1.0,0.0
houseroom,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0
conflicting,0,0,oov,4,0.18181818181818182,0,0,-,False,False,OOV/OOW,0.18181818181818182,3.2727272727272725
uncomfortable,1,2,poly,2,None,1,0,-,True,False,OOWN,,
astral,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000007,1.0,0.0
cross - section,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,
they've,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
caretaker,1,2,poly,2,0.5454545454545454,1,3,conc,ooc,False,OOWN,0.5454545454545454,0.9090909090909092
rheumatoid,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000002,1.0,0.0
Scrabble,1,1,mon,4,0.10526315789473684,1,0,abs-conc,ooc,False,OOV/OOW,0.15263157894736842,3.389473684210526
fever,1,3,poly,2,0.25,1,0,abs,False,False,OOV/OOW,0.25,1.5
toe cap,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
conservative,2,5,homonyms_only_different_pos,7,0.6,2,0,conc,False,False,OOV/OOW,0.6,2.8000000000000003
kopje,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000004,1.0,0.0
peregrination,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0
spanking,2,2,homonyms_only_different_pos,3,None,0,0,abs,ooc,False,OOV/OOW,,
cannery,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000018,1.0,0.0
specificity,0,0,oov,2,0.8333333333333334,0,0,abs,False,False,OOWN,0.8333333333333334,0.33333333333333326
neckband,1,1,mon,3,0.5555555555555556,1,0,conc,ooc,False,OOWN,0.6268776516454535,1.1193670450636395
tudor,0,0,oov,4,0.11764705882352941,0,0,abs-conc-n,False,False,OOV/OOW,0.29140866873065013,2.8343653250773997
obstacle,1,1,mon,2,0.125,1,0,abs-conc,ooc,False,OOWN,0.125,1.75
95,0,0,oov,1,1.0,0,0,-,False,False,1.0000000000000009,1.0,0.0
derek,0,0,oov,0,None,0,0,-,False,False,OOWN,,
mhm,0,0,oov,0,None,0,0,-,False,False,OOWN,,
moron,1,2,poly,2,0.3333333333333333,0,0,conc-n,False,False,0.1643422206541202,0.3333333333333333,1.3333333333333335
coequal,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW,1.0,0.0
studio couch,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
Copernican system,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
representative,2,3,homonyms_only_different_pos,7,0.14285714285714285,3,4,abs-conc,False,False,0.3557149303793536,0.3777295803611593,4.355892937471885
Benjamin Franklin,0,0,oov,0,None,0,0,-,ooc,True,OOWN,,
trestle,1,1,mon,2,0.631578947368421,1,0,conc,False,False,OOWN,0.631578947368421,0.736842105263158
airtight,1,1,mon,2,None,1,0,-,ooc,False,OOV/OOW,,
scowl,2,3,homonyms_only_different_pos,2,None,0,0,abs,ooc,False,OOWN,,
bedouin,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0
clubfoot,1,2,poly,1,1.0,0,0,abs,ooc,False,1.0000000000000022,1.0,0.0
£25,0,0,oov,0,None,0,0,-,False,False,OOWN,,
munster,0,0,oov,0,None,0,0,-,False,False,OOWN,,
waylon,0,0,oov,0,None,0,0,-,False,False,OOWN,,
chapfallen,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW,1.0,0.0
wordy,1,1,mon,1,1.0,0,0,-,ooc,False,0.6374234383328048,1.0,0.0
disfigure,1,1,mon,1,1.0,0,0,-,ooc,False,0.5642377537871411,1.0,0.0
accompanist,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000007,1.0,0.0
grain,1,8,poly,15,0.09523809523809523,5,0,abs-conc,ooc,False,OOV/OOW,0.2527422972771176,11.208865540843236
dignify,1,1,mon,2,0.15384615384615385,1,0,-,ooc,False,OOWN,0.15384615384615385,1.6923076923076923
serial,2,4,homonyms_only_different_pos,6,0.10526315789473684,2,0,abs-conc,False,False,0.18338324165600198,0.10526315789473684,5.368421052631579
huntress,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000002,1.0,0.0
say,3,20,homonyms_only_different_pos,12,0.1111111111111111,2,6,abs,True,False,0.2969839100389098,0.2454438134652038,9.054674238417554
breath,1,19,poly,5,0.1111111111111111,1,6,abs-conc,False,False,OOV/OOW,0.19841988077282197,4.00790059613589
swashbuckle,0,0,oov,0,None,0,0,-,False,False,OOWN,,
courgette,1,1,mon,2,0.17391304347826086,1,0,conc,ooc,False,OOWN,0.17391304347826086,1.6521739130434783
undercarriage,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000018,1.0,0.0
windcheater,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0
revulsion,1,2,poly,1,1.0,0,0,abs,False,False,1.000000000000001,1.0,0.0
magnetometer,0,0,oov,1,1.0,0,0,conc,False,False,1.0000000000000022,1.0,0.0
morpheme,1,1,mon,1,1.0,0,0,abs,ooc,False,1.000000000000001,1.0,0.0
hypocrite,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000013,1.0,0.0
/,0,0,oov,0,None,0,0,-,False,False,OOWN,,
bushy,1,1,mon,2,None,2,0,-,False,False,OOV/OOW,,
modular,1,2,poly,1,1.0,0,0,-,ooc,False,1.0000000000000007,1.0,0.0
long measure,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
immature,1,2,poly,5,None,1,0,-,ooc,False,OOV/OOW,,
disgrace,2,6,homonyms_only_different_pos,4,0.14285714285714285,1,3,abs,ooc,False,0.262474639648697,0.1976190476190476,3.2095238095238097
home brew,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
airmail,1,2,poly,3,0.2857142857142857,1,0,abs,ooc,False,OOV/OOW,0.2857142857142857,2.142857142857143
dockyard,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000001,1.0,0.0
Alberta,0,0,oov,1,1.0,0,0,n,ooc,True,OOV/OOW,1.0,0.0
beanpole,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,
roche,0,0,oov,0,None,0,0,-,False,False,OOWN,,
key ring,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
telpher,1,2,poly,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0
stewed,1,2,poly,4,0.2222222222222222,0,0,-,ooc,False,OOWN,0.2526455026455026,2.9894179894179898
hard luck story,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
commie,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0
water skiing,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
Stygian,1,1,mon,2,None,2,0,-,ooc,False,OOV/OOW,,
corridor train,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
prizeman,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
semicircle,1,2,poly,1,1.0,0,0,abs,ooc,False,0.6123553892465923,1.0,0.0
hand out,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,
she,2,4,homonyms_only_different_pos,0,None,0,0,-,True,False,OOWN,,
fine down,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,
lit,2,4,homonyms_also_same_pos,9,0.2222222222222222,0,0,abs,ooc,False,OOV/OOW,0.2864021164021164,6.422380952380952
malcontent,1,1,mon,2,None,0,0,conc,ooc,False,OOV/OOW,,
scourge,2,5,homonyms_only_different_pos,6,0.1111111111111111,4,0,abs-conc,True,False,0.17294570411167853,0.26902726902726903,4.385836385836386
inspector,1,2,poly,2,0.5454545454545454,1,0,conc,False,False,OOWN,0.5454545454545454,0.9090909090909092
wend,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000009,1.0,0.0
irritating,0,0,oov,6,0.2222222222222222,1,0,-,False,False,0.2247700138247417,0.2526455026455026,4.484126984126984
put down,1,8,poly,0,None,0,0,-,ooc,False,OOWN,,
retinue,1,1,mon,1,1.0,0,0,abs,ooc,False,0.714045763003326,1.0,0.0
bleachers,1,1,mon,2,0.13333333333333333,0,0,abs-conc,ooc,False,0.4744169142566227,0.13333333333333333,1.7333333333333334
speaker,1,4,poly,3,0.38095238095238093,2,0,conc,ooc,False,0.2586324584598987,0.45396825396825397,1.6380952380952383
bowser,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
monkey business,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
severe,1,5,poly,6,None,2,0,-,True,False,OOV/OOW,,
years,1,1,mon,7,0.3076923076923077,0,0,abs,ooc,False,0.11480475205610813,0.657945229373801,2.3943833943833934
reply - paid,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
specification,1,2,poly,4,0.23529411764705882,3,0,abs,False,False,0.43397461978607854,0.3313414254590725,2.67463429816371
hearing,1,5,poly,12,0.1111111111111111,2,5,abs-conc,False,False,0.17184582554625943,0.2525732959850607,8.969120448179272
automatic pilot,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
swansdown,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,
tyke,1,4,poly,3,0.5454545454545454,2,0,conc,ooc,False,0.14069779262260187,0.5828206880838459,1.2515379357484622
swiftly,0,0,oov,1,1.0,0,0,-,True,False,1.0000000000000016,1.0,0.0
goliath,1,1,mon,2,0.6666666666666666,0,0,conc-n,ooc,False,OOWN,0.6666666666666666,0.6666666666666667
complimentary,1,2,poly,2,None,1,0,-,ooc,False,OOV/OOW,,
ice floe,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
bumpkin,1,1,mon,1,1.0,0,0,conc,ooc,False,0.4735995059746629,1.0,0.0
frilled,1,2,poly,1,1.0,0,0,-,ooc,False,0.6628197925238285,1.0,0.0
faithless,1,3,poly,1,1.0,0,0,-,ooc,False,0.3657344761906145,1.0,0.0
master,3,13,homonyms_only_different_pos,15,0.2857142857142857,9,11,conc,True,False,0.2407950028682905,0.5059818778946916,7.410271831579625
denture,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000007,1.0,0.0
whitlow,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000004,1.0,0.0
Virgo,1,2,poly,3,0.42857142857142855,0,0,conc-n,ooc,False,OOV/OOW,0.46349206349206346,1.6095238095238098
sergeant major,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,
contraption,1,1,mon,1,1.0,0,0,conc,True,False,0.5969246556551342,1.0,0.0
strangely,0,0,oov,1,1.0,0,0,-,False,False,1.000000000000002,1.0,0.0
lemming,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000002,1.0,0.0
resort,1,6,poly,6,0.11764705882352941,4,0,abs-conc,ooc,False,0.18691423821792544,0.21340536214485792,4.719567827130852
trivial,1,2,poly,3,None,2,0,-,ooc,False,0.0775980106654351,,
cent,2,2,homonyms_only_different_pos,2,0.3333333333333333,1,3,abs,ooc,False,OOWN,0.3333333333333333,1.3333333333333335
humble,2,5,homonyms_only_different_pos,6,0.25,3,0,-,ooc,False,0.15329215905219523,0.25,4.5
parking lot,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
completion,1,3,poly,2,0.7,1,3,abs,False,False,OOV/OOW,0.7,0.6000000000000001
belting,1,2,poly,4,0.16666666666666666,0,0,conc,ooc,False,OOV/OOW,0.19023569023569023,3.239057239057239
lance,2,3,homonyms_only_different_pos,6,0.25,2,0,conc,ooc,False,OOV/OOW,0.4772727272727273,3.1363636363636362
succumb,1,2,poly,2,0.2,1,0,-,True,False,OOV/OOW,0.2,1.6
concubine,1,1,mon,1,1.0,0,0,conc,ooc,False,0.680607398546029,1.0,0.0
calmly,0,0,oov,2,None,0,0,-,False,False,OOV/OOW,,
troops,1,1,mon,7,0.5,0,0,abs,ooc,False,0.35215717644807315,0.6360028860028859,2.5479797979797985
vicarage,1,1,mon,1,1.0,0,0,conc,False,False,0.6755017863330837,1.0,0.0
doer,1,1,mon,1,0.75,0,0,conc,ooc,False,1.0000000000000016,1.0,0.0
sicken,1,2,poly,4,0.16666666666666666,2,1,-,ooc,False,OOV/OOW,0.19326599326599325,3.226936026936027
pep pill,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
smear test,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
thimble,1,1,mon,2,0.14285714285714285,1,0,abs-conc,ooc,False,OOV/OOW,0.14285714285714285,1.7142857142857144
postbag,1,2,poly,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0
transportation,1,2,poly,6,0.1,1,6,abs-conc,ooc,False,0.15185429275228218,0.24627395136683058,4.522356291799016
unmindful,1,1,mon,2,None,1,0,-,ooc,False,OOWN,,
attrition,1,2,poly,5,0.09523809523809523,2,0,abs-conc,ooc,False,0.13333298166608543,0.19297582190771048,4.035120890461448
miniaturist,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0,1.0,0.0
windjammer,1,2,poly,1,1.0,0,0,conc,ooc,False,1.0000000000000018,1.0,0.0
kimono,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000016,1.0,0.0
putto,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
sign in,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
sarsaparilla,1,1,mon,2,0.2222222222222222,2,0,abs-conc,ooc,False,OOWN,0.2222222222222222,1.5555555555555556
container,1,2,poly,1,1.0,0,1,conc,False,False,1.0000000000000013,1.0,0.0
peril,1,3,poly,5,0.13333333333333333,2,3,abs-conc,False,False,0.1923819985510099,0.20525210084033613,3.97373949579832
succubus,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0,1.0,0.0
meetinghouse,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000016,1.0,0.0
kneecap,2,3,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,OOV/OOW,,
surrealist,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000009,1.0,0.0
stew,2,4,homonyms_only_different_pos,5,0.125,3,3,abs-conc,False,False,OOV/OOW,0.22073412698412698,3.896329365079365
lexical,1,1,mon,2,None,1,0,-,ooc,False,OOWN,,
dishcloth,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0
frankincense,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000013,1.0,0.0
ben,1,1,mon,1,1.0,0,1,conc,False,False,1.0000000000000009,1.0,0.0
polygamous,1,1,mon,2,None,1,0,-,ooc,False,OOV/OOW,,
reliance,1,1,mon,2,0.5333333333333333,1,0,abs,False,False,OOWN,0.5333333333333333,0.9333333333333333
seminarist,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0
roberts,0,0,oov,5,0.42857142857142855,0,0,n,False,False,OOV/OOW,0.5233788819875776,2.3831055900621116
light upon,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
gaunt,1,2,poly,1,1.0,0,0,-,ooc,False,1.0000000000000009,1.0,0.0
leafage,1,1,mon,1,1.0,0,0,conc,False,False,OOV/OOW,1.0,0.0
glacier,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000002,1.0,0.0
pillock,1,1,mon,1,0.6666666666666666,0,0,conc,ooc,False,OOV/OOW,1.0,0.0
multiplicity,1,3,poly,2,0.7142857142857143,1,0,abs,ooc,False,OOV/OOW,0.7142857142857143,0.5714285714285714
excluding,1,1,mon,5,0.11764705882352941,0,0,-,False,False,OOV/OOW,0.2136297852474323,3.9318510737628385
iridium,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000013,1.0,0.0
incivility,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000016,1.0,0.0
neckline,1,1,mon,1,1.0,0,0,conc,False,False,1.0000000000000007,1.0,0.0
clear,4,31,homonyms_only_different_pos,45,0.14285714285714285,12,10,abs-conc,True,False,0.18805595110001988,0.2745774482236579,32.644014829935394
touch for,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
overcompensate,1,1,mon,2,0.18181818181818182,1,0,-,ooc,False,OOV/OOW,0.18181818181818182,1.6363636363636362
manhole,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000013,1.0,0.0
Jolly Roger,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
blossom,2,7,homonyms_only_different_pos,4,0.13333333333333333,2,0,abs-conc,ooc,False,0.11980606516571263,0.48333333333333334,2.0666666666666664
round table,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
abolition,1,1,mon,1,1.0,0,0,abs,ooc,False,0.7956879560685843,1.0,0.0
inter -,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
cancerous,1,1,mon,2,None,0,0,-,ooc,False,OOWN,,
clarke,0,0,oov,0,None,0,0,-,False,False,OOWN,,
irwin,0,0,oov,0,None,0,0,-,False,False,OOWN,,
lent,1,1,mon,4,0.2857142857142857,0,0,abs,ooc,False,OOV/OOW,0.30158730158730157,2.7936507936507935
come from,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
humanism,1,2,poly,3,0.26666666666666666,1,0,abs,ooc,False,0.2720527003783252,0.4694444444444444,1.591666666666667
Vasco da Gama,0,0,oov,0,None,0,0,-,ooc,True,OOWN,,
conjunctivitis,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000009,1.0,0.0
alec,0,0,oov,0,None,0,0,-,False,False,OOWN,,
waltz,2,5,homonyms_only_different_pos,4,0.2222222222222222,1,0,abs,ooc,False,0.382796964591016,0.30331384015594537,2.7867446393762183
melford,0,0,oov,0,None,0,0,-,False,False,OOWN,,
mons veneris,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
old hand,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
agoraphobia,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000004,1.0,0.0
imbalance,1,1,mon,2,0.46153846153846156,1,0,abs,ooc,False,0.2810516163745521,0.46153846153846156,1.0769230769230769
usual,1,2,poly,2,None,1,0,-,False,False,OOWN,,
con,6,8,homonyms_also_same_pos,6,0.10526315789473684,4,3,abs-conc,False,False,0.1039714994386197,0.156328320802005,5.06203007518797
yule log,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,
gatepost,1,2,poly,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0
shock,3,9,homonyms_also_same_pos,17,0.1,8,17,abs-conc,True,False,OOV/OOW,0.22410511940134784,13.190212970177088
close - hauled,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
attainder,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000018,1.0,0.0
bloater,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0
tax with,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
gobble,2,2,homonyms_only_different_pos,3,0.2857142857142857,2,0,abs,ooc,False,OOWN,0.2857142857142857,2.142857142857143
connive at,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
Sinn Fein,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
pin back,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
whichever,1,3,poly,0,None,0,0,-,False,False,OOWN,,
keep up,1,7,poly,0,None,0,0,-,ooc,False,OOWN,,
sequel,1,2,poly,2,0.25,1,0,abs,ooc,False,OOWN,0.25,1.5
ikon,1,1,mon,2,0.6666666666666666,1,0,conc,ooc,False,OOWN,0.6666666666666666,0.6666666666666667
lad,1,3,poly,2,0.631578947368421,1,0,conc,False,False,0.1599340746011586,0.631578947368421,0.736842105263158
servomechanism,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0
sewing,1,2,poly,4,0.1111111111111111,1,0,abs-conc,ooc,False,OOV/OOW,0.14646464646464646,3.4141414141414144
Suriname,0,0,oov,1,1.0,0,0,n,ooc,True,OOV/OOW,1.0,0.0
stupefy,1,2,poly,3,0.18181818181818182,1,0,-,ooc,False,OOV/OOW,0.20454545454545456,2.3863636363636362
formulate,1,2,poly,4,0.125,1,4,-,False,False,OOV/OOW,0.1767857142857143,3.2928571428571427
odd,1,5,poly,6,None,3,0,-,True,False,0.22177963107701917,,
drogue,1,3,poly,4,0.1111111111111111,1,0,abs-conc,ooc,False,OOV/OOW,0.28168317034416107,2.8732673186233555
eduard,0,0,oov,0,None,0,0,-,False,False,OOWN,,
itemize,1,1,mon,2,0.6666666666666666,1,0,-,ooc,False,OOWN,0.6666666666666666,0.6666666666666667
donkey's years,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
your,1,4,poly,0,None,0,0,-,ooc,False,OOWN,,
flageolet,1,1,mon,2,0.17391304347826086,2,0,conc,ooc,False,OOV/OOW,0.17391304347826086,1.6521739130434783
livery stable,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
nail,2,7,homonyms_only_different_pos,10,0.11764705882352941,4,6,abs-conc,True,False,OOV/OOW,0.2401202147525677,7.5987978524743225
barbarian,1,1,mon,3,0.631578947368421,1,0,conc,ooc,False,0.1891324351562258,0.631578947368421,1.105263157894737
Minotaur,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0
sound off,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
tickle,2,5,homonyms_only_different_pos,5,0.2,2,3,abs,ooc,False,OOWN,0.23823529411764705,3.8088235294117645
kittiwake,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000024,1.0,0.0
geller,0,0,oov,0,None,0,0,-,False,False,OOWN,,
burro,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000018,1.0,0.0
colitis,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000007,1.0,0.0
quandry,0,0,oov,0,None,0,0,-,False,False,OOWN,,
curtained,0,0,oov,2,None,0,0,-,False,False,OOWN,,
firefly,1,1,mon,2,0.88,1,0,conc,ooc,False,OOV/OOW,0.88,0.24
nosy,1,1,mon,1,1.0,0,0,-,False,False,0.6306779152151226,1.0,0.0
boon,1,2,poly,2,None,0,0,abs,ooc,False,OOWN,,
bush telegraph,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
noble,2,6,homonyms_only_different_pos,5,None,2,0,conc,ooc,False,0.375922395111002,,
collarbone,1,1,mon,1,1.0,0,0,conc,ooc,False,0.6869878117334081,1.0,0.0
honeybee,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000016,1.0,0.0
icy,1,2,poly,4,None,1,0,-,False,False,OOV/OOW,,
light-hearted,0,0,oov,1,1.0,0,0,-,True,False,OOV/OOW,1.0,0.0
introductory,1,1,mon,3,None,1,0,-,ooc,False,0.2688134045638449,,
voodoo,1,1,mon,4,0.14285714285714285,1,0,abs-conc,ooc,False,OOV/OOW,0.1693121693121693,3.322751322751323
processional,2,3,homonyms_only_different_pos,3,None,1,0,abs,ooc,False,OOV/OOW,,
opalescent,1,1,mon,1,1.0,0,0,-,ooc,False,0.6339175962714438,1.0,0.0
jiminy,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
third,1,2,poly,8,0.09090909090909091,2,0,abs-conc,True,False,0.3444667874952523,0.1827536458496211,6.5379708332030315
haywire,1,1,mon,3,None,1,0,conc,ooc,False,0.0731712832208797,,
water vapour,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
armament,1,4,poly,2,0.125,1,0,abs-conc,ooc,False,OOWN,0.125,1.75
microbiologist,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000013,1.0,0.0
featureless,1,1,mon,1,1.0,0,0,-,False,False,1.0000000000000016,1.0,0.0
raw - boned,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
quandary,1,1,mon,2,0.5882352941176471,1,0,abs,ooc,False,0.242945038862405,0.5882352941176471,0.8235294117647058
legacy,1,3,poly,1,1.0,0,0,abs,ooc,False,0.6085235659216963,1.0,0.0
empyrean,1,1,mon,3,None,1,0,conc,ooc,False,0.15303455600907545,,
carbide,1,1,mon,1,1.0,0,0,abs,ooc,False,1.000000000000001,1.0,0.0
USA III,0,0,oov,0,None,0,0,-,ooc,True,OOWN,,
central nervous system,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
baffling,1,1,mon,4,0.16666666666666666,0,0,-,ooc,False,OOV/OOW,0.2113997113997114,3.1544011544011545
sign away,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
goal line,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
incidentals,1,1,mon,2,0.42857142857142855,0,0,abs,ooc,False,OOV/OOW,0.42857142857142855,1.1428571428571428
shag,2,2,homonyms_only_different_pos,6,0.1111111111111111,4,0,abs-conc,ooc,False,OOV/OOW,0.24345004668534082,4.539299719887955
photo,1,1,mon,1,1.0,0,1,conc,False,False,1.0000000000000009,1.0,0.0
timeworn,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW,1.0,0.0
install,1,3,poly,3,0.3333333333333333,2,3,-,False,False,OOWN,0.38888888888888884,1.8333333333333335
squirming,0,0,oov,1,1.0,0,0,-,True,False,OOV/OOW,1.0,0.0
oxygen,1,1,mon,1,1.0,0,0,abs,False,False,1.0000000000000013,1.0,0.0
ripsaw,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000018,1.0,0.0
sick parade,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
syringe,2,2,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,OOWN,,
prow,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000009,1.0,0.0
pinko,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0
pine-green,0,0,oov,0,None,0,0,-,False,False,OOWN,,
rabbit punch,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
sapient,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000016,1.0,0.0
shadow,3,13,homonyms_only_different_pos,12,0.1111111111111111,5,4,abs-conc,True,False,0.07117608461587398,0.24499996995233955,9.060000360571927
spire,1,1,mon,1,1.0,0,0,conc,False,False,0.7470999825790207,1.0,0.0
dung,1,1,mon,3,0.18181818181818182,1,0,abs,False,False,0.37840382092069025,0.18181818181818182,2.454545454545454
bust out,1,3,poly,0,None,0,0,-,ooc,False,OOWN,,
diphtheria,1,1,mon,1,1.0,0,0,abs,ooc,False,1.000000000000001,1.0,0.0
malignant,1,2,poly,1,1.0,0,0,-,ooc,False,1.0000000000000022,1.0,0.0
power,2,18,homonyms_only_different_pos,10,0.11764705882352941,5,5,abs-conc,True,False,0.12523513501058653,0.26386513812984397,7.36134861870156
pea green,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
rectitude,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000018,1.0,0.0
