word,n_entries,n_senses_total,polysemy_type,n_synsets,min_wup_sim,n_navigli_clusters,n_onto_senses_n_v,wn-abs-conc,mipvu,metonymy_entities,av_cos_mon_synonyms_to_word,av_wup_sim,n_syns_wup_distance,wiki_frequency,wn_noun
bustle,3,3,homonyms_also_same_pos,3,0.1,2,0,abs-conc,False,False,0.018918072521548535,0.1,2.7,875,True
reecho,1,1,mon,3,0.2222222222222222,0,0,-,ooc,False,OOWN,0.39814814814814814,1.8055555555555556,OOV,False
operetta,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000009,1.0,0.0,3398,True
crotchet,1,3,poly,4,0.1111111111111111,2,0,abs-conc,ooc,False,0.13445914506976064,0.19907407407407407,3.2037037037037037,102,True
steepen,1,1,mon,2,0.3333333333333333,1,0,-,False,False,OOWN,0.3333333333333333,1.3333333333333335,OOV,False
observing,1,1,mon,10,0.2222222222222222,0,0,-,ooc,False,0.2917609209702974,0.34074074074074084,6.592592592592592,12969,False
yap,2,4,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,0.16398110030037347,,,2411,True
lampshade,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000016,1.0,0.0,132,True
atomic pile,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
knob,1,3,poly,4,0.13333333333333333,1,0,abs-conc,False,False,OOWN,0.319047619047619,2.723809523809524,4866,True
Russians,0,0,oov,2,0.13333333333333333,0,0,abs-conc,ooc,True,OOWN,0.13333333333333333,1.7333333333333334,OOV,True
paradisiacal,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW,1.0,0.0,OOV,False
pto,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0,698,True
reliables,0,0,oov,0,None,0,0,-,False,False,OOWN,,,OOV,False
A . W . O . L .,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
poke about,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
food,1,3,poly,3,0.18181818181818182,1,4,abs-conc,False,False,OOV/OOW,0.3212121212121212,2.036363636363636,241418,True
collective leadership,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
cross - examine,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
fowling piece,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
principally,1,1,mon,1,1.0,0,0,-,ooc,False,0.8129946962647662,1.0,0.0,13775,False
discourteous,1,1,mon,2,None,1,0,-,ooc,False,OOWN,,,OOV,False
villain,1,5,poly,2,0.125,1,0,abs-conc,True,False,0.31408947019055555,0.125,1.75,16626,True
Worship,1,1,mon,5,0.16666666666666666,0,0,abs,ooc,False,OOV/OOW,0.2125,3.9375,OOV,True
progesterone,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000009,1.0,0.0,1807,True
jonquil,1,1,mon,2,0.8695652173913043,1,0,conc,ooc,False,OOV/OOW,0.8695652173913043,0.26086956521739135,124,True
resplendent,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000009,1.0,0.0,493,False
tile,2,6,homonyms_only_different_pos,4,0.5555555555555556,1,0,conc,ooc,False,OOV/OOW,0.5787037037037037,1.6851851851851851,9920,True
inclosure,1,1,mon,2,0.23529411764705882,1,0,abs,ooc,False,0.02845213551074475,0.23529411764705882,1.5294117647058822,314,True
churchyard,1,1,mon,1,1.0,0,0,conc,False,False,1.0000000000000004,1.0,0.0,9624,True
booze,2,3,homonyms_only_different_pos,2,None,0,0,abs,False,False,OOV/OOW,,,1015,True
dreadnought,1,1,mon,1,1.0,0,0,conc,ooc,False,0.6248230104857182,1.0,0.0,2524,True
ramble on,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
accusation,1,2,poly,2,0.625,1,3,abs,False,False,OOV/OOW,0.625,0.75,5665,True
calfskin,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000013,1.0,0.0,108,True
listener,1,1,mon,1,1.0,0,0,conc,ooc,False,0.6520593495055895,1.0,0.0,8117,True
solidify,1,1,mon,2,0.6666666666666666,1,3,-,False,False,OOWN,0.6666666666666666,0.6666666666666667,1814,False
looming,0,0,oov,4,0.2,0,0,-,True,False,OOV/OOW,0.2813492063492063,2.874603174603175,2233,False
meet,3,17,homonyms_only_different_pos,15,0.2,2,8,abs,True,False,OOV/OOW,0.33390313390313364,9.991452991452995,143556,True
upright,3,4,homonyms_only_different_pos,5,0.6666666666666666,3,0,conc,ooc,False,OOV/OOW,0.6666666666666666,1.666666666666667,11194,True
sash window,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
tambourine,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000013,1.0,0.0,1761,True
admittedly,1,1,mon,1,1.0,0,0,-,False,False,1.0000000000000016,1.0,0.0,1200,False
paprika,1,2,poly,2,0.19047619047619047,1,0,conc,ooc,False,OOV/OOW,0.19047619047619047,1.619047619047619,774,True
hold by,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
salty,1,3,poly,3,None,1,0,-,ooc,False,OOWN,,,2869,False
ground in,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
sodomy,1,1,mon,1,1.0,0,0,conc,ooc,False,0.7000760670238395,1.0,0.0,2466,True
tenacious,1,3,poly,3,None,1,0,-,ooc,False,OOV/OOW,,,1775,False
purity,1,1,mon,3,0.46153846153846156,1,0,abs,ooc,False,OOV/OOW,0.5854700854700855,1.2435897435897436,8884,True
gyves,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
filigree,1,1,mon,2,None,0,0,conc,ooc,False,OOV/OOW,,,537,True
infantry,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000002,1.0,0.0,135922,True
josh,1,2,poly,1,1.0,0,0,-,ooc,False,1.000000000000002,1.0,0.0,26225,False
P M,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
camouflage,2,2,homonyms_only_different_pos,5,0.125,1,4,abs-conc,True,False,0.292678006474169,0.24464285714285716,3.7767857142857144,6312,True
etiolate,1,1,mon,4,0.2857142857142857,0,3,-,ooc,False,OOWN,0.30158730158730157,2.7936507936507935,OOV,False
punctilious,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW,1.0,0.0,OOV,False
heatstroke,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000016,1.0,0.0,140,True
lantern,1,2,poly,1,1.0,0,0,conc,ooc,False,1.0000000000000004,1.0,0.0,11966,True
ambidextrous,1,1,mon,2,None,1,0,-,ooc,False,0.06945724967953547,,,544,False
keep out of,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
revile,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW,1.0,0.0,OOV,False
merv,0,0,oov,0,None,0,0,-,False,False,OOWN,,,1958,False
executant,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0,OOV,True
flabbergast,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW,1.0,0.0,OOV,False
proverb,1,1,mon,1,1.0,0,0,abs,ooc,False,0.4940310705695843,1.0,0.0,1668,True
chock - a - block,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
southend,0,0,oov,0,None,0,0,-,False,False,OOWN,,,6390,False
scruff,2,2,homonyms_also_same_pos,1,1.0,0,0,conc,ooc,False,0.5895448236274758,1.0,0.0,228,True
Lord,2,4,homonyms_only_different_pos,4,0.11764705882352941,1,0,conc-n,ooc,False,OOV/OOW,0.28366013071895424,2.865359477124183,OOV,True
forgetful,1,1,mon,3,None,1,0,-,ooc,False,OOV/OOW,,,443,False
transfigure,1,1,mon,2,0.2857142857142857,1,0,-,ooc,False,OOV/OOW,0.2857142857142857,1.4285714285714286,OOV,False
Ptolemaic system,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
aftercare,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000009,1.0,0.0,203,True
settle,2,14,homonyms_only_different_pos,23,0.2,5,8,conc,True,False,0.18341235704126374,0.2788772074486358,16.585824228681375,29844,True
misanthropy,1,1,mon,2,0.375,1,0,abs,ooc,False,OOWN,0.375,1.25,268,True
mislead,1,1,mon,2,0.2222222222222222,1,4,-,ooc,False,OOV/OOW,0.2222222222222222,1.5555555555555556,1227,False
prize out,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
belly dance,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
aphasic,2,2,homonyms_only_different_pos,3,None,0,0,conc,ooc,False,OOWN,,,OOV,True
calf love,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
lancaster,0,0,oov,2,0.1,0,0,abs-n,False,False,OOV/OOW,0.1,1.8,24614,True
messy,1,3,poly,1,1.0,0,0,-,False,False,1.0000000000000007,1.0,0.0,1903,False
enlighten,1,1,mon,3,0.125,1,3,-,ooc,False,OOV/OOW,0.29123931623931626,2.1262820512820513,759,False
pectoral cross,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
choppers,1,1,mon,4,0.09090909090909091,0,0,abs-conc,ooc,False,0.21390164106655765,0.18445448271535225,3.262182069138591,709,True
1958,0,0,oov,0,None,0,0,-,False,False,OOWN,,,120345,False
N B,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
doormat,1,1,mon,2,0.47058823529411764,1,0,conc,ooc,False,0.20239064685228805,0.47058823529411764,1.0588235294117647,142,True
salad dressing,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
oppress,1,2,poly,2,0.25,1,3,-,True,False,0.31028582410742006,0.25,1.5,537,False
darning,1,2,poly,2,None,0,0,abs,ooc,False,OOWN,,,106,True
projectile,2,3,homonyms_only_different_pos,3,0.631578947368421,1,3,conc,ooc,False,OOWN,0.631578947368421,1.105263157894737,5511,True
vinegary,1,2,poly,2,None,0,0,-,ooc,False,OOV/OOW,,,OOV,False
isotherm,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000009,1.0,0.0,344,True
participial,1,1,mon,2,None,0,0,abs,ooc,False,0.48911667521979335,,,110,True
£2.99,0,0,oov,0,None,0,0,-,False,False,OOWN,,,OOV,False
I'll,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
rile,1,1,mon,2,0.2857142857142857,1,0,-,ooc,False,OOV/OOW,0.2857142857142857,1.4285714285714286,OOV,False
case study,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
prelim,1,1,mon,2,0.5,1,0,abs,ooc,False,OOV/OOW,0.5,1.0,203,True
roof rack,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
Arctic,1,1,mon,4,0.3157894736842105,2,0,conc-n,ooc,False,OOV/OOW,0.3157894736842105,2.736842105263158,OOV,True
peddler,1,2,poly,2,0.88,1,0,conc,ooc,False,0.2266696767686303,0.88,0.24,747,True
Shetland wool,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
sundae,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000002,1.0,0.0,469,True
marvellously,0,0,oov,1,1.0,0,0,-,False,False,0.4248582881368426,1.0,0.0,142,False
abo,1,1,mon,1,0.9,0,0,abs,ooc,False,OOV/OOW,1.0,0.0,829,True
Kesers,0,0,oov,0,None,0,0,-,ooc,True,OOWN,,,OOV,False
Lincoln green,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
screw,2,17,homonyms_only_different_pos,10,0.2,5,14,conc,False,False,0.07862676808000882,0.33970678507863866,6.602932149213614,10449,True
hardback,1,1,mon,2,None,0,0,conc,False,False,0.43226598740540245,,,1668,True
leaning,1,1,mon,10,0.16666666666666666,1,0,abs,ooc,False,0.09797205743634826,0.27462814962814963,7.2537185037185035,8027,True
Ahold,0,0,oov,0,None,0,0,-,ooc,True,OOWN,,,OOV,False
approachable,1,2,poly,3,None,2,0,-,ooc,False,0.23737889164600315,,,924,False
scurry,2,2,homonyms_only_different_pos,2,None,0,0,abs,ooc,False,OOWN,,,468,True
archbishop,1,1,mon,1,1.0,0,0,abs,False,False,1.0,1.0,0.0,52777,True
simplify,1,1,mon,1,1.0,0,1,-,False,False,1.0000000000000018,1.0,0.0,4134,False
white,2,9,homonyms_only_different_pos,25,0.1111111111111111,11,0,abs-conc-n,False,False,0.20817186108843944,0.3786034901500703,15.534912746248242,559437,True
bowing,1,2,poly,8,0.16666666666666666,0,0,abs,ooc,False,OOWN,0.21111111111111114,6.311111111111111,1894,True
overstay,1,2,poly,1,1.0,0,0,-,ooc,False,OOV/OOW,1.0,0.0,OOV,False
apologia,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000013,1.0,0.0,408,True
miscreant,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000001,1.0,0.0,125,True
neoplasm,1,1,mon,1,1.0,0,0,abs,ooc,False,0.6465877481371155,1.0,0.0,411,True
test match,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
effortless,1,1,mon,2,None,1,0,-,ooc,False,OOWN,,,1109,False
maidenly,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW,1.0,0.0,OOV,False
annular,1,1,mon,1,1.0,0,0,-,ooc,False,0.6302834260098091,1.0,0.0,1626,False
closely,0,0,oov,3,None,0,0,-,True,False,OOWN,,,89190,False
vandal,1,1,mon,2,0.6,1,0,conc,ooc,False,OOWN,0.6,0.8,1614,True
autosuggestion,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0,OOV,True
outwardly,1,1,mon,2,None,1,0,-,ooc,False,OOWN,,,2063,False
jarring,0,0,oov,6,0.2222222222222222,0,0,-,True,False,OOV/OOW,0.28293650793650793,4.302380952380952,964,False
bernard,0,0,oov,1,1.0,0,0,n,False,False,OOV/OOW,1.0,0.0,42296,True
thoughtless,1,2,poly,2,None,2,0,-,ooc,False,OOWN,,,348,False
occasionally,0,0,oov,1,1.0,0,0,-,False,False,1.0000000000000009,1.0,0.0,70233,False
precision - made,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
visit on,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
po,1,1,mon,4,0.1,0,0,abs-conc-n,False,False,0.1533767472988982,0.19936196700902584,3.2025521319638965,13925,True
registration,1,2,poly,5,0.23529411764705882,2,6,abs,ooc,False,0.2965176662729745,0.30830532212885153,3.4584733893557424,32859,True
missive,1,1,mon,1,0.8888888888888888,0,0,abs,ooc,False,1.000000000000001,1.0,0.0,205,True
psychiatry,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000004,1.0,0.0,9418,True
trigger - happy,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
scarce,2,3,homonyms_only_different_pos,2,None,1,0,-,ooc,False,OOWN,,,8798,False
credible,1,1,mon,3,None,1,0,-,ooc,False,0.3183794446026902,,,6739,False
hysterically,0,0,oov,1,1.0,0,0,-,True,False,1.0000000000000002,1.0,0.0,446,False
takeover,1,1,mon,2,0.625,1,3,abs,False,False,0.23268027222680035,0.625,0.75,13874,True
reproductive,1,2,poly,1,1.0,0,0,-,ooc,False,0.676751768827907,1.0,0.0,14555,False
arrive,1,4,poly,2,0.4,1,1,-,True,False,OOWN,0.4,1.2,37063,False
High Church,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
angora,1,3,poly,4,0.20689655172413793,0,0,conc-n,ooc,False,OOV/OOW,0.4577971629597619,2.1688113481609523,717,True
fillip,1,2,poly,1,1.0,0,0,abs,ooc,False,1.0000000000000018,1.0,0.0,139,True
respondent,1,1,mon,3,0.5714285714285714,2,0,conc,ooc,False,0.15206881483244425,0.5714285714285714,1.2857142857142858,2169,True
camp follower,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
ai,0,0,oov,4,0.08333333333333333,1,0,abs-conc,False,False,OOV/OOW,0.1356565700269429,3.4573737198922285,17112,True
aerobatics,1,2,poly,1,1.0,0,0,abs,ooc,False,1.0000000000000004,1.0,0.0,1017,True
Romany,1,2,poly,3,0.1111111111111111,2,0,abs-conc,ooc,False,OOV/OOW,0.1111111111111111,2.6666666666666665,OOV,True
syndrome,1,2,poly,2,0.4444444444444444,1,0,abs,ooc,False,OOWN,0.4444444444444444,1.1111111111111112,35991,True
delight,2,6,homonyms_only_different_pos,5,0.26666666666666666,2,1,abs,ooc,False,OOV/OOW,0.45,2.75,7802,True
Fates,1,1,mon,5,0.2,0,0,abs-conc,ooc,False,OOV/OOW,0.23333333333333334,3.833333333333333,OOV,True
Aquarius,1,3,poly,3,0.42857142857142855,0,0,conc-n,ooc,False,OOV/OOW,0.46349206349206346,1.6095238095238098,OOV,True
twisting,0,0,oov,13,0.18181818181818182,0,0,abs,True,False,0.2289014476997922,0.2633583299487189,9.576341710666654,3394,True
borax,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000018,1.0,0.0,937,True
tone - deaf,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
- tude,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
revel,2,2,homonyms_only_different_pos,3,0.3333333333333333,1,0,abs,ooc,False,0.15672447787176735,0.3333333333333333,2.0,1335,True
mispronounce,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW,1.0,0.0,OOV,False
kenya,0,0,oov,1,1.0,0,0,n,False,False,OOV/OOW,1.0,0.0,34520,True
howler,1,1,mon,3,0.08333333333333333,2,0,abs-conc,ooc,False,OOV/OOW,0.1414141414141414,2.5757575757575757,904,True
discussion,1,3,poly,2,0.3076923076923077,1,3,abs,False,False,OOWN,0.3076923076923077,1.3846153846153846,46917,True
symmetry,1,2,poly,3,0.14285714285714285,1,0,abs-conc,False,False,0.44178571671420797,0.34132534132534137,1.9760239760239757,14565,True
tunnel,2,3,homonyms_only_different_pos,4,0.25,2,3,conc,True,False,OOWN,0.3125,2.75,65231,True
confinement,1,2,poly,4,0.13333333333333333,2,0,abs-conc,ooc,False,0.13680874019007047,0.3015669515669515,2.793732193732194,7332,True
operable,1,1,mon,3,None,2,0,-,ooc,False,OOWN,,,875,False
bruno,0,0,oov,3,0.5217391304347826,0,0,n,False,False,OOV/OOW,0.5296442687747036,1.4110671936758892,18564,True
psaltery,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000013,1.0,0.0,128,True
draw apart,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
overbalance,1,1,mon,2,0.3333333333333333,1,0,-,ooc,False,OOV/OOW,0.3333333333333333,1.3333333333333335,OOV,False
cross - index,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
enlarge,1,1,mon,4,0.14285714285714285,2,3,-,ooc,False,OOV/OOW,0.2571428571428572,2.9714285714285715,2726,False
principles,1,3,poly,6,0.25,0,0,abs,ooc,False,0.3000082634863425,0.48662309368191725,3.0802614379084963,59209,True
unbowed,1,1,mon,2,None,1,0,-,True,False,OOWN,,,104,False
Economic Planning Agency,0,0,oov,0,None,0,0,-,ooc,True,OOWN,,,OOV,False
necklace,1,1,mon,1,1.0,0,0,conc,False,False,1.0,1.0,0.0,5515,True
banking,1,1,mon,10,0.16666666666666666,1,3,abs,ooc,False,0.030855263012179685,0.23083047220978253,7.691695277902175,38409,True
determ,0,0,oov,0,None,0,0,-,True,False,OOWN,,,OOV,False
view,3,15,homonyms_only_different_pos,13,0.10526315789473684,6,14,abs-conc,True,False,0.1533413875686106,0.27598559761388713,9.412187231019466,185894,True
squadron,1,3,poly,3,0.7368421052631579,1,0,abs,ooc,False,OOWN,0.7504873294346979,0.7485380116959064,139201,True
clear - sighted,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
rapidly,0,0,oov,1,1.0,0,0,-,False,False,0.4908430751594775,1.0,0.0,60466,False
overwrought,1,1,mon,1,1.0,0,0,-,ooc,False,0.6060348927049681,1.0,0.0,497,False
classified,1,2,poly,6,0.15384615384615385,2,0,abs,ooc,False,OOV/OOW,0.1692307692307692,4.984615384615385,64257,True
ghat,1,4,poly,1,1.0,0,0,conc,ooc,False,1.0000000000000009,1.0,0.0,2343,True
mew,1,2,poly,4,0.08333333333333333,2,0,abs-conc,ooc,False,OOV/OOW,0.20833333333333331,3.166666666666667,1201,True
deliver,1,10,poly,12,0.16666666666666666,7,9,-,True,False,0.08938993469893003,0.2614401591674319,8.862718089990818,32006,False
Empire,1,3,poly,5,0.1,1,0,abs-conc,ooc,False,OOWN,0.2522325421396629,3.738837289301685,OOV,True
self - denying,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
amble,2,4,homonyms_only_different_pos,2,None,0,1,abs,ooc,False,OOV/OOW,,,296,True
mammon,1,1,mon,2,0.23529411764705882,1,0,abs-n,ooc,False,OOWN,0.23529411764705882,1.5294117647058822,397,True
screening,1,1,mon,11,0.1111111111111111,3,0,abs-conc,ooc,False,OOV/OOW,0.24531639034563013,8.301519706198068,21947,True
Voltaire,0,0,oov,1,1.0,0,0,n,ooc,True,OOV/OOW,1.0,0.0,OOV,True
cloven hoof,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
pasta,1,1,mon,2,0.42857142857142855,1,0,conc,False,False,OOV/OOW,0.42857142857142855,1.1428571428571428,3354,True
mispronunciation,1,1,mon,1,1.0,0,0,abs,ooc,False,1.000000000000001,1.0,0.0,285,True
kielderhead,0,0,oov,0,None,0,0,-,False,False,OOWN,,,OOV,False
modify,1,3,poly,3,0.2222222222222222,2,1,-,ooc,False,OOWN,0.29074074074074074,2.1277777777777778,9327,False
pedestrian,2,3,homonyms_only_different_pos,2,None,0,0,conc,True,False,OOV/OOW,,,14650,True
shah,1,1,mon,1,0.8461538461538461,0,0,conc,ooc,False,OOV/OOW,1.0,0.0,37840,True
bookplate,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000016,1.0,0.0,142,True
dolour,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0,OOV,True
FC Barcelona,0,0,oov,0,None,0,0,-,ooc,True,OOWN,,,OOV,False
mooch about,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
economy,2,6,homonyms_only_different_pos,4,0.25,2,3,abs,False,False,OOV/OOW,0.310515873015873,2.757936507936508,114297,True
diameter,1,2,poly,2,0.42857142857142855,1,0,abs,False,False,0.2688192663215208,0.42857142857142855,1.1428571428571428,55110,True
my,1,3,poly,0,None,0,0,-,ooc,False,OOWN,,,307865,False
bellicose,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000013,1.0,0.0,358,False
blow down,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
unceremonious,1,2,poly,2,None,1,0,-,ooc,False,OOV/OOW,,,OOV,False
wheezy,1,1,mon,2,None,1,0,-,ooc,False,OOWN,,,164,False
panloy,0,0,oov,0,None,0,0,-,False,False,OOWN,,,OOV,False
pedagogy,1,1,mon,3,0.3333333333333333,1,0,abs,ooc,False,0.4022801547563013,0.47973856209150334,1.56078431372549,4001,True
memorable,1,2,poly,1,1.0,0,0,-,ooc,False,1.0000000000000002,1.0,0.0,18183,False
felucca,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000007,1.0,0.0,119,True
sari,1,1,mon,1,1.0,0,0,conc,False,False,0.6731957547668772,1.0,0.0,3463,True
striated,1,1,mon,1,1.0,0,0,-,ooc,False,OOWN,1.0,0.0,1113,False
very high frequency,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
shyster,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000013,1.0,0.0,144,True
air - to - air,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
20-fold,0,0,oov,0,None,0,0,-,False,False,OOWN,,,OOV,False
Achilles' heel,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
goldmine,1,2,poly,2,0.625,0,0,conc,ooc,False,OOWN,0.625,0.75,540,True
cocked hat,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
season,2,8,homonyms_only_different_pos,6,0.2222222222222222,3,8,abs,False,False,OOV/OOW,0.5568783068783069,2.658730158730159,1446684,True
straightforward,1,2,poly,4,None,1,0,-,False,False,OOWN,,,8203,False
Naafi,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
champaign,1,1,mon,2,0.4,1,0,conc-n,ooc,False,OOWN,0.4,1.2,4301,True
southeasterly,1,2,poly,2,None,0,0,-,ooc,False,OOWN,,,1068,False
BrE,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
commonweal,1,2,poly,1,1.0,0,0,abs,ooc,False,1.0000000000000016,1.0,0.0,286,True
country cousin,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
barefaced,1,1,mon,2,None,1,0,-,ooc,False,OOV/OOW,,,OOV,False
crypt,1,1,mon,1,0.8181818181818182,0,0,conc,ooc,False,1.0000000000000002,1.0,0.0,7106,True
rummage sale,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
inwardly,0,0,oov,1,1.0,0,0,-,False,False,1.0000000000000004,1.0,0.0,910,False
growing pains,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
good looker,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
possible,2,5,homonyms_only_different_pos,4,0.125,3,0,abs-conc,False,False,OOWN,0.125,3.5,257298,True
swiss,0,0,oov,2,None,0,0,abs,False,False,OOV/OOW,,,84115,True
horrify,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW,1.0,0.0,OOV,False
exasperation,1,1,mon,2,0.21052631578947367,0,0,abs,False,False,OOWN,0.21052631578947367,1.5789473684210527,387,True
run around,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
water meadow,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
chummy,1,1,mon,2,None,0,0,-,ooc,False,0.05223575491165178,,,159,False
mixture,1,4,poly,5,0.11764705882352941,1,0,abs-conc,True,False,0.06173033294588225,0.28358011269775973,3.5820994365112013,35176,True
lactic,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000009,1.0,0.0,1608,False
Chinese lantern,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
solemnize,1,1,mon,3,0.2222222222222222,1,4,-,ooc,False,OOWN,0.25925925925925924,2.2222222222222223,OOV,False
consulate,1,2,poly,1,1.0,0,0,conc,ooc,False,1.0000000000000013,1.0,0.0,7936,True
pronunciamento,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0,OOV,True
ellipse,1,1,mon,1,1.0,0,0,abs,False,False,1.000000000000002,1.0,0.0,1944,True
rectal,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000013,1.0,0.0,1363,False
testator,1,1,mon,1,0.75,0,0,conc,ooc,False,1.0000000000000009,1.0,0.0,614,True
acne,1,1,mon,1,1.0,0,1,abs,ooc,False,1.000000000000001,1.0,0.0,1505,True
trachea,1,1,mon,2,0.631578947368421,1,0,conc,ooc,False,0.4164601982427755,0.631578947368421,0.736842105263158,1210,True
dumb show,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
talk out,1,3,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
plunger,1,3,poly,4,0.38095238095238093,2,0,conc,ooc,False,OOV/OOW,0.46733500417710944,2.1306599832915625,1071,True
pressure gauge,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
