word,n_entries,n_senses_total,polysemy_type,n_synsets,min_wup_sim,n_navigli_clusters,n_onto_senses_n_v,wn-abs-conc,mipvu,metonymy_entities,av_cos_mon_synonyms_to_word
clearing,1,2,poly,27,0.1111111111111111,1,0,abs-conc,False,False,0.1580631313825798
bigamous,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000004
Quinquagesima,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW
analogy,1,4,poly,3,0.2857142857142857,1,0,abs,False,False,OOV/OOW
enterprising,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000009
tribulation,1,1,mon,1,1.0,0,0,abs,ooc,False,1.000000000000002
demanding,1,1,mon,7,0.14285714285714285,0,0,-,ooc,False,OOWN
saith,1,1,mon,0,None,0,0,-,ooc,False,OOWN
michael,0,0,oov,1,1.0,0,0,abs,False,False,OOV/OOW
prod,2,5,homonyms_only_different_pos,5,0.13333333333333333,3,3,abs-conc,True,False,OOV/OOW
irremovable,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW
hie,1,1,mon,1,1.0,0,0,-,ooc,False,1.000000000000001
well - wisher,1,1,mon,0,None,0,0,-,ooc,False,OOWN
capsize,1,1,mon,1,1.0,0,0,-,ooc,False,1.0
trestle table,1,1,mon,0,None,0,0,-,ooc,False,OOWN
metaphysics,1,2,poly,1,1.0,0,0,abs,ooc,False,1.0000000000000007
out -,2,6,homonyms_only_different_pos,0,None,0,0,-,ooc,False,OOWN
u,0,0,oov,4,0.19047619047619047,0,0,abs,False,False,OOV/OOW
snowbound,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000018
moggy,1,1,mon,0,None,0,0,-,ooc,False,OOWN
nightlight,1,1,mon,0,None,0,0,-,ooc,False,OOWN
priory,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000009
standpoint,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000007
cries,1,1,mon,12,0.18181818181818182,0,0,abs,ooc,False,0.28496754567035093
certify,1,4,poly,5,0.10526315789473684,1,5,-,ooc,False,OOWN
task,1,2,poly,4,0.25,2,3,abs,False,False,0.2706973100564478
belly,1,2,poly,6,0.10526315789473684,1,0,abs-conc,False,False,OOV/OOW
D - day,1,2,poly,0,None,0,0,-,ooc,False,OOWN
hamper,2,3,homonyms_only_different_pos,4,0.13333333333333333,2,1,conc,True,False,OOWN
istanbul,0,0,oov,1,1.0,0,0,n,False,False,OOV/OOW
camomile,1,2,poly,1,1.0,0,0,conc,ooc,False,0.6275628633772404
- footer,1,2,poly,0,None,0,0,-,ooc,False,OOWN
Mongols,0,0,oov,1,1.0,0,0,conc,ooc,True,OOWN
dollop,1,3,poly,1,1.0,0,0,abs,ooc,False,1.0000000000000022
pouf,1,2,poly,2,0.4,1,0,conc,ooc,False,OOV/OOW
gazebo,1,1,mon,1,1.0,0,0,conc,ooc,False,0.6537941830465888
granule,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000009
convector,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW
rent - free,1,1,mon,0,None,0,0,-,ooc,False,OOWN
epistle,1,1,mon,2,0.5882352941176471,1,0,abs,ooc,False,OOWN
shrike,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000013
walk off with,1,2,poly,0,None,0,0,-,ooc,False,OOWN
attractiveness,0,0,oov,2,0.6666666666666666,0,0,abs,True,False,OOWN
windy,1,2,poly,4,None,3,0,-,False,False,0.07118210232829605
conversely,0,0,oov,1,1.0,0,0,-,False,False,1.0000000000000007
dipstick,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000022
Nazism,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW
polemics,1,2,poly,3,0.1111111111111111,0,0,abs-conc,ooc,False,0.3109625866535279
soused,1,1,mon,5,0.2,0,0,-,ooc,False,OOV/OOW
come forward,1,2,poly,0,None,0,0,-,ooc,False,OOWN
praline,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000002
familiarize with,1,1,mon,0,None,0,0,-,ooc,False,OOWN
body politic,1,1,mon,0,None,0,0,-,ooc,False,OOWN
sweet pea,1,1,mon,0,None,0,0,-,ooc,False,OOWN
sooner,0,0,oov,3,None,0,0,conc,False,False,0.1217316726894094
leaden,1,3,poly,5,None,2,0,-,ooc,False,OOWN
stereo -,1,1,mon,0,None,0,0,-,ooc,False,OOWN
patron saint,1,1,mon,0,None,0,0,-,ooc,False,OOWN
stockport,0,0,oov,0,None,0,0,-,False,False,OOWN
manufacturing,0,0,oov,5,0.2,0,0,abs,False,False,OOWN
sing,1,6,poly,5,0.16666666666666666,2,5,-,True,False,OOV/OOW
despise,1,1,mon,1,1.0,0,0,-,False,False,1.0000000000000013
cline,1,1,mon,1,1.0,0,0,n,ooc,False,OOV/OOW
time sheet,1,1,mon,0,None,0,0,-,ooc,False,OOWN
murky,1,2,poly,2,None,1,0,-,True,False,0.29429190991264687
present - day,1,1,mon,0,None,0,0,-,ooc,False,OOWN
right - handed,1,2,poly,0,None,0,0,-,ooc,False,OOWN
investigate,1,1,mon,2,0.6666666666666666,1,1,-,True,False,OOWN
hard shoulder,1,1,mon,0,None,0,0,-,ooc,False,OOWN
fourth,1,1,mon,5,0.2,0,0,abs,False,False,0.30970515099070584
63,0,0,oov,1,1.0,0,0,-,False,False,0.5757173577224254
scream,2,6,homonyms_only_different_pos,6,0.16666666666666666,4,9,abs,False,False,OOV/OOW
increased,0,0,oov,3,0.2857142857142857,0,0,-,True,False,OOWN
Holstein,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW
Trinidad and Tobago,0,0,oov,0,None,0,0,-,ooc,True,OOWN
obtuse,1,3,poly,4,None,2,0,-,ooc,False,OOWN
write - in,1,1,mon,0,None,0,0,-,ooc,False,OOWN
refashion,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW
birthright,1,1,mon,3,0.3333333333333333,1,0,abs,ooc,False,OOWN
fritter,1,1,mon,2,None,0,0,conc,ooc,False,OOV/OOW
8,0,0,oov,2,None,0,0,abs,False,False,OOV/OOW
corvette,1,2,poly,1,1.0,0,0,conc,ooc,False,1.000000000000001
volte - face,1,1,mon,0,None,0,0,-,ooc,False,OOWN
hattersley,0,0,oov,0,None,0,0,-,False,False,OOWN
bookworm,1,2,poly,2,0.5714285714285714,2,0,conc,ooc,False,0.1411098140617642
piggery,1,2,poly,1,1.0,0,0,conc,ooc,False,1.0000000000000009
prosody,1,1,mon,3,0.21052631578947367,2,0,abs,ooc,False,OOV/OOW
guest,2,6,homonyms_only_different_pos,4,0.38095238095238093,3,0,conc-n,ooc,False,0.18930681507003502
guvnor,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW
though,2,3,homonyms_only_different_pos,1,1.0,0,0,-,False,False,1.000000000000002
forked,1,2,poly,6,0.25,1,0,-,ooc,False,OOV/OOW
nib,1,1,mon,2,0.21052631578947367,1,0,conc,ooc,False,OOV/OOW
blackness,0,0,oov,2,0.4,0,0,abs,False,False,OOV/OOW
admissible,1,2,poly,1,1.0,0,0,-,ooc,False,1.0000000000000009
barge into,1,2,poly,0,None,0,0,-,ooc,False,OOWN
7.30pm,0,0,oov,0,None,0,0,-,False,False,OOWN
alacrity,1,1,mon,1,1.0,0,0,abs,ooc,False,1.000000000000001
wobbly,1,1,mon,2,None,0,0,conc,False,False,OOWN
reek with,1,1,mon,0,None,0,0,-,ooc,False,OOWN
we're,1,1,mon,0,None,0,0,-,ooc,False,OOWN
mass production,1,1,mon,0,None,0,0,-,ooc,False,OOWN
atrophy,2,3,homonyms_only_different_pos,3,0.35294117647058826,1,0,abs,ooc,False,OOV/OOW
sailplane,1,1,mon,2,None,0,0,conc,ooc,False,0.5573297176168875
customer,1,2,poly,1,1.0,0,3,conc,False,False,1.0000000000000013
chorus girl,1,1,mon,0,None,0,0,-,ooc,False,OOWN
hookworm,1,2,poly,2,0.1,1,0,abs-conc,ooc,False,OOV/OOW
gubernatorial,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000009
shriek,2,2,homonyms_only_different_pos,3,0.26666666666666666,1,0,abs,False,False,OOWN
well - timed,1,1,mon,0,None,0,0,-,ooc,False,OOWN
realpolitik,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000027
double - check,1,2,poly,0,None,0,0,-,ooc,False,OOWN
enter,1,4,poly,9,0.18181818181818182,4,5,-,True,False,0.2647167377966237
Grail,1,1,mon,2,0.1111111111111111,0,0,abs-n,ooc,False,OOV/OOW
purpose - built,1,1,mon,0,None,0,0,-,ooc,False,OOWN
apocalyptic,1,3,poly,2,None,1,0,-,ooc,False,OOV/OOW
conversationalist,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000002
licence,1,5,poly,4,0.26666666666666666,2,0,abs,False,False,OOWN
ajar,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000002
headship,1,1,mon,2,0.8888888888888888,1,0,abs,ooc,False,OOWN
xenon,1,1,mon,1,0.875,0,0,abs,ooc,False,1.0000000000000018
department store,1,1,mon,0,None,0,0,-,ooc,False,OOWN
scarecrow,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000002
flushed,1,1,mon,9,0.18181818181818182,0,0,-,ooc,False,OOV/OOW
macaroon,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW
swaddling clothes,1,1,mon,0,None,0,0,-,ooc,False,OOWN
accidental,1,1,mon,2,None,2,0,abs,ooc,False,0.40193732886995337
tender,4,13,homonyms_also_same_pos,18,0.10526315789473684,10,12,abs-conc,ooc,False,0.11392795414338264
Indian file,1,1,mon,0,None,0,0,-,ooc,False,OOWN
suave,1,1,mon,2,None,1,0,-,ooc,False,OOV/OOW
quixotic,1,1,mon,1,1.0,0,0,-,False,False,1.000000000000002
unwonted,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW
tic,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000007
hortative,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW
meant,1,1,mon,7,0.125,0,0,-,ooc,False,OOV/OOW
Australian,1,1,mon,3,0.15384615384615385,2,0,abs-conc,ooc,False,OOV/OOW
twee,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000004
Snr,1,1,mon,0,None,0,0,-,ooc,False,OOWN
tout,2,4,homonyms_only_different_pos,5,0.14285714285714285,3,4,conc,ooc,False,0.19166889541590634
privileged,1,3,poly,4,None,1,0,-,False,False,OOWN
Proctor,1,1,mon,2,None,0,0,conc,ooc,False,OOV/OOW
great,2,9,homonyms_only_different_pos,7,None,4,0,conc,True,False,0.03039028496075974
hunting pink,1,1,mon,0,None,0,0,-,ooc,False,OOWN
choir school,1,1,mon,0,None,0,0,-,ooc,False,OOWN
swear in,1,2,poly,0,None,0,0,-,ooc,False,OOWN
ecosystem,1,1,mon,1,1.0,0,1,abs,ooc,False,1.0000000000000007
cantata,1,1,mon,1,1.0,0,0,abs,False,False,0.7930354338558948
theosophy,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000018
thegn,1,1,mon,0,None,0,0,-,ooc,False,OOWN
market price,1,1,mon,0,None,0,0,-,ooc,False,OOWN
tuxedo,1,1,mon,1,1.0,0,0,conc,ooc,False,0.5930268751832113
underfoot,1,3,poly,2,None,1,0,-,ooc,False,OOWN
anklet,1,1,mon,3,0.47619047619047616,2,0,conc,ooc,False,OOV/OOW
gout,1,1,mon,1,1.0,0,0,abs,ooc,False,1.000000000000001
statistician,1,1,mon,2,0.6,1,0,conc,ooc,False,0.3257074176976741
dept .,1,1,mon,0,None,0,0,-,ooc,False,OOWN
smear,2,6,homonyms_only_different_pos,8,0.11764705882352941,3,3,abs-conc,False,False,0.22639855239876003
politicize,1,2,poly,1,1.0,0,0,-,ooc,False,1.0000000000000013
backyard,1,2,poly,1,1.0,0,0,conc,ooc,False,1.0000000000000013
spur,2,10,homonyms_only_different_pos,10,0.11764705882352941,4,3,abs-conc,True,False,OOV/OOW
typical,1,2,poly,3,None,1,0,-,False,False,OOWN
auditor,1,2,poly,3,0.5714285714285714,2,0,conc,False,False,0.1288025563618107
lawton,0,0,oov,1,1.0,0,0,n,False,False,OOV/OOW
win over,1,1,mon,0,None,0,0,-,ooc,False,OOWN
emboss,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW
bipedal,0,0,oov,1,1.0,0,0,-,False,False,1.0000000000000007
kilowatt,1,1,mon,1,1.0,0,0,abs,ooc,False,1.000000000000002
£43,0,0,oov,0,None,0,0,-,False,False,OOWN
sob,2,4,homonyms_only_different_pos,4,0.125,1,0,abs-conc,ooc,False,0.10644051740151553
vodka,1,1,mon,1,1.0,0,0,abs,False,False,0.9999999999999999
stately home,1,1,mon,0,None,0,0,-,ooc,False,OOWN
projectionist,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000009
cottage hospital,1,1,mon,0,None,0,0,-,ooc,False,OOWN
third party,1,2,poly,0,None,0,0,-,ooc,False,OOWN
master mariner,1,1,mon,0,None,0,0,-,ooc,False,OOWN
£200,0,0,oov,0,None,0,0,-,False,False,OOWN
cathode ray tube,1,1,mon,0,None,0,0,-,ooc,False,OOWN
mood-altering,0,0,oov,0,None,0,0,-,False,False,OOWN
latent heat,1,1,mon,0,None,0,0,-,ooc,False,OOWN
tie - up,1,3,poly,0,None,0,0,-,ooc,False,OOWN
Vietnam,0,0,oov,2,0.1111111111111111,0,0,n,ooc,True,OOV/OOW
delouse,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW
below,3,9,homonyms_only_different_pos,5,None,1,0,-,True,False,0.29128419390691235
lip - read,1,1,mon,0,None,0,0,-,ooc,False,OOWN
Quonset hut,1,1,mon,0,None,0,0,-,ooc,False,OOWN
Catholic,2,2,homonyms_only_different_pos,3,None,1,0,conc,ooc,False,OOWN
transporter crane,1,1,mon,0,None,0,0,-,ooc,False,OOWN
visionary,2,4,homonyms_only_different_pos,3,0.7058823529411765,1,0,conc,ooc,False,OOWN
clog,2,4,homonyms_only_different_pos,9,0.1,3,5,abs-conc,ooc,False,0.10466624826827978
binder,1,4,poly,4,0.2222222222222222,3,0,abs-conc,ooc,False,OOV/OOW
sleep around,1,1,mon,0,None,0,0,-,ooc,False,OOWN
1934,0,0,oov,0,None,0,0,-,False,False,OOWN
predominate,1,2,poly,3,0.2857142857142857,1,0,-,ooc,False,0.10775870699703632
creeps,1,1,mon,10,0.09090909090909091,0,0,abs-conc,ooc,False,0.2167734106071803
lens,1,2,poly,5,0.1111111111111111,1,0,abs-conc,ooc,False,OOV/OOW
arithmetic,2,3,homonyms_only_different_pos,2,None,0,0,abs,ooc,False,0.5218356370617836
unstable,0,0,oov,6,None,1,0,-,True,False,OOV/OOW
dry battery,1,1,mon,0,None,0,0,-,ooc,False,OOWN
out - Herod,1,1,mon,0,None,0,0,-,ooc,False,OOWN
helpful,1,1,mon,1,1.0,1,0,-,True,False,1.0000000000000013
high - octane,1,1,mon,0,None,0,0,-,ooc,False,OOWN
lay over,1,1,mon,0,None,0,0,-,ooc,False,OOWN
majorette,1,1,mon,2,0.5217391304347826,1,0,conc,ooc,False,OOWN
knockers,1,1,mon,5,0.2222222222222222,0,0,conc,ooc,False,0.06790182571840067
slimy,1,2,poly,2,None,1,0,-,False,False,0.14547861971325698
beguile,1,3,poly,2,0.18181818181818182,1,0,-,ooc,False,OOV/OOW
suppliant,1,1,mon,2,None,0,0,conc,ooc,False,OOV/OOW
conformist,1,1,mon,3,None,1,0,conc,ooc,False,OOWN
rapier,1,2,poly,1,1.0,0,0,conc,ooc,False,1.0000000000000027
aide,1,1,mon,2,0.5454545454545454,1,0,conc,ooc,False,OOV/OOW
sculptor,1,1,mon,2,0.47058823529411764,1,0,conc-n,False,False,OOV/OOW
dig up,1,2,poly,0,None,0,0,-,ooc,False,OOWN
leitmotive,1,2,poly,0,None,0,0,-,ooc,False,OOWN
haberdasher,1,2,poly,1,1.0,0,0,conc,ooc,False,0.6048987080511572
sung,1,1,mon,6,0.16666666666666666,0,0,abs,ooc,False,OOV/OOW
flame - thrower,1,1,mon,0,None,0,0,-,ooc,False,OOWN
large - minded,1,1,mon,0,None,0,0,-,ooc,False,OOWN
condiment,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000009
confessional,1,2,poly,1,1.0,0,0,conc,ooc,False,1.000000000000001
short circuit,1,1,mon,0,None,0,0,-,ooc,False,OOWN
grid,1,7,poly,5,0.1111111111111111,3,11,abs-conc,ooc,False,OOV/OOW
well - founded,1,1,mon,0,None,0,0,-,ooc,False,OOWN
Emmentaler,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW
hank,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000007
prime meridian,1,1,mon,0,None,0,0,-,ooc,False,OOWN
audition,2,4,homonyms_only_different_pos,3,0.3333333333333333,2,0,abs,ooc,False,OOV/OOW
collapse,2,8,homonyms_only_different_pos,11,0.16666666666666666,4,7,abs,True,False,OOV/OOW
touchdown,1,2,poly,2,0.6,2,0,abs,ooc,False,OOWN
axeman,0,0,oov,0,None,0,0,-,False,False,OOWN
luckily,0,0,oov,1,1.0,0,0,-,False,False,0.5703992046159643
black lead,1,1,mon,0,None,0,0,-,ooc,False,OOWN
deep - laid,1,1,mon,0,None,0,0,-,ooc,False,OOWN
boll weevil,1,1,mon,0,None,0,0,-,ooc,False,OOWN
reviewer,1,1,mon,2,0.5454545454545454,1,0,conc,False,False,OOWN
colours,1,10,poly,16,0.1,0,0,abs-conc,ooc,False,OOV/OOW
skimmed milk,1,1,mon,0,None,0,0,-,ooc,False,OOWN
tangible assets,1,1,mon,0,None,0,0,-,ooc,False,OOWN
anglia,0,0,oov,1,1.0,0,0,n,False,False,OOV/OOW
suicidal,1,3,poly,1,1.0,0,0,-,ooc,False,1.0000000000000013
settled,1,4,poly,26,0.2,0,0,-,ooc,False,0.08530310629430175
set up as,1,2,poly,0,None,0,0,-,ooc,False,OOWN
two-bedroom,0,0,oov,0,None,0,0,-,False,False,OOWN
dilapidations,1,1,mon,2,0.13333333333333333,0,0,abs-conc,ooc,False,OOV/OOW
Donald Trump,0,0,oov,0,None,0,0,-,ooc,True,OOWN
palisade,2,3,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,OOWN
lie with,1,1,mon,0,None,0,0,-,ooc,False,OOWN
window,1,1,mon,8,0.125,4,6,abs-conc,False,False,OOWN
meantime,1,1,mon,2,None,0,0,abs,False,False,OOV/OOW
insomniac,1,1,mon,2,None,0,0,conc,ooc,False,OOV/OOW
Noel,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW
private eye,1,1,mon,0,None,0,0,-,ooc,False,OOWN
langport,0,0,oov,0,None,0,0,-,False,False,OOWN
scott,0,0,oov,5,0.4444444444444444,0,0,n,False,False,OOV/OOW
information,1,1,mon,5,0.26666666666666666,2,5,abs,False,False,0.5123263132854322
rod,1,8,poly,6,0.1,4,6,abs-conc,False,False,0.09984057109618856
fungoid,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW
tarot,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000002
well - knit,1,1,mon,0,None,0,0,-,ooc,False,OOWN
short of,1,2,poly,0,None,0,0,-,ooc,False,OOWN
cultivated,1,2,poly,7,0.2222222222222222,1,0,-,ooc,False,0.16880154620761728
airdrop,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000007
outspoken,1,1,mon,2,None,1,0,-,ooc,False,OOV/OOW
hen,1,2,poly,4,0.16666666666666666,2,0,conc,False,False,OOWN
integrated,1,1,mon,8,0.2,2,0,-,ooc,False,0.2174301948587682
Burma,0,0,oov,1,1.0,0,0,n,ooc,True,OOV/OOW
concordance,1,2,poly,3,0.23529411764705882,2,0,abs,ooc,False,OOWN
insane,1,1,mon,2,None,1,0,-,ooc,False,OOV/OOW
southernmost,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000016
bobbin,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000009
skirt round,1,1,mon,0,None,0,0,-,ooc,False,OOWN
burnt,1,1,mon,18,0.18181818181818182,0,0,-,ooc,False,OOV/OOW
telephotograph,1,2,poly,2,0.8888888888888888,0,0,conc,ooc,False,OOV/OOW
volleyball,1,1,mon,2,0.1,1,0,abs-conc,ooc,False,OOV/OOW
gorse,1,1,mon,1,1.0,0,0,conc,ooc,False,0.6493661237906783
carbonic acid,1,1,mon,0,None,0,0,-,ooc,False,OOWN
crinoline,1,1,mon,3,0.5555555555555556,1,0,conc,ooc,False,OOV/OOW
devoid,1,1,mon,1,1.0,1,0,-,ooc,False,1.0000000000000027
drowsy,1,3,poly,2,None,1,0,-,ooc,False,0.11193512773602465
fabled,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000009
sainted,1,2,poly,3,0.36363636363636365,0,0,-,ooc,False,0.2980262275272787
8-3,0,0,oov,0,None,0,0,-,False,False,OOWN
sloth,1,2,poly,3,0.08333333333333333,2,0,abs-conc,ooc,False,OOV/OOW
grotto,1,2,poly,1,1.0,0,0,conc,ooc,False,0.5403187089202125
apposite,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW
fancy woman,1,1,mon,0,None,0,0,-,ooc,False,OOWN
spindle tree,1,1,mon,0,None,0,0,-,ooc,False,OOWN
gland,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000001
priority,1,3,poly,2,0.375,1,4,abs,False,False,OOV/OOW
bungle,2,2,homonyms_only_different_pos,3,0.3333333333333333,1,0,abs,ooc,False,0.11239164998289534
marital,1,1,mon,1,1.0,0,0,-,ooc,False,0.710563442522577
1773,0,0,oov,0,None,0,0,-,False,False,OOWN
unstrung,1,2,poly,2,None,0,0,-,ooc,False,OOV/OOW
succession,1,3,poly,5,0.14285714285714285,2,5,abs-conc,ooc,False,OOV/OOW
bencher,1,1,mon,0,None,0,0,-,ooc,False,OOWN
peg out,1,2,poly,0,None,0,0,-,ooc,False,OOWN
space probe,1,1,mon,0,None,0,0,-,ooc,False,OOWN
seize,1,4,poly,8,0.18181818181818182,4,6,-,False,False,OOV/OOW
wear down,1,2,poly,0,None,0,0,-,ooc,False,OOWN
torpor,1,1,mon,2,0.42857142857142855,1,0,abs,ooc,False,OOV/OOW
glaucoma,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000013
pressure,2,9,homonyms_only_different_pos,9,0.10526315789473684,3,4,abs-conc,True,False,0.151714951198193
branch out,1,1,mon,0,None,0,0,-,ooc,False,OOWN
wouldst,1,1,mon,0,None,0,0,-,ooc,False,OOWN
tract,2,3,homonyms_also_same_pos,4,0.11764705882352941,3,5,abs-conc,ooc,False,OOV/OOW
glockenspiel,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000007
auction-goer,0,0,oov,0,None,0,0,-,False,False,OOWN
pioneer,2,5,homonyms_only_different_pos,5,0.18181818181818182,2,1,conc,True,False,0.42630292213600346
Budapest,0,0,oov,1,1.0,0,0,n,ooc,True,OOV/OOW
gillian,0,0,oov,0,None,0,0,-,False,False,OOWN
leverage,1,3,poly,5,0.10526315789473684,2,9,abs-conc,ooc,False,OOWN
pine-tree,0,0,oov,0,None,0,0,-,False,False,OOWN
pyrotechnics,1,3,poly,3,0.21052631578947367,1,0,abs,ooc,False,0.3990599392707099
teaching machine,1,1,mon,0,None,0,0,-,ooc,False,OOWN
marijuana,1,1,mon,2,0.21052631578947367,1,0,conc,ooc,False,OOV/OOW
politico -,1,1,mon,0,None,0,0,-,ooc,False,OOWN
outtalk,1,1,mon,0,None,0,0,-,ooc,False,OOWN
disguise,2,4,homonyms_only_different_pos,4,0.11764705882352941,1,4,abs-conc,True,False,OOWN
set - to,1,1,mon,0,None,0,0,-,ooc,False,OOWN
rebuilt,0,0,oov,1,1.0,0,0,-,False,False,0.559267559106574
3.38,0,0,oov,0,None,0,0,-,False,False,OOWN
adorn,1,2,poly,3,0.2222222222222222,1,3,-,ooc,False,OOWN
tottery,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW
dorsal,1,1,mon,2,None,1,0,-,ooc,False,0.4248851819302416
short - winded,1,1,mon,0,None,0,0,-,ooc,False,OOWN
extremity,1,2,poly,5,0.125,2,0,abs-conc,ooc,False,OOWN
mbatian,0,0,oov,0,None,0,0,-,False,False,OOWN
arles,0,0,oov,1,1.0,0,0,abs,False,False,1.0000000000000016
technical,1,4,poly,7,0.1,2,0,abs-conc,True,False,OOV/OOW
metallurgy,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000007
Tanzania,0,0,oov,1,1.0,0,0,n,ooc,True,OOV/OOW
elevator,1,4,poly,2,0.7777777777777778,2,0,conc,ooc,False,OOWN
double-decker,0,0,oov,1,1.0,0,0,conc,False,False,OOV/OOW
pernicious anaemia,1,1,mon,0,None,0,0,-,ooc,False,OOWN
doss,1,1,mon,3,0.17391304347826086,0,0,abs,ooc,False,OOV/OOW
1946,0,0,oov,0,None,0,0,-,False,False,OOWN
barred,1,2,poly,6,0.11764705882352941,0,0,-,ooc,False,OOV/OOW
hoop - la,1,2,poly,0,None,0,0,-,ooc,False,OOWN
chase about,1,1,mon,0,None,0,0,-,ooc,False,OOWN
go - getter,1,1,mon,0,None,0,0,-,ooc,False,OOWN
underlay,1,1,mon,6,0.2222222222222222,1,3,conc,ooc,False,OOV/OOW
ensanguined,1,1,mon,0,None,0,0,-,ooc,False,OOWN
provocative,1,1,mon,2,None,1,0,-,False,False,OOWN
acknowledge,1,5,poly,6,0.125,3,5,-,True,False,OOWN
homoeopathy,1,1,mon,1,1.0,0,0,abs,ooc,False,0.6979457356462624
Western Samoa,0,0,oov,0,None,0,0,-,ooc,True,OOWN
sketchily,0,0,oov,1,1.0,0,0,-,False,False,OOV/OOW
tombola,1,1,mon,1,1.0,0,0,abs,ooc,False,0.9999999999999999
zoo,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000007
Welsh,1,1,mon,5,0.07407407407407407,3,0,abs-conc,ooc,False,OOV/OOW
overrate,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW
tearaway,1,1,mon,2,None,0,0,conc,ooc,False,OOV/OOW
bloodhound,1,1,mon,1,0.7647058823529411,0,0,conc,ooc,False,1.0000000000000009
TURKEY,0,0,oov,5,0.09523809523809523,0,0,abs-conc-n,ooc,True,OOV/OOW
sew up,1,2,poly,0,None,0,0,-,ooc,False,OOWN
WHO,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW
carrier pigeon,1,1,mon,0,None,0,0,-,ooc,False,OOWN
recommend to,1,1,mon,0,None,0,0,-,ooc,False,OOWN
premiere,2,2,homonyms_only_different_pos,4,0.4,1,1,abs,ooc,False,OOWN
oilman,1,1,mon,2,0.5714285714285714,1,0,conc,ooc,False,OOWN
electrolysis,1,2,poly,2,0.1,2,0,abs-conc,ooc,False,OOWN
unseemly,1,1,mon,1,1.0,0,0,-,ooc,False,0.6291424681494318
live out,1,2,poly,0,None,0,0,-,ooc,False,OOWN
blank cartridge,1,1,mon,0,None,0,0,-,ooc,False,OOWN
chattel,1,2,poly,1,1.0,0,0,abs,ooc,False,1.000000000000001
middle finger,1,1,mon,0,None,0,0,-,ooc,False,OOWN
planner,1,1,mon,2,0.36363636363636365,1,0,conc,ooc,False,OOV/OOW
kalends,1,1,mon,0,None,0,0,-,ooc,False,OOWN
putsch,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000024
poss,0,0,oov,4,0.1,0,0,abs-conc-n,False,False,0.0711838248758296
surgical spirit,1,1,mon,0,None,0,0,-,ooc,False,OOWN
burn down,1,2,poly,0,None,0,0,-,ooc,False,OOWN
