word,n_entries,n_senses_total,polysemy_type,n_synsets,min_wup_sim,n_navigli_clusters,n_onto_senses_n_v,wn-abs-conc,mipvu,metonymy_entities
tutelage,1,2,poly,2,0.631578947368421,1,0,abs,ooc,False
phial,1,2,poly,1,1.0,0,0,conc,ooc,False
patty,1,2,poly,3,0.3157894736842105,2,0,conc,False,False
FAROES,0,0,oov,2,0.42857142857142855,0,0,n,ooc,True
jackass,1,2,poly,2,0.46153846153846156,1,0,conc,ooc,False
bedpost,1,2,poly,1,1.0,0,0,conc,ooc,False
arms,1,7,poly,10,0.1,2,0,abs-conc,ooc,False
divot,1,1,mon,2,0.42857142857142855,1,0,conc,ooc,False
endowment,1,3,poly,3,0.25,2,0,abs,False,False
tokyo,0,0,oov,1,1.0,0,0,n,False,False
convalescent,1,1,mon,2,None,1,0,conc,ooc,False
o'clock,1,1,mon,1,1.0,0,0,-,False,False
subvention,1,1,mon,3,0.21052631578947367,1,0,abs,ooc,False
committal,1,1,mon,2,0.6,1,0,abs,ooc,False
sotto voce,1,1,mon,0,None,0,0,-,ooc,False
Sebastian Vettel,0,0,oov,0,None,0,0,-,ooc,True
doctor,2,10,homonyms_only_different_pos,7,0.1111111111111111,4,4,abs-conc,False,False
tablecloth,1,1,mon,1,1.0,0,0,conc,ooc,False
calves,1,1,mon,6,0.2,0,0,abs-conc,ooc,False
joyous,1,1,mon,1,1.0,0,0,-,False,False
bring under,2,2,homonyms_only_different_pos,0,None,0,0,-,ooc,False
phonetics,1,2,poly,1,1.0,0,0,abs,ooc,False
uni,0,0,oov,0,None,0,0,-,False,False
accessible,1,2,poly,4,None,2,0,-,True,False
umpteen,2,2,homonyms_only_different_pos,1,1.0,0,0,-,ooc,False
immigrant,1,1,mon,1,1.0,0,0,conc,False,False
afterthought,1,2,poly,2,0.125,1,0,abs-conc,ooc,False
flying fish,1,1,mon,0,None,0,0,-,ooc,False
dunmow,0,0,oov,0,None,0,0,-,False,False
schizophrenia,1,1,mon,1,1.0,0,1,abs,ooc,False
temporarily,0,0,oov,1,1.0,0,0,-,False,False
- footed,1,2,poly,0,None,0,0,-,ooc,False
House of Lords,1,1,mon,0,None,0,0,-,ooc,False
quod,1,1,mon,0,None,0,0,-,ooc,False
ABC,1,2,poly,1,1.0,0,0,abs,ooc,False
grassy,1,1,mon,1,1.0,0,0,-,False,False
weighbridge,1,1,mon,1,1.0,0,0,conc,ooc,False
gnat-ridden,0,0,oov,0,None,0,0,-,False,False
ravioli,1,1,mon,1,1.0,0,0,conc,ooc,False
intonation,1,1,mon,4,0.23529411764705882,2,0,abs,ooc,False
catalogue,2,3,homonyms_only_different_pos,4,0.10526315789473684,2,0,abs-conc,False,False
- dom,1,4,poly,0,None,0,0,-,ooc,False
paul,0,0,oov,2,0.5714285714285714,0,0,n,False,False
cold frame,1,1,mon,0,None,0,0,-,ooc,False
traction,1,3,poly,2,0.1111111111111111,2,0,abs-conc,ooc,False
russian,0,0,oov,3,0.13333333333333333,0,0,abs-conc,False,False
fool's paradise,1,1,mon,0,None,0,0,-,ooc,False
belch,2,4,homonyms_only_different_pos,3,0.2222222222222222,2,0,abs,ooc,False
field event,1,1,mon,0,None,0,0,-,ooc,False
noes,1,1,mon,2,0.25,0,0,abs,ooc,False
edgware,0,0,oov,0,None,0,0,-,False,False
put across,2,3,homonyms_only_different_pos,0,None,0,0,-,ooc,False
Movement for a Democratic Slovakia,0,0,oov,0,None,0,0,-,ooc,True
consultancy,1,1,mon,1,1.0,0,0,abs,ooc,False
pesky,1,1,mon,1,1.0,0,0,-,ooc,False
synchronize,1,3,poly,6,0.16666666666666666,1,4,-,ooc,False
slay,1,1,mon,1,1.0,0,0,-,ooc,False
youngster,1,1,mon,1,1.0,0,0,conc,False,False
inopportune,1,2,poly,1,1.0,0,0,-,ooc,False
self,1,4,poly,3,0.14285714285714285,1,0,abs-conc,True,False
asst,1,1,mon,0,None,0,0,-,ooc,False
offensively,0,0,oov,3,None,0,0,-,False,False
stipend,1,1,mon,1,1.0,0,0,abs,ooc,False
take off,1,5,poly,0,None,0,0,-,ooc,False
scorecard,1,1,mon,1,1.0,0,0,abs,ooc,False
resin,1,2,poly,1,1.0,0,0,abs,ooc,False
£44,0,0,oov,0,None,0,0,-,False,False
crackleware,1,1,mon,1,1.0,0,0,conc,ooc,False
logger,1,1,mon,1,1.0,0,0,conc,ooc,False
firelighter,1,1,mon,1,1.0,0,0,conc,ooc,False
newlywed,1,1,mon,1,1.0,0,0,conc,ooc,False
patent,3,9,homonyms_only_different_pos,7,0.16666666666666666,4,5,abs,False,False
thomas,0,0,oov,5,0.5217391304347826,0,0,n,False,False
october,0,0,oov,1,1.0,0,1,abs,False,False
SEN,1,1,mon,1,1.0,0,0,abs,ooc,False
SPAIN,0,0,oov,1,1.0,0,0,n,ooc,True
mancini,0,0,oov,0,None,0,0,-,False,False
- ese,1,2,poly,0,None,0,0,-,ooc,False
sandblast,1,1,mon,2,None,0,0,conc,ooc,False
supermarket,1,1,mon,1,1.0,0,0,conc,ooc,False
adhesion,1,3,poly,4,0.1,2,0,abs-conc,ooc,False
cartilage,1,1,mon,1,1.0,0,0,conc,ooc,False
throw over,1,1,mon,0,None,0,0,-,ooc,False
windowsill,1,1,mon,1,1.0,0,0,conc,ooc,False
killer whale,1,1,mon,0,None,0,0,-,ooc,False
purvey for,1,1,mon,0,None,0,0,-,ooc,False
pignut,1,1,mon,1,1.0,0,0,conc,ooc,False
scorbutic,1,1,mon,1,1.0,0,0,-,ooc,False
mineralogy,1,1,mon,1,1.0,0,0,abs,ooc,False
amoebic,1,1,mon,1,1.0,0,0,-,ooc,False
wisecrack,1,1,mon,2,None,0,0,abs,ooc,False
treble clef,1,1,mon,0,None,0,0,-,ooc,False
Wensleydale,1,2,poly,0,None,0,0,-,ooc,False
unemployed,1,2,poly,2,None,0,0,abs,ooc,False
suppressor,1,2,poly,3,0.1111111111111111,0,0,abs-conc,ooc,False
clue up,1,1,mon,0,None,0,0,-,ooc,False
rousing,1,2,poly,7,0.2857142857142857,2,0,abs,ooc,False
countermeasure,1,1,mon,1,1.0,0,0,abs,ooc,False
singularly,1,2,poly,1,1.0,0,0,-,ooc,False
run-up,0,0,oov,2,0.4444444444444444,2,0,abs,True,False
outflow,1,1,mon,3,0.125,1,0,abs-conc,ooc,False
getting on for,0,0,oov,0,None,0,0,-,False,False
Ryder Cup,0,0,oov,0,None,0,0,-,ooc,True
hailstone,1,1,mon,1,1.0,0,0,conc,ooc,False
king's evidence,1,1,mon,0,None,0,0,-,ooc,False
mollycoddle,2,2,homonyms_only_different_pos,2,None,0,0,conc,ooc,False
tut,1,1,mon,1,1.0,0,0,-,ooc,False
pistil,1,1,mon,1,1.0,0,0,conc,ooc,False
Latvians,0,0,oov,2,0.125,0,0,abs-conc,ooc,True
prompt,4,8,homonyms_only_different_pos,8,0.2,3,8,abs,True,False
soup,1,3,poly,4,0.13333333333333333,2,0,abs-conc,ooc,False
citrus,2,2,homonyms_only_different_pos,2,0.3333333333333333,1,0,conc,False,False
glimmerings,1,1,mon,2,None,0,0,abs,ooc,False
part-time,0,0,oov,2,None,0,0,-,False,False
give over,1,3,poly,0,None,0,0,-,ooc,False
demagogic,1,1,mon,1,1.0,0,0,-,ooc,False
driblet,1,2,poly,1,1.0,0,0,abs,ooc,False
doze,1,1,mon,2,None,0,0,conc,ooc,False
pint-sized,0,0,oov,1,1.0,0,0,-,True,False
moe,0,0,oov,0,None,0,0,-,False,False
draper,1,1,mon,1,1.0,0,0,conc,ooc,False
method,1,3,poly,2,0.47058823529411764,1,1,abs,False,False
wrongheaded,1,2,poly,1,1.0,0,0,-,ooc,False
archdeacon,1,1,mon,1,1.0,0,0,conc,ooc,False
floe,1,1,mon,1,1.0,0,0,conc,ooc,False
funeral,1,4,poly,1,1.0,0,0,abs,False,False
Madonna,1,2,poly,2,0.5454545454545454,2,0,n,ooc,False
motivation,1,1,mon,3,0.3333333333333333,1,4,abs,ooc,False
diacritic,1,1,mon,2,None,0,0,abs,ooc,False
husband,2,3,homonyms_only_different_pos,2,None,0,0,conc,False,False
hindrance,1,2,poly,3,0.13333333333333333,1,4,abs-conc,ooc,False
prosecutor,1,1,mon,1,1.0,0,0,conc,ooc,False
wineskin,1,1,mon,1,1.0,0,0,conc,ooc,False
Michael Grove,0,0,oov,0,None,0,0,-,ooc,True
aconite,1,2,poly,1,1.0,0,0,conc,ooc,False
bobtail,1,1,mon,3,0.2,1,0,conc,ooc,False
epic,2,2,homonyms_only_different_pos,3,None,1,0,abs,True,False
inflationary spiral,1,1,mon,0,None,0,0,-,ooc,False
cetinje,0,0,oov,0,None,0,0,-,False,False
miserable,1,3,poly,6,None,2,0,-,True,False
rhubarb,1,2,poly,2,0.2222222222222222,1,0,conc,ooc,False
mess with,1,1,mon,0,None,0,0,-,ooc,False
far - gone,1,1,mon,0,None,0,0,-,ooc,False
diplomatic,1,3,poly,2,None,1,0,-,ooc,False
roman,1,1,mon,7,0.10526315789473684,1,0,abs-conc,False,False
baby tooth,1,1,mon,0,None,0,0,-,ooc,False
bide,1,1,mon,1,1.0,0,0,-,ooc,False
amenable,1,3,poly,4,None,1,0,-,ooc,False
immanence,1,1,mon,1,1.0,0,0,abs,ooc,False
diatom,1,1,mon,1,0.9,0,0,conc,ooc,False
embroider,1,3,poly,2,0.16666666666666666,2,0,-,ooc,False
sprawl,2,4,homonyms_only_different_pos,4,0.13333333333333333,2,0,abs-conc,True,False
Pernod,1,1,mon,1,1.0,0,0,abs,ooc,False
milk,2,10,homonyms_only_different_pos,7,0.2,2,4,abs-conc-n,False,False
sneeze,2,3,homonyms_only_different_pos,2,None,0,0,abs,ooc,False
z,0,0,oov,2,0.25,0,0,abs,False,False
carbonation,1,1,mon,1,1.0,0,0,conc,ooc,False
isolation,1,1,mon,5,0.26666666666666666,1,0,abs,True,False
accost,1,2,poly,2,0.2,1,0,-,ooc,False
reincarnate,2,2,homonyms_only_different_pos,3,0.18181818181818182,1,0,-,ooc,False
travels,1,1,mon,9,0.3333333333333333,0,0,abs,ooc,False
drinker,1,2,poly,2,0.9,1,0,conc,False,False
coppice,1,1,mon,1,1.0,0,0,abs,ooc,False
in relation to,0,0,oov,0,None,0,0,-,False,False
trivialize,1,1,mon,1,1.0,0,0,-,ooc,False
accustom,1,1,mon,1,1.0,0,0,-,ooc,False
mammy,1,2,poly,2,0.48,1,0,conc,ooc,False
belief,1,4,poly,2,0.7692307692307693,2,1,abs,False,False
cackle,2,6,homonyms_only_different_pos,6,0.2,2,0,abs,True,False
chaps,1,1,mon,5,0.1111111111111111,0,0,abs-conc,ooc,False
mulberry,1,2,poly,2,0.32,1,0,conc,ooc,False
plaster,2,8,homonyms_only_different_pos,11,0.21052631578947367,4,4,abs-conc,False,False
sleep in,1,2,poly,0,None,0,0,-,ooc,False
English setter,1,1,mon,0,None,0,0,-,ooc,False
sputter,2,3,homonyms_only_different_pos,7,0.2222222222222222,3,5,abs,ooc,False
cheeky,1,1,mon,1,1.0,0,0,-,ooc,False
consume,1,4,poly,6,0.16666666666666666,1,5,-,True,False
radio -,1,2,poly,0,None,0,0,-,ooc,False
achoo,1,1,mon,0,None,0,0,-,ooc,False
redcurrant,1,2,poly,0,None,0,0,-,ooc,False
adjutant,1,2,poly,2,0.46153846153846156,2,0,conc,ooc,False
chromium,1,1,mon,1,1.0,0,0,abs,ooc,False
astronomical,1,2,poly,2,None,2,0,-,True,False
cloven,1,1,mon,4,0.25,0,0,-,ooc,False
effulgence,1,1,mon,1,1.0,0,0,abs,ooc,False
pres .,1,2,poly,0,None,0,0,-,ooc,False
hutchison,0,0,oov,0,None,0,0,-,False,False
prowler,1,2,poly,1,1.0,0,0,conc,ooc,False
horned,1,2,poly,2,None,0,0,-,ooc,False
shutdown,1,1,mon,1,1.0,0,0,abs,ooc,False
dishearten,1,1,mon,1,1.0,0,0,-,False,False
manufacturer,1,1,mon,2,0.13333333333333333,0,3,abs-conc,False,False
living room,1,1,mon,0,None,0,0,-,ooc,False
capricious,1,1,mon,2,None,1,0,-,ooc,False
stab,2,6,homonyms_only_different_pos,6,0.18181818181818182,3,4,abs,ooc,False
word for word,1,2,poly,0,None,0,0,-,ooc,False
otherworldly,1,1,mon,1,1.0,0,0,-,ooc,False
tall story,1,1,mon,0,None,0,0,-,ooc,False
Resurrection,1,1,mon,2,0.5,1,0,abs-n,ooc,False
biscuit,1,5,poly,2,0.7058823529411765,1,0,conc,False,False
- ic,1,1,mon,0,None,0,0,-,ooc,False
milk loaf,1,1,mon,0,None,0,0,-,ooc,False
malfunction,1,1,mon,2,None,0,1,abs,ooc,False
abhor,1,1,mon,1,1.0,0,0,-,ooc,False
intestinal,1,1,mon,1,1.0,0,0,-,ooc,False
floating debt,1,1,mon,0,None,0,0,-,ooc,False
swat,2,3,homonyms_only_different_pos,2,None,0,0,abs,ooc,False
theatricals,1,1,mon,1,1.0,0,0,abs,ooc,False
knothole,1,1,mon,1,1.0,0,0,abs,ooc,False
phoneme,1,1,mon,1,1.0,0,0,abs,ooc,False
Dail Eireann,1,1,mon,0,None,0,0,-,ooc,False
professional,2,10,homonyms_only_different_pos,8,0.6,3,0,conc,False,False
72,0,0,oov,1,1.0,0,0,-,False,False
leaky,1,1,mon,3,None,1,0,-,ooc,False
motorize,1,1,mon,3,0.8,2,3,-,ooc,False
salve,2,2,homonyms_only_different_pos,4,0.1,3,0,abs-conc,ooc,False
sonority,1,1,mon,1,1.0,0,0,abs,ooc,False
century,1,4,poly,2,0.42857142857142855,2,0,abs,False,False
virgule,1,1,mon,1,1.0,0,0,abs,ooc,False
snub,3,3,homonyms_only_different_pos,5,0.18181818181818182,2,0,abs,False,False
oilcloth,1,2,poly,1,1.0,0,0,conc,ooc,False
dedham,0,0,oov,0,None,0,0,-,False,False
most,3,10,homonyms_only_different_pos,5,None,3,0,-,False,False
fallin',0,0,oov,0,None,0,0,-,True,False
verdigris,1,1,mon,3,0.23529411764705882,1,0,abs-conc,ooc,False
spring onion,1,1,mon,0,None,0,0,-,ooc,False
come apart,1,1,mon,0,None,0,0,-,ooc,False
pentagram,1,1,mon,1,1.0,0,0,abs,ooc,False
shindig,1,2,poly,1,1.0,0,0,abs,ooc,False
wondrous,2,2,homonyms_only_different_pos,2,None,0,0,-,ooc,False
friends,1,3,poly,5,0.6,0,0,conc,ooc,False
unvarnished,1,1,mon,2,None,2,0,-,ooc,False
announcer,1,1,mon,2,0.631578947368421,1,0,conc,ooc,False
bedpan,1,1,mon,1,1.0,0,0,conc,ooc,False
mode,2,6,homonyms_also_same_pos,6,0.21052631578947367,3,0,abs,False,False
celebrant,1,1,mon,2,0.6,1,0,abs-conc,ooc,False
rack,4,10,homonyms_also_same_pos,18,0.08695652173913043,9,8,abs-conc,False,False
draft,2,7,homonyms_only_different_pos,14,0.1,3,3,abs-conc,False,False
50,0,0,oov,2,None,0,0,abs,False,False
recuperate,1,1,mon,4,0.18181818181818182,2,0,-,ooc,False
veranda,1,1,mon,1,1.0,0,0,conc,ooc,False
huffy,1,2,poly,2,None,1,0,-,ooc,False
Black Panther,1,1,mon,0,None,0,0,-,ooc,False
high - rise,1,2,poly,0,None,0,0,-,ooc,False
West End,1,1,mon,0,None,0,0,-,ooc,False
disgraceful,1,1,mon,2,None,1,0,-,False,False
crossroads,1,2,poly,4,0.11764705882352941,2,0,abs-conc,ooc,False
morphemics,1,1,mon,0,None,0,0,-,ooc,False
salable,1,1,mon,1,1.0,0,0,-,ooc,False
homely,1,2,poly,4,None,2,0,-,False,False
political,1,5,poly,3,None,2,0,-,False,False
exchange,2,7,homonyms_only_different_pos,17,0.10526315789473684,6,11,abs-conc,True,False
trophy,1,2,poly,2,0.8571428571428571,1,0,abs,False,False
3.21,0,0,oov,0,None,0,0,-,False,False
instalment,1,2,poly,3,0.2222222222222222,2,0,abs,ooc,False
millibar,1,1,mon,1,1.0,0,0,abs,ooc,False
sixty - four,1,2,poly,0,None,0,0,-,ooc,False
jack - of - all - trades,1,1,mon,0,None,0,0,-,ooc,False
crack,3,27,homonyms_only_different_pos,24,0.10526315789473684,10,24,abs-conc,True,False
demon,1,3,poly,3,0.11764705882352941,1,0,abs-conc,ooc,False
forlornly,0,0,oov,1,1.0,0,0,-,False,False
- ise,1,1,mon,0,None,0,0,-,ooc,False
pickpocket,1,1,mon,1,1.0,0,0,conc,ooc,False
anti-institution,0,0,oov,0,None,0,0,-,False,False
solution,1,3,poly,5,0.23529411764705882,2,5,abs,False,False
stipple,1,1,mon,4,0.16666666666666666,1,4,-,ooc,False
scarlet woman,1,1,mon,0,None,0,0,-,ooc,False
toothbrush,1,1,mon,2,0.42105263157894735,1,0,conc,False,False
ealing,0,0,oov,0,None,0,0,-,False,False
get around to,1,1,mon,0,None,0,0,-,ooc,False
Talmud,1,1,mon,1,1.0,0,0,n,ooc,False
petty officer,1,1,mon,0,None,0,0,-,ooc,False
liter,1,1,mon,1,1.0,0,0,abs,ooc,False
verge,1,2,poly,5,0.10526315789473684,2,0,abs-conc,True,False
priest's hole,1,1,mon,0,None,0,0,-,ooc,False
beachhead,1,1,mon,2,0.11764705882352941,1,0,abs-conc,ooc,False
ownership,1,1,mon,3,0.3076923076923077,1,1,abs,ooc,False
corner,3,18,homonyms_only_different_pos,14,0.1111111111111111,4,4,abs-conc,True,False
dirndl,1,1,mon,2,0.6956521739130435,2,0,conc,ooc,False
implementation,0,0,oov,2,0.6666666666666666,1,1,abs,False,False
back onto,1,1,mon,0,None,0,0,-,ooc,False
laid,1,1,mon,6,0.18181818181818182,0,0,-,ooc,False
front line,1,2,poly,0,None,0,0,-,ooc,False
container ship,1,1,mon,0,None,0,0,-,ooc,False
anglicism,1,1,mon,2,0.26666666666666666,0,0,abs,ooc,False
flower power,1,1,mon,0,None,0,0,-,ooc,False
plurality,1,3,poly,3,0.36363636363636365,2,0,abs,ooc,False
inelastic,1,2,poly,1,1.0,0,0,-,ooc,False
fed up,1,1,mon,0,None,0,0,-,False,False
Teleprompter,1,1,mon,1,1.0,0,0,conc,ooc,False
crocus,1,1,mon,1,1.0,0,0,conc,ooc,False
rabble - rouser,1,1,mon,0,None,0,0,-,ooc,False
cowardice,1,1,mon,1,1.0,0,0,abs,ooc,False
err,1,2,poly,2,0.4,1,3,-,ooc,False
ritualise,0,0,oov,1,1.0,0,0,-,True,False
stunned,0,0,oov,6,0.18181818181818182,0,0,-,True,False
full board,1,1,mon,0,None,0,0,-,ooc,False
stepping - stone,1,2,poly,0,None,0,0,-,ooc,False
call box,1,1,mon,0,None,0,0,-,ooc,False
league,3,7,homonyms_also_same_pos,4,0.25,3,0,abs,False,False
50-90,0,0,oov,0,None,0,0,-,False,False
tripe,1,2,poly,2,0.14285714285714285,2,0,abs-conc,ooc,False
morgan,0,0,oov,6,0.375,0,0,conc-n,False,False
protector,1,3,poly,1,1.0,0,0,conc,ooc,False
dressage,1,1,mon,1,1.0,0,0,abs,ooc,False
elk,1,2,poly,3,0.9375,0,0,conc,ooc,False
jack tar,1,1,mon,0,None,0,0,-,ooc,False
rider,1,3,poly,4,0.14285714285714285,2,0,abs-conc,True,False
solid - state,1,1,mon,0,None,0,0,-,ooc,False
linen,1,4,poly,3,0.25,1,0,abs-conc,ooc,False
no ball,1,1,mon,0,None,0,0,-,ooc,False
farming,1,1,mon,6,0.2857142857142857,1,1,abs,False,False
beckon,1,1,mon,3,0.1111111111111111,1,3,-,ooc,False
monstrosity,1,2,poly,2,0.125,1,0,abs-conc,False,False
lass,1,2,poly,1,1.0,0,0,conc,ooc,False
lilliputian,1,1,mon,5,0.125,3,0,conc-n,ooc,False
anxiety,1,4,poly,2,0.5714285714285714,1,5,abs,True,False
Russian Federation,0,0,oov,0,None,0,0,-,ooc,True
depth,1,3,poly,6,0.11764705882352941,3,0,abs-conc,True,False
scratch,3,20,homonyms_only_different_pos,17,0.10526315789473684,3,6,abs-conc,ooc,False
copra,1,1,mon,1,1.0,0,0,conc,ooc,False
moon away,1,1,mon,0,None,0,0,-,ooc,False
bloated,1,2,poly,2,0.14285714285714285,0,0,-,ooc,False
introduce into,1,1,mon,0,None,0,0,-,ooc,False
Federal Republic of Germany,0,0,oov,0,None,0,0,-,ooc,True
self - confidence,1,1,mon,0,None,0,0,-,ooc,False
moot,1,1,mon,4,None,1,0,abs,ooc,False
egg whisk,1,1,mon,0,None,0,0,-,ooc,False
mystical,1,2,poly,3,None,1,0,-,ooc,False
fence off,1,1,mon,0,None,0,0,-,ooc,False
blood,2,15,homonyms_only_different_pos,6,0.14285714285714285,3,0,abs-conc,True,False
World Trade Organisation,0,0,oov,0,None,0,0,-,ooc,True
rattle,2,7,homonyms_only_different_pos,5,0.125,2,5,abs-conc,True,False
dispersal,1,1,mon,1,1.0,0,0,abs,ooc,False
Pierrot,1,2,poly,1,1.0,0,0,n,ooc,False
indistinct,1,1,mon,1,1.0,0,0,-,ooc,False
footslog,1,1,mon,1,1.0,0,0,-,ooc,False
quota,1,1,mon,3,0.18181818181818182,1,4,abs,False,False
untruth,1,1,mon,1,1.0,0,0,abs,ooc,False
simple machine,1,1,mon,0,None,0,0,-,ooc,False
quarterdeck,1,1,mon,1,1.0,0,0,conc,ooc,False
sacrificial,1,1,mon,1,1.0,0,0,-,False,False
fade away,1,1,mon,0,None,0,0,-,ooc,False
knives,1,1,mon,3,0.1,0,0,abs-conc,ooc,False
watermark,1,2,poly,2,0.15384615384615385,1,0,abs-conc,ooc,False
balderdash,1,1,mon,1,1.0,0,0,abs,ooc,False
enrapture,1,1,mon,1,1.0,0,0,-,ooc,False
manly,1,1,mon,3,None,1,0,-,ooc,False
blackpool,0,0,oov,1,1.0,0,0,n,False,False
wept,1,1,mon,1,1.0,0,0,-,ooc,False
right-winger,0,0,oov,1,1.0,0,0,conc,True,False
garnet,1,2,poly,1,1.0,0,0,abs,ooc,False
keep on at,1,1,mon,0,None,0,0,-,ooc,False
spent,1,2,poly,5,0.2222222222222222,1,0,-,ooc,False
lansdowne,0,0,oov,0,None,0,0,-,False,False
frustrated,0,0,oov,3,0.25,0,0,-,False,False
fall,2,25,homonyms_only_different_pos,44,0.125,21,26,abs-conc-n,True,False
festival,1,3,poly,2,0.26666666666666666,2,0,abs,ooc,False
timbrel,1,1,mon,1,1.0,0,0,conc,ooc,False
privet,1,1,mon,1,1.0,0,0,conc,ooc,False
intersperse,1,1,mon,2,0.5714285714285714,1,0,-,True,False
cast on,1,1,mon,0,None,0,0,-,ooc,False
dairyman,1,2,poly,2,0.5,1,0,conc,ooc,False
outlay,2,2,homonyms_only_different_pos,2,0.26666666666666666,1,3,abs,ooc,False
footwork,1,1,mon,2,0.5714285714285714,1,0,abs,ooc,False
in vain,0,0,oov,0,None,0,0,-,False,False
electric,1,5,poly,4,None,1,0,conc,True,False
encyclopedic,1,1,mon,1,1.0,0,0,-,ooc,False
pers .,1,1,mon,0,None,0,0,-,ooc,False
C . O .,1,1,mon,0,None,0,0,-,ooc,False
factitious,1,2,poly,1,1.0,0,0,-,ooc,False
dragoon,1,1,mon,3,0.2,1,0,conc,ooc,False
rufus,0,0,oov,0,None,0,0,-,False,False
underground,3,6,homonyms_only_different_pos,6,0.5,4,0,abs,True,False
Howard Stern,0,0,oov,0,None,0,0,-,ooc,True
dressing,1,4,poly,23,0.09090909090909091,3,0,abs-conc,False,False
opponent,1,1,mon,3,0.7058823529411765,1,4,conc,False,False
civet cat,1,1,mon,0,None,0,0,-,ooc,False
upper hand,1,1,mon,0,None,0,0,-,ooc,False
holocaust,1,1,mon,2,0.782608695652174,1,0,abs-n,ooc,False
stars,1,4,poly,11,0.1111111111111111,0,0,abs-conc,ooc,False
black hole,1,2,poly,0,None,0,0,-,ooc,False
volitional,1,1,mon,1,1.0,0,0,-,ooc,False
audacity,1,3,poly,2,0.4444444444444444,2,0,abs,ooc,False
admittance,1,1,mon,2,0.3157894736842105,1,0,abs,ooc,False
desperation,1,2,poly,2,0.46153846153846156,1,0,abs,ooc,False
slightly,1,2,poly,2,None,2,0,-,False,False
introspection,1,1,mon,1,1.0,0,0,abs,ooc,False
roll bar,1,1,mon,0,None,0,0,-,ooc,False
Renaissance,1,1,mon,2,0.2222222222222222,0,0,abs-n,ooc,False
foul - mouthed,1,1,mon,0,None,0,0,-,ooc,False
ganger,1,1,mon,1,1.0,0,0,conc,ooc,False
compositor,1,1,mon,1,1.0,0,0,conc,ooc,False
apologize,1,1,mon,2,0.2222222222222222,1,3,-,False,False
centipede,1,1,mon,1,1.0,0,0,conc,ooc,False
methylated spirits,1,1,mon,0,None,0,0,-,ooc,False
yell,2,4,homonyms_only_different_pos,4,0.2,2,5,abs,ooc,False
coverage,1,2,poly,3,0.2857142857142857,1,4,abs,False,False
methinks,1,1,mon,0,None,0,0,-,ooc,False
gnome,1,3,poly,2,0.23529411764705882,2,0,abs,ooc,False
anus,1,1,mon,1,1.0,0,0,conc,ooc,False
primus inter pares,1,1,mon,0,None,0,0,-,ooc,False
swede,1,1,mon,3,0.18181818181818182,1,0,conc,False,False
copy editor,1,1,mon,0,None,0,0,-,ooc,False
runner bean,1,1,mon,0,None,0,0,-,ooc,False
swore,1,1,mon,5,0.14285714285714285,0,0,-,ooc,False
underlying,0,0,oov,5,0.2857142857142857,2,0,-,True,False
fairy,1,2,poly,2,0.13333333333333333,2,0,abs-conc,False,False
rationalist,1,1,mon,2,None,0,0,conc,ooc,False
lady,1,4,poly,3,0.5714285714285714,1,0,conc,True,False
crow's nest,1,1,mon,0,None,0,0,-,ooc,False
giulio,0,0,oov,0,None,0,0,-,False,False
underneath,2,2,homonyms_only_different_pos,2,None,2,0,-,False,False
protection,1,4,poly,7,0.10526315789473684,1,6,abs-conc,False,False
toils,1,1,mon,2,None,0,0,abs,ooc,False
helmsman,1,1,mon,1,1.0,0,1,conc,ooc,False
reek,2,3,homonyms_only_different_pos,5,0.125,1,4,abs,False,False
confluence,1,2,poly,3,0.10526315789473684,1,0,abs-conc,ooc,False
portion out,1,1,mon,0,None,0,0,-,ooc,False
owe to,1,1,mon,0,None,0,0,-,ooc,False
brutish,1,3,poly,1,1.0,0,0,-,ooc,False
probable,2,2,homonyms_only_different_pos,3,None,1,0,conc,False,False
egoism,1,1,mon,2,0.3076923076923077,2,0,abs,ooc,False
doctrinal,1,1,mon,1,1.0,0,0,-,False,False
hail down,1,1,mon,0,None,0,0,-,ooc,False
svelte,1,1,mon,3,None,1,0,-,ooc,False
wilde,0,0,oov,1,0.9090909090909091,0,0,n,False,False
social service,1,1,mon,0,None,0,0,-,ooc,False
bookmobile,1,1,mon,1,1.0,0,0,conc,ooc,False
remand,2,3,homonyms_only_different_pos,3,0.14285714285714285,1,0,abs,False,False
quintet,1,1,mon,5,0.26666666666666666,1,0,abs,ooc,False
traditional,1,1,mon,2,None,1,0,-,False,False
provided,1,1,mon,7,0.14285714285714285,0,0,-,False,False
rust away,1,1,mon,0,None,0,0,-,ooc,False
dog - eared,1,1,mon,0,None,0,0,-,ooc,False
retractile,1,1,mon,1,1.0,0,0,-,ooc,False
antibody,1,1,mon,1,1.0,0,1,abs,ooc,False
senior,2,4,homonyms_only_different_pos,5,0.5714285714285714,2,0,conc,True,False
taunt,2,2,homonyms_only_different_pos,2,None,0,0,abs,ooc,False
favouritism,1,1,mon,2,0.42857142857142855,1,0,abs,ooc,False
hill,1,2,poly,6,0.375,1,0,conc-n,False,False
segmentation,1,1,mon,2,0.125,0,0,abs-conc,ooc,False
non-fine,0,0,oov,0,None,0,0,-,True,False
contribute,1,3,poly,4,0.2222222222222222,1,3,-,True,False
duckboards,1,1,mon,1,1.0,0,0,conc,ooc,False
macaw,1,1,mon,1,1.0,0,0,conc,ooc,False
